launch_flop,capture_flop,slack
_10714_,_10520_,-2.044209
_10714_,_10518_,-2.021228
_10714_,_10519_,-1.966995
_10583_,_10646_,-1.933535
_10583_,_10645_,-1.881037
_10714_,_10517_,-1.811585
_10714_,_10515_,-1.739893
_10714_,_10516_,-1.738398
_10583_,_10644_,-1.684740
_10583_,_10642_,-1.588910
_10583_,_10643_,-1.573427
_10714_,_10514_,-1.530255
_10714_,_10512_,-1.457829
_10714_,_10513_,-1.457064
_10583_,_10640_,-1.429827
_10583_,_10641_,-1.379850
_10583_,_10639_,-1.304118
_10714_,_10511_,-1.250092
_10714_,_10509_,-1.180409
_10714_,_10510_,-1.173385
_10583_,_10638_,-1.105467
_10583_,_10636_,-1.033776
_10583_,_10637_,-1.032281
_09946_,_09975_,-0.978786
_10714_,_10508_,-0.970785
_10714_,_10506_,-0.899329
_10714_,_10507_,-0.897581
_10583_,_10635_,-0.824138
_09946_,_10647_,-0.789821
_09946_,_09974_,-0.764647
_10583_,_10634_,-0.750947
_10583_,_10632_,-0.721543
_10714_,_10505_,-0.689686
_10583_,_10633_,-0.645964
_10714_,_10503_,-0.617995
_09946_,_09972_,-0.616972
_10714_,_10504_,-0.616499
_10748_,_10582_,-0.588630
_10583_,_10630_,-0.508143
_10583_,_10631_,-0.467898
_10714_,_10502_,-0.408352
_09946_,_09970_,-0.386757
_10748_,_10580_,-0.359167
_10714_,_10500_,-0.336662
_10714_,_10501_,-0.335165
_09946_,_10784_,-0.331793
_10583_,_10629_,-0.298499
_10748_,_10581_,-0.296848
_09946_,_09973_,-0.250848
_10748_,_10579_,-0.238238
_10583_,_10627_,-0.226809
_10583_,_10628_,-0.225313
_09946_,_09969_,-0.223285
_09946_,_09971_,-0.147350
_09946_,_10783_,-0.135346
_10714_,_10499_,-0.127018
_10523_,_10678_,-0.102707
_10714_,_10497_,-0.055328
_10714_,_10498_,-0.053832
_10523_,_10679_,-0.051836
_10748_,_10578_,-0.046172
_09946_,_09967_,-0.019296
_10583_,_10626_,-0.017166
_10583_,_10624_,0.054524
_10583_,_10625_,0.056021
_10523_,_10167_,0.075887
_10523_,_10423_,0.075896
_10523_,_10103_,0.075898
_10523_,_10893_,0.075901
_10523_,_11308_,0.075904
_10523_,_10327_,0.075961
_10523_,_11106_,0.075967
_10523_,_10263_,0.075968
_10523_,_11180_,0.075969
_10523_,_10007_,0.075992
_10523_,_10039_,0.075992
_10523_,_10071_,0.075992
_10523_,_10135_,0.075992
_10523_,_10231_,0.075992
_10523_,_10295_,0.075992
_10523_,_10391_,0.075992
_10523_,_11148_,0.075992
_10523_,_11212_,0.075992
_10523_,_11276_,0.085805
_10523_,_09939_,0.085878
_10523_,_10199_,0.085878
_10523_,_10359_,0.085878
_10523_,_10455_,0.085878
_10523_,_11037_,0.085878
_10523_,_11244_,0.085878
_10523_,_11340_,0.085878
_10523_,_11407_,0.085878
_10523_,_11439_,0.085878
_10523_,_11503_,0.085878
_10523_,_11005_,0.085878
_10523_,_11375_,0.085878
_10748_,_10577_,0.113086
_10714_,_10496_,0.154315
_09946_,_09968_,0.167275
_09946_,_09966_,0.167657
_10522_,_10166_,0.169466
_10522_,_11307_,0.169483
_10522_,_10422_,0.169508
_10522_,_10102_,0.169519
_10522_,_10892_,0.169530
_10522_,_10326_,0.169539
_10522_,_10262_,0.169547
_10522_,_11179_,0.169547
_10522_,_10006_,0.169560
_10522_,_10038_,0.169560
_10522_,_10070_,0.169560
_10522_,_10134_,0.169560
_10522_,_10230_,0.169560
_10522_,_10294_,0.169560
_10522_,_10390_,0.169560
_10522_,_11105_,0.169560
_10522_,_11147_,0.169560
_10522_,_11211_,0.169560
_10522_,_11275_,0.179338
_10522_,_09938_,0.179411
_10522_,_10198_,0.179411
_10522_,_10358_,0.179411
_10522_,_10454_,0.179411
_10522_,_11036_,0.179411
_10522_,_11243_,0.179411
_10522_,_11339_,0.179411
_10522_,_11406_,0.179411
_10522_,_11438_,0.179411
_10522_,_11502_,0.179411
_10522_,_11004_,0.179411
_10522_,_11374_,0.179411
_10714_,_10494_,0.226005
_10714_,_10495_,0.227502
_09946_,_10782_,0.233244
_10583_,_10623_,0.264168
_10523_,_10165_,0.266881
_10523_,_10101_,0.266891
_10523_,_10891_,0.266895
_10523_,_11306_,0.266898
_10523_,_10421_,0.266923
_10523_,_10325_,0.266954
_10523_,_10261_,0.266962
_10523_,_11178_,0.266962
_10523_,_10005_,0.266986
_10523_,_10037_,0.266986
_10523_,_10069_,0.266986
_10523_,_10133_,0.266986
_10523_,_10229_,0.266986
_10523_,_10293_,0.266986
_10523_,_10389_,0.266986
_10523_,_11104_,0.266986
_10523_,_11146_,0.266986
_10523_,_11210_,0.266986
_10523_,_11274_,0.276799
_10523_,_09937_,0.276871
_10523_,_10197_,0.276871
_10523_,_10357_,0.276871
_10523_,_10453_,0.276871
_10523_,_11035_,0.276871
_10523_,_11242_,0.276871
_10523_,_11338_,0.276871
_10523_,_11405_,0.276871
_10523_,_11437_,0.276871
_10523_,_11501_,0.276871
_10523_,_11003_,0.276872
_10523_,_11373_,0.276872
_09946_,_10779_,0.297116
_10748_,_10576_,0.298706
_10748_,_10575_,0.316647
_10583_,_10621_,0.335858
_10583_,_10622_,0.337355
_09946_,_10780_,0.340465
_09946_,_09963_,0.345387
_10522_,_10164_,0.373285
_10522_,_11305_,0.373302
_10522_,_10420_,0.373327
_10522_,_10100_,0.373338
_10522_,_10890_,0.373350
_10522_,_10324_,0.373359
_10522_,_10260_,0.373366
_10522_,_11177_,0.373367
_10522_,_10004_,0.373390
_10522_,_10036_,0.373390
_10522_,_10068_,0.373390
_10522_,_10132_,0.373390
_10522_,_10228_,0.373390
_10522_,_10292_,0.373390
_10522_,_10388_,0.373390
_10522_,_11103_,0.373390
_10522_,_11145_,0.373390
_10522_,_11209_,0.373390
_09946_,_10747_,0.374945
_10522_,_11273_,0.383203
_10522_,_09936_,0.383275
_10522_,_10196_,0.383275
_10522_,_10356_,0.383275
_10522_,_10452_,0.383275
_10522_,_11034_,0.383275
_10522_,_11241_,0.383275
_10522_,_11337_,0.383275
_10522_,_11404_,0.383275
_10522_,_11436_,0.383275
_10522_,_11500_,0.383275
_10522_,_11002_,0.383276
_10522_,_11372_,0.383276
_10523_,_10677_,0.398998
_10748_,_10574_,0.409888
_09946_,_10781_,0.417689
_09946_,_09962_,0.435628
_10714_,_10493_,0.435649
_10523_,_10163_,0.447881
_10523_,_10419_,0.447890
_10523_,_10099_,0.447892
_10523_,_10889_,0.447895
_10523_,_11304_,0.447898
_10523_,_10323_,0.447955
_10523_,_10259_,0.447962
_10523_,_11176_,0.447963
_10523_,_10003_,0.447986
_10523_,_10035_,0.447986
_10523_,_10067_,0.447986
_10523_,_10131_,0.447986
_10523_,_10227_,0.447986
_10523_,_10291_,0.447986
_10523_,_10387_,0.447986
_10523_,_11102_,0.447986
_10523_,_11144_,0.447986
_10523_,_11208_,0.447986
_09946_,_09960_,0.449675
_10523_,_11272_,0.457799
_10523_,_09935_,0.457872
_10523_,_10195_,0.457872
_10523_,_10355_,0.457872
_10523_,_10451_,0.457872
_10523_,_11001_,0.457872
_10523_,_11033_,0.457872
_10523_,_11240_,0.457872
_10523_,_11336_,0.457872
_10523_,_11371_,0.457872
_10523_,_11403_,0.457872
_10523_,_11435_,0.457872
_10523_,_11499_,0.457872
_10748_,_10571_,0.465563
_10748_,_10567_,0.471114
_09946_,_09964_,0.504310
_10714_,_10491_,0.507340
_10714_,_10492_,0.508836
_10748_,_10573_,0.525979
_09946_,_10776_,0.531176
_10583_,_10620_,0.545501
_09946_,_10775_,0.560092
_10522_,_10162_,0.594019
_10522_,_11303_,0.594036
_10522_,_10418_,0.594061
_10522_,_10098_,0.594072
_10522_,_10888_,0.594083
_10522_,_10322_,0.594092
_10522_,_10258_,0.594100
_10522_,_11175_,0.594100
_10522_,_10002_,0.594124
_10522_,_10034_,0.594124
_10522_,_10066_,0.594124
_10522_,_10130_,0.594124
_10522_,_10226_,0.594124
_10522_,_10290_,0.594124
_10522_,_10386_,0.594124
_10522_,_11101_,0.594124
_10522_,_11143_,0.594124
_10522_,_11207_,0.594124
_10748_,_10572_,0.598926
_10522_,_11271_,0.603936
_10522_,_09934_,0.604009
_10522_,_10194_,0.604009
_10522_,_10354_,0.604009
_10522_,_10450_,0.604009
_10522_,_11000_,0.604009
_10522_,_11032_,0.604009
_10522_,_11239_,0.604009
_10522_,_11335_,0.604009
_10522_,_11370_,0.604009
_10522_,_11402_,0.604009
_10522_,_11434_,0.604009
_10522_,_11498_,0.604009
_10583_,_10618_,0.617193
_10583_,_10619_,0.618688
_09946_,_09959_,0.632815
_10748_,_10570_,0.646354
_10523_,_10161_,0.672910
_10523_,_10887_,0.672924
_10523_,_11302_,0.672927
_10523_,_10417_,0.672952
_10523_,_10097_,0.672963
_10523_,_10321_,0.672983
_10523_,_10257_,0.672991
_10523_,_11174_,0.672991
_10523_,_10001_,0.673015
_10523_,_10033_,0.673015
_10523_,_10065_,0.673015
_10523_,_10129_,0.673015
_10523_,_10225_,0.673015
_10523_,_10289_,0.673015
_10523_,_10385_,0.673015
_10523_,_11100_,0.673015
_10523_,_11142_,0.673015
_10523_,_11206_,0.673015
_10748_,_10566_,0.673476
_10523_,_11270_,0.682828
_10523_,_09933_,0.682900
_10523_,_10193_,0.682900
_10523_,_10353_,0.682900
_10523_,_10449_,0.682900
_10523_,_10999_,0.682900
_10523_,_11031_,0.682900
_10523_,_11238_,0.682900
_10523_,_11334_,0.682900
_10523_,_11369_,0.682900
_10523_,_11401_,0.682900
_10523_,_11433_,0.682900
_10523_,_11497_,0.682900
_09946_,_10773_,0.686561
_10714_,_10490_,0.716979
_09946_,_10774_,0.726595
_10748_,_10565_,0.738217
_09946_,_10753_,0.765544
_09946_,_09965_,0.783200
_10748_,_10563_,0.785748
_10714_,_10488_,0.789400
_10714_,_10489_,0.790170
_10748_,_10568_,0.809506
_10583_,_10617_,0.826832
_09946_,_10749_,0.831003
_10973_,_10675_,0.839147
_09946_,_10778_,0.843616
_10523_,_10160_,0.866492
_10523_,_11301_,0.866509
_10523_,_10416_,0.866534
_10523_,_10096_,0.866545
_10523_,_10886_,0.866557
_10523_,_10320_,0.866566
_10523_,_10256_,0.866573
_10523_,_11173_,0.866574
_10523_,_10000_,0.866597
_10523_,_10032_,0.866597
_10523_,_10064_,0.866597
_10523_,_10128_,0.866597
_10523_,_10224_,0.866597
_10523_,_10288_,0.866597
_10523_,_10384_,0.866597
_10523_,_11099_,0.866597
_10523_,_11141_,0.866597
_10523_,_11205_,0.866597
_10523_,_10676_,0.872940
_10523_,_11269_,0.876410
_10523_,_09932_,0.876482
_10523_,_10192_,0.876482
_10523_,_10352_,0.876482
_10523_,_10448_,0.876482
_10523_,_10998_,0.876483
_10523_,_11030_,0.876482
_10523_,_11237_,0.876482
_10523_,_11333_,0.876482
_10523_,_11368_,0.876483
_10523_,_11400_,0.876482
_10523_,_11432_,0.876482
_10523_,_11496_,0.876482
_10583_,_10615_,0.899253
_10583_,_10616_,0.900023
_09946_,_10777_,0.909093
_09946_,_09961_,0.917540
_10973_,_10674_,0.927944
_10810_,_10711_,0.932128
_09946_,_09958_,0.932727
_09946_,_09957_,0.936749
_10748_,_10569_,0.961405
_10522_,_10159_,0.978842
_10522_,_11300_,0.978859
_10522_,_10415_,0.978884
_10522_,_10095_,0.978895
_10522_,_10885_,0.978907
_10522_,_10319_,0.978916
_10522_,_10255_,0.978923
_10522_,_11172_,0.978924
_10522_,_09999_,0.978947
_10522_,_10031_,0.978947
_10522_,_10063_,0.978947
_10522_,_10127_,0.978947
_10522_,_10223_,0.978947
_10522_,_10287_,0.978947
_10522_,_10383_,0.978947
_10522_,_11098_,0.978947
_10522_,_11140_,0.978947
_10522_,_11204_,0.978947
_10522_,_11268_,0.988760
_10522_,_09931_,0.988832
_10522_,_10191_,0.988832
_10522_,_10351_,0.988832
_10522_,_10447_,0.988832
_10522_,_10997_,0.988833
_10522_,_11029_,0.988832
_10522_,_11236_,0.988832
_10522_,_11332_,0.988832
_10522_,_11367_,0.988833
_10522_,_11399_,0.988832
_10522_,_11431_,0.988832
_10522_,_11495_,0.988832
_10714_,_10487_,0.997142
_10973_,_10670_,1.024729
_09946_,_10714_,1.039726
_10523_,_10158_,1.048331
_10523_,_11299_,1.048348
_10523_,_10414_,1.048373
_10523_,_10094_,1.048384
_10523_,_10884_,1.048395
_10523_,_10318_,1.048404
_10523_,_10254_,1.048412
_10523_,_11171_,1.048412
_10523_,_09998_,1.048436
_10523_,_10030_,1.048436
_10523_,_10062_,1.048436
_10523_,_10126_,1.048436
_10523_,_10222_,1.048436
_10523_,_10286_,1.048436
_10523_,_10382_,1.048436
_10523_,_11097_,1.048436
_10523_,_11139_,1.048436
_10523_,_11203_,1.048436
_10523_,_11267_,1.058248
_10523_,_09930_,1.058321
_10523_,_10190_,1.058321
_10523_,_10350_,1.058321
_10523_,_10446_,1.058321
_10523_,_10996_,1.058321
_10523_,_11028_,1.058321
_10523_,_11235_,1.058321
_10523_,_11331_,1.058321
_10523_,_11366_,1.058321
_10523_,_11398_,1.058321
_10523_,_11430_,1.058321
_10523_,_11494_,1.058321
_10748_,_10561_,1.065476
_10714_,_10485_,1.066826
_10714_,_10486_,1.073849
_10748_,_10564_,1.088066
_10973_,_10673_,1.106006
_10583_,_10614_,1.106996
_09946_,_10772_,1.133578
_10748_,_10562_,1.141833
_09946_,_10768_,1.153470
_10973_,_10669_,1.158924
_10583_,_10612_,1.176679
_10583_,_10613_,1.183702
_09946_,_10767_,1.193990
_10973_,_10671_,1.201461
_09946_,_10771_,1.205836
_10523_,_10157_,1.241971
_10523_,_11298_,1.241988
_10523_,_10413_,1.242013
_10523_,_10093_,1.242024
_10523_,_10883_,1.242035
_10523_,_10317_,1.242044
_10523_,_10253_,1.242052
_10523_,_11170_,1.242052
_10523_,_09997_,1.242076
_10523_,_10029_,1.242076
_10523_,_10061_,1.242076
_10523_,_10125_,1.242076
_10523_,_10221_,1.242076
_10523_,_10285_,1.242076
_10523_,_10381_,1.242076
_10523_,_11096_,1.242076
_10523_,_11138_,1.242076
_10523_,_11202_,1.242076
_10523_,_11266_,1.251888
_10523_,_09929_,1.251961
_10523_,_10189_,1.251961
_10523_,_10349_,1.251961
_10523_,_10445_,1.251961
_10523_,_10995_,1.251961
_10523_,_11027_,1.251961
_10523_,_11234_,1.251961
_10523_,_11330_,1.251961
_10523_,_11365_,1.251961
_10523_,_11397_,1.251961
_10523_,_11429_,1.251961
_10523_,_11493_,1.251961
_10714_,_10484_,1.276445
_10748_,_10559_,1.281139
_09946_,_10770_,1.294709
_10973_,_10672_,1.298944
_09946_,_10766_,1.317989
_11038_,_09954_,1.337307
_10714_,_10483_,1.349652
_10522_,_10156_,1.362583
_10522_,_11297_,1.362600
_10522_,_10412_,1.362625
_10522_,_10092_,1.362636
_10522_,_10882_,1.362648
_10522_,_10316_,1.362656
_10522_,_10252_,1.362664
_10522_,_11169_,1.362664
_10522_,_09996_,1.362688
_10522_,_10028_,1.362688
_10522_,_10060_,1.362688
_10522_,_10124_,1.362688
_10522_,_10220_,1.362688
_10522_,_10284_,1.362688
_10522_,_10380_,1.362688
_10522_,_11095_,1.362688
_10522_,_11137_,1.362688
_10522_,_11201_,1.362688
_09946_,_10769_,1.369643
_10522_,_11265_,1.372501
_10522_,_09928_,1.372573
_10522_,_10188_,1.372573
_10522_,_10348_,1.372573
_10522_,_10444_,1.372573
_10522_,_10994_,1.372574
_10522_,_11026_,1.372573
_10522_,_11233_,1.372573
_10522_,_11329_,1.372573
_10522_,_11364_,1.372574
_10522_,_11396_,1.372573
_10522_,_11428_,1.372573
_10522_,_11492_,1.372573
_10583_,_10611_,1.386298
_09946_,_10764_,1.398754
_09946_,_10763_,1.416008
_10523_,_10155_,1.423810
_10523_,_11296_,1.423827
