launch_flop,capture_flop,slack
_40894_,_50236_,2.482020
_40894_,_50152_,3.393013
_40894_,_50094_,3.411449
_40894_,_50842_,3.412803
_40894_,_50149_,3.412825
_40894_,_50114_,3.430675
_40894_,_50147_,3.433718
_40894_,_50840_,3.435041
_40894_,_50092_,3.435079
_40894_,_50153_,3.446731
_40894_,_50846_,3.446751
_40894_,_50098_,3.446783
_40894_,_50112_,3.452938
_40894_,_50097_,3.462846
_40894_,_50118_,3.464397
_40894_,_44841_,3.488325
_40894_,_50839_,3.490854
_40894_,_50096_,3.506875
_40894_,_50844_,3.506891
_40894_,_50151_,3.508250
_40894_,_50148_,3.510026
_40894_,_50093_,3.510046
_40894_,_44839_,3.510571
_40894_,_50841_,3.511423
_40894_,_50090_,3.521524
_40894_,_50116_,3.525872
_40894_,_50845_,3.525941
_40894_,_44845_,3.528541
_40894_,_50847_,3.528759
_40894_,_50113_,3.529000
_40894_,_48207_,3.535758
_40894_,_50401_,3.537969
_40894_,_50117_,3.543720
_40894_,_50143_,3.548132
_40894_,_50836_,3.548174
_40894_,_50088_,3.548180
_40894_,_50843_,3.562183
_40894_,_50095_,3.563513
_40894_,_50150_,3.563510
_40894_,_50108_,3.565753
_40894_,_50115_,3.581421
_40894_,_50838_,3.584514
_40894_,_50145_,3.584540
_40894_,_50154_,3.589216
_40894_,_44843_,3.590020
_40894_,_50099_,3.590595
_40894_,_44840_,3.593202
_40894_,_44844_,3.601513
_40894_,_50110_,3.602190
_40894_,_50119_,3.608463
_40894_,_50146_,3.612540
_40894_,_50091_,3.613914
_40894_,_50142_,3.615428
_40894_,_50835_,3.616802
_40894_,_44835_,3.628638
_40894_,_50111_,3.631473
_40894_,_50107_,3.634380
_40894_,_44842_,3.639043
_40894_,_44846_,3.666098
_40894_,_50084_,3.688707
_40894_,_44837_,3.690492
_40894_,_44834_,3.698594
_40894_,_50085_,3.709871
_40894_,_50140_,3.711200
_40894_,_44838_,3.719917
_40894_,_50087_,3.724126
_40894_,_50105_,3.729198
_40894_,_50086_,3.734119
_40894_,_50141_,3.735473
_40894_,_50106_,3.753173
_40894_,_50104_,3.769749
_40894_,_44832_,3.786653
_40894_,_50089_,3.802777
_40894_,_44833_,3.817188
_40894_,_50834_,3.823698
_40894_,_44831_,3.827339
_40894_,_50139_,3.860360
_40895_,_50130_,3.863496
_40894_,_50144_,3.864488
_40894_,_50837_,3.864503
_40894_,_50109_,3.882105
_40895_,_50074_,3.929690
_40895_,_50129_,3.942658
_40894_,_44836_,3.969130
_40895_,_50066_,4.034877
_40895_,_50072_,4.039705
_40895_,_50126_,4.082111
_40895_,_50069_,4.086199
_40895_,_50075_,4.092722
_40895_,_44821_,4.094878
_40895_,_50071_,4.099187
_40895_,_50125_,4.102798
_40895_,_50070_,4.102808
_40895_,_44816_,4.112969
_40895_,_50061_,4.115586
_40895_,_44822_,4.116879
_40895_,_50157_,4.118540
_40895_,_44818_,4.133069
_40895_,_50127_,4.152610
_40895_,_50076_,4.168889
_40895_,_44819_,4.173411
_40894_,_50065_,4.179868
_40895_,_50128_,4.182259
_40895_,_44817_,4.209028
_40895_,_50138_,4.218978
_40895_,_50131_,4.221627
_40895_,_44823_,4.229312
_40894_,_44815_,4.233828
_40896_,_50160_,4.242671
_40895_,_50077_,4.249512
_40896_,_50101_,4.258513
_40894_,_50060_,4.259271
_40896_,_50163_,4.259892
_40894_,_50156_,4.263538
_40895_,_44830_,4.277535
_40896_,_50137_,4.280773
_40895_,_50132_,4.284408
_40895_,_50133_,4.301413
_40895_,_50083_,4.312668
_40896_,_50161_,4.313860
_40895_,_44824_,4.318387
_40895_,_50073_,4.327998
_40896_,_44826_,4.331257
_40896_,_50080_,4.333289
_40896_,_50134_,4.333917
_40896_,_50079_,4.333925
_40896_,_50135_,4.334564
_40895_,_44820_,4.337848
_40895_,_44825_,4.338736
_40896_,_50082_,4.351076
