Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
38,819.3596715927124,-349.48486,0.16577566,-1047.3942,0.24878119,0.06994717,-0.85732555,0.074976265,0.070917636,-0.20316374,0.20655303
39,840.030914068222,-585.31525,0.16672051,-1755.2954,0.33972767,0.07334793,-0.7126621,0.071792476,0.065487914,0.062263846,0.17880924
40,860.8302628993988,-512.79706,0.16098194,-1537.81,0.31182814,0.06812336,-0.67383206,0.068384685,0.06288145,0.09280288,0.17323044
41,880.368332862854,-447.4603,0.16256493,-1341.5045,0.2925902,0.06527855,-0.95910764,0.07743498,0.06463731,0.08271259,0.17289922
42,900.0870184898376,-582.8811,0.1666317,-1747.6619,0.33886245,0.07561962,-1.2222581,0.0754361,0.062243477,0.24081361,0.15338075
43,920.012423992157,-532.24554,0.16352683,-1596.25,0.31807396,0.06652995,-0.7412945,0.06836157,0.062169842,0.25469363,0.15081939
44,939.8357870578766,-356.38107,0.16249664,-1068.4753,0.2549377,0.06255167,-0.8725871,0.074755035,0.060514025,0.20466733,0.15847649
45,959.5394418239594,-492.6738,0.17244561,-1476.9164,0.3032668,0.07550539,-1.3119063,0.08581961,0.059379082,0.20684862,0.15884332
46,984.7257754802704,-280.58282,0.17068455,-841.1889,0.21847208,0.07485756,-0.9228401,0.072263986,0.0678053,0.36328137,0.1357428
47,1005.2760844230652,-415.84152,0.16027492,-1246.6467,0.27785552,0.066613145,-0.96076286,0.07309052,0.061669096,0.083067834,0.17279336
48,1026.0319864749908,-508.13586,0.16481552,-1523.4836,0.3108374,0.07220311,-0.76826644,0.06895389,0.07321633,-0.15569901,0.19927508
49,1047.0650174617767,-451.52383,0.16560757,-1354.1724,0.29439294,0.069419324,-0.6423907,0.06844595,0.06535252,0.24313253,0.15421328
50,1067.2103953361511,-416.08542,0.1609575,-1247.278,0.27959403,0.07151349,-0.88492405,0.0773045,0.06651113,-0.09338915,0.19409646
51,1087.970304965973,-498.1642,0.16059932,-1493.7738,0.30990225,0.06670034,-0.9707124,0.072091766,0.061943024,0.25185525,0.15389931
52,1108.43017911911,-467.93054,0.15989293,-1403.5286,0.30036312,0.06808413,-0.58259535,0.06581722,0.059776973,0.31958812,0.1462652
53,1128.8343937397003,-351.0095,0.16339289,-1052.4888,0.25605136,0.06451855,-0.7011502,0.069226354,0.05875811,0.16148943,0.16449292
54,1149.7730884552002,-470.21005,0.15955055,-1410.0076,0.30288228,0.06566613,-0.5966921,0.06990556,0.06445817,-0.025881052,0.18712853
55,1170.3162724971771,-500.1495,0.16095704,-1500.0438,0.31440875,0.06535795,-0.6946403,0.068931095,0.05790435,0.28997266,0.14677839
56,1191.0331802368164,-472.52356,0.1612214,-1416.9696,0.3087093,0.066105455,-0.6919241,0.06817186,0.063387126,0.09077203,0.17231469
57,1211.7582473754883,-308.81168,0.1645704,-925.78186,0.23266365,0.06348173,-0.6842872,0.07177036,0.06302128,0.031141102,0.18134487
58,1233.261352300644,-511.7471,0.16138658,-1535.0076,0.31941387,0.066392854,-0.51049304,0.065762274,0.060238536,0.27670538,0.15011646
59,1254.0487368106842,-467.74142,0.16144559,-1401.8904,0.2933014,0.07434576,-1.3055215,0.077324845,0.06421531,-0.028283358,0.18765007
60,1275.0974822044373,-547.63776,0.16446893,-1642.4684,0.32884413,0.06815612,-0.60962164,0.06724696,0.062111627,0.16470706,0.16346665
61,1295.894168138504,-369.87198,0.16191055,-1108.6011,0.25995117,0.0697203,-0.94545984,0.078059405,0.067072906,-0.06944692,0.19242902
62,1318.9041259288788,-509.86646,0.16114621,-1528.8094,0.31414482,0.072739296,-1.1179674,0.07459548,0.060293462,0.32799882,0.14209193
63,1339.1235630512238,-401.54587,0.1604778,-1204.3365,0.28006154,0.060462367,-0.43255293,0.06460575,0.06012548,0.13143963,0.16958787
64,1359.3376710414886,-591.6014,0.16494322,-1774.5497,0.3508971,0.064468846,-0.45351195,0.06308496,0.05858718,0.19900626,0.15874335
65,1380.3772399425507,-475.795,0.1603333,-1426.0822,0.29767334,0.0797764,-1.3579993,0.08694444,0.062306967,0.055212796,0.17969681
66,1400.8381078243256,-499.36145,0.16169979,-1497.7595,0.31177452,0.07293984,-0.63674235,0.066580184,0.061424445,0.31189638,0.14596432
67,1421.143553495407,-381.73367,0.16602252,-1144.9429,0.2717853,0.06452226,-0.57143676,0.0682699,0.061116077,0.31318516,0.14694966
68,1443.7816972732544,-524.17255,0.16543965,-1572.2849,0.32566273,0.06010665,-0.5371587,0.066938356,0.059160326,0.3044349,0.14864707
69,1464.7296924591064,-479.6205,0.16333443,-1438.5975,0.30538422,0.063427754,-0.7007477,0.06820882,0.070198216,0.43679285,0.1288933
70,1485.336076259613,-449.36288,0.16370855,-1347.7227,0.29867283,0.06567685,-0.59502697,0.06617042,0.06236174,0.22904009,0.15374835
71,1506.175591468811,-578.71173,0.16106945,-1735.6427,0.3410625,0.06434704,-0.4538231,0.06555915,0.06538624,-0.03868568,0.18661076
72,1527.066430091858,-505.5964,0.16346343,-1516.2258,0.32196665,0.06172615,-0.5563438,0.067876436,0.0607404,-0.0069589615,0.18232894
73,1547.7396676540375,-462.796,0.15983008,-1387.6802,0.30174458,0.065469116,-0.73701286,0.07363015,0.060115293,0.029337943,0.1788121
74,1568.4002559185028,-388.1564,0.16222456,-1163.9039,0.2724807,0.060699657,-0.542143,0.06892398,0.06161904,-0.023148656,0.18890367
75,1589.0414907932281,-331.50385,0.16408429,-994.27295,0.25031838,0.059789665,-0.54703224,0.06779927,0.060784895,0.30846,0.14651446
76,1609.9240946769714,-565.4283,0.16468002,-1695.9443,0.33268878,0.059677772,-0.52205825,0.06538378,0.05728039,0.18157482,0.16131955
77,1630.948209285736,-544.0065,0.16468568,-1631.7324,0.33524972,0.062005997,-0.4430883,0.06540847,0.058978178,0.15611088,0.16424604
78,1650.7976179122925,-593.4931,0.16220847,-1780.156,0.3499212,0.06349531,-0.5986966,0.06549856,0.058167156,0.27544802,0.15014918
79,1670.3740768432617,-422.40295,0.15959784,-1266.6154,0.28637582,0.073172584,-0.8266896,0.07529882,0.057635702,0.23312593,0.15909855
80,1690.3216712474823,-486.07278,0.15878448,-1457.9812,0.30930322,0.06647166,-0.483348,0.06576845,0.060093828,0.24619788,0.1535575
81,1710.4835455417633,-411.1157,0.16248506,-1233.0026,0.2820464,0.059258647,-0.609198,0.06836591,0.05861154,0.26479882,0.15045027
82,1730.187471151352,-580.33356,0.16539128,-1740.6494,0.3462961,0.062949486,-0.7818922,0.06945827,0.064882375,0.43064058,0.12962149
83,1750.0750725269318,-408.31042,0.16002095,-1224.1802,0.28029278,0.066084765,-0.5115514,0.06760436,0.07108747,-0.23945677,0.20783918
84,1770.3048045635223,-557.7403,0.16188268,-1672.8352,0.33556864,0.06307502,-0.5735444,0.06664235,0.059082825,0.18791205,0.16058646
85,1789.789687871933,-509.44278,0.16085428,-1527.6003,0.31352893,0.06797756,-0.5799496,0.06559713,0.0653432,-0.14801598,0.19652832
86,1809.6638355255127,-516.0538,0.16419661,-1547.678,0.3229747,0.05984252,-0.45045054,0.065972045,0.05973403,-0.03296292,0.18610138
87,1829.6821534633636,-514.1323,0.1599747,-1541.9152,0.31946364,0.06424325,-0.7031807,0.06758572,0.05693968,0.22134101,0.15707374
88,1849.753368139267,-578.35913,0.1617766,-1734.737,0.3407532,0.059819978,-0.56251204,0.066506095,0.05884443,0.22214669,0.15702671
89,1874.5318620204926,-437.8324,0.16139443,-1313.2201,0.2967737,0.06572652,-0.58709955,0.066306986,0.058264308,0.31006747,0.14486115
