Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
39,283.0550572872162,-293.57657,0.17963152,-866.0633,0.23777097,0.10868416,-13.602128,0.2321171,0.10995012,-1.0642867,0.24670054
40,289.97511553764343,-249.52821,0.17522474,-732.3262,0.21484907,0.10692734,-15.072964,0.2419268,0.10867359,-1.1855178,0.25499985
41,296.90272974967957,-256.81503,0.17570631,-754.1764,0.2192424,0.10724887,-15.015917,0.24087416,0.10740328,-1.2527657,0.25904664
42,302.4882276058197,-252.7304,0.17483196,-742.41614,0.21742421,0.11064469,-14.6468315,0.23569082,0.10781447,-1.1281786,0.25067022
43,307.6927402019501,-206.79338,0.17369293,-603.69324,0.19338107,0.10470276,-15.572405,0.24992198,0.107743114,-1.1144714,0.25016192
44,313.781368970871,-255.80504,0.17487615,-751.52783,0.21869376,0.10860115,-14.707875,0.23869893,0.1058142,-1.1794019,0.25513268
45,324.27324175834656,-220.03798,0.17406361,-643.2835,0.20128545,0.10617681,-15.875916,0.25342143,0.11078904,-0.9545219,0.23927309
46,331.40764713287354,-232.69037,0.17498119,-681.7416,0.20818187,0.1055584,-15.149946,0.24521828,0.103869006,-1.1795754,0.25499722
47,341.2662501335144,-271.33374,0.17667976,-797.36633,0.22754745,0.10471378,-15.725199,0.2522426,0.1066517,-0.909673,0.23809935
48,346.9833710193634,-256.2516,0.17452256,-753.16296,0.21949822,0.10516027,-14.633142,0.2414267,0.102173306,-0.9587096,0.24154843
49,352.71845626831055,-263.1723,0.17592913,-773.8217,0.22310264,0.10417221,-14.823826,0.24270642,0.10365986,-0.87134945,0.2343083
50,359.4318995475769,-289.6755,0.17781782,-851.8091,0.23610039,0.10187376,-16.341091,0.25679255,0.10444187,-0.8763553,0.23453124
51,364.93164896965027,-196.74068,0.17274995,-571.8204,0.1859179,0.10156624,-17.5123,0.2657599,0.1027986,-0.8893229,0.2366825
52,371.7336232662201,-230.50215,0.17428298,-674.70483,0.2065807,0.10241029,-15.748728,0.25094563,0.1010189,-1.0529153,0.24835703
53,381.81422328948975,-223.90259,0.17368254,-653.9074,0.20219646,0.10123645,-16.915985,0.2612769,0.10105774,-0.8843703,0.23693016
54,387.8590850830078,-254.56903,0.17482872,-746.1187,0.2190329,0.10111828,-16.690184,0.2597444,0.098878294,-0.89819396,0.23863718
55,393.3788993358612,-224.88475,0.17325042,-657.5637,0.20423011,0.101093315,-16.297499,0.25641432,0.101792365,-0.7930182,0.23161505
56,399.06350326538086,-284.37064,0.17679219,-834.7417,0.23422007,0.10080322,-17.53372,0.26471528,0.0989909,-0.83650804,0.23568542
57,404.894357919693,-269.9373,0.1761428,-793.3233,0.22811678,0.10751734,-15.502312,0.24755332,0.098845884,-0.98628366,0.24466328
58,410.5770699977875,-270.04697,0.17635864,-794.1683,0.2274975,0.10454126,-15.078684,0.2457218,0.09801646,-0.89401174,0.23959741
59,416.55666422843933,-253.6176,0.17345971,-742.9192,0.21686968,0.10118681,-16.965715,0.26145262,0.09834958,-0.9678683,0.2443693
60,426.1408474445343,-274.2891,0.17678277,-805.70044,0.22905122,0.10104268,-16.410137,0.25699872,0.100464545,-0.7567316,0.2315119
61,433.558890581131,-280.3302,0.17593917,-823.5476,0.23236386,0.10033028,-16.632647,0.25876012,0.09664953,-0.81033444,0.23513205
62,440.4196925163269,-244.5959,0.17543744,-713.8998,0.2163473,0.097603254,-19.101639,0.27564004,0.09662062,-0.7862973,0.23502578
63,452.56851744651794,-285.89865,0.17653239,-837.3556,0.23533876,0.099857934,-19.658089,0.27760303,0.10323962,-0.68230796,0.22963692
64,461.3400762081146,-187.90977,0.17302161,-543.84576,0.1822375,0.09697228,-19.084446,0.27607578,0.09508494,-0.7990947,0.2359804
65,467.9106104373932,-246.0276,0.1732117,-720.56036,0.21520993,0.10174013,-16.714201,0.25935557,0.09505425,-0.8082775,0.23555121
66,473.6942825317383,-207.72227,0.17318451,-604.0409,0.1942129,0.097537406,-18.324783,0.27095202,0.09511849,-0.8011254,0.23752065
67,480.0880422592163,-205.00055,0.17211458,-593.628,0.19153538,0.09616208,-20.645283,0.28509673,0.099060304,-0.72841895,0.2364008
68,488.8064794540405,-272.32022,0.17424905,-798.0166,0.2275496,0.099675715,-18.119076,0.27059692,0.09550175,-0.8250253,0.23843427
