Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
38,735.5899875164032,-396.75635,0.16115384,-1189.0775,0.27641293,0.067282125,-1.4294276,0.07854411,0.061930455,0.23787093,0.15284018
39,754.3882241249084,-640.89594,0.16121651,-1921.1569,0.35939416,0.073019356,-1.8863668,0.08813745,0.060075246,0.35535634,0.14037415
40,771.7515082359314,-754.31085,0.1682618,-2261.1152,0.38975057,0.06936423,-2.285267,0.0952569,0.0672316,0.4677071,0.12655212
41,792.0871951580048,-502.76877,0.16063875,-1505.7705,0.3155461,0.07031896,-2.719146,0.101939626,0.05807696,0.18337953,0.15891483
42,807.9849901199341,-615.2116,0.15905756,-1844.6151,0.3546633,0.066765465,-1.3094392,0.07701589,0.06106011,0.28972477,0.14877966
43,823.7303938865662,-463.20743,0.16042027,-1388.8658,0.2998112,0.06632657,-0.86163104,0.06855772,0.0640568,0.10512185,0.16957152
44,839.588371515274,-590.4105,0.1596415,-1770.4496,0.34516478,0.06870697,-0.9847956,0.070677616,0.058383364,0.20278627,0.15693958
45,855.8299970626831,-717.36237,0.16203031,-2150.6501,0.38164532,0.069337174,-1.6950922,0.0841034,0.060325723,0.2579863,0.15095703
46,872.2058174610138,-589.325,0.15970723,-1765.8317,0.34243435,0.07207679,-2.2129467,0.09301575,0.06530954,0.06958175,0.17065841
47,888.1638147830963,-721.3354,0.16116908,-2162.4092,0.38516408,0.06774409,-1.7593639,0.08570116,0.061699063,0.16234785,0.16265337
48,904.3852641582489,-751.18866,0.16760176,-2251.3262,0.3998526,0.07157002,-2.7235386,0.10513972,0.060391515,0.48399615,0.12457683
49,920.4701690673828,-559.1192,0.16167393,-1675.8242,0.33317617,0.06827112,-1.8186634,0.08547575,0.06025198,0.28514105,0.147262
50,938.7915987968445,-523.8031,0.15946971,-1570.0309,0.3246417,0.064079836,-1.8188105,0.086737394,0.06126762,0.44043815,0.12946376
51,955.6746890544891,-646.9416,0.16369565,-1939.7992,0.36700657,0.0651874,-1.4683862,0.07958093,0.06213472,0.4428633,0.13029273
52,972.1509709358215,-606.35016,0.15810473,-1817.8282,0.3520025,0.067471996,-1.6924019,0.08396781,0.06003777,0.47006547,0.12783343
53,989.1040515899658,-475.26025,0.15921798,-1424.1113,0.30943978,0.07004285,-1.9821584,0.08974971,0.059313342,0.3127824,0.14721517
54,1006.7104647159576,-518.0313,0.1576397,-1553.424,0.32268023,0.06785345,-0.58356535,0.066638425,0.06674687,-0.08631194,0.18973091
55,1023.3109791278839,-571.6895,0.15869623,-1714.5902,0.33771372,0.06588591,-0.45423818,0.06275954,0.06540317,-0.024138212,0.18333498
56,1039.743849515915,-642.8885,0.15997523,-1928.0319,0.3586789,0.06305459,-0.9059222,0.06877121,0.058289327,0.27239525,0.14914899
57,1059.1028146743774,-570.9389,0.15856162,-1712.2599,0.33837873,0.062125675,-0.7527113,0.06867145,0.060502313,0.19577777,0.1607214
58,1078.4006645679474,-792.35284,0.17148143,-2376.679,0.40631855,0.062953584,-0.79918146,0.06712599,0.061379146,0.419349,0.13529
59,1099.7908730506897,-515.3111,0.16418555,-1545.3606,0.31927317,0.066444285,-0.9249182,0.07018525,0.058491763,0.3522504,0.14407814
60,1117.9288139343262,-646.73157,0.16195099,-1938.3253,0.3610169,0.07512979,-2.078275,0.088649035,0.0583322,0.20885664,0.15923533
61,1135.7212200164795,-566.82654,0.15859188,-1699.9917,0.3388004,0.06888435,-0.702816,0.06669845,0.06572732,0.21485811,0.15989532
62,1153.809732913971,-658.41327,0.16224241,-1974.1399,0.3672515,0.068630084,-1.4415741,0.07836705,0.063682094,0.34158802,0.14467494
63,1172.6681368350983,-590.77155,0.15877679,-1768.9808,0.34747863,0.08213881,-3.8957372,0.122604534,0.07135813,0.5618464,0.11511362
64,1189.9852266311646,-431.33325,0.16147672,-1292.903,0.29093584,0.066956416,-0.9784943,0.071222976,0.073182,-0.118266106,0.19702303
65,1208.0360779762268,-496.8325,0.15770592,-1490.1498,0.3158663,0.06678216,-0.56246984,0.06824667,0.057117533,0.21481895,0.15829356
66,1225.7667355537415,-552.1237,0.15812995,-1655.5581,0.33648488,0.06452492,-1.1340954,0.07295194,0.057108264,0.3211934,0.14438918
67,1243.584487915039,-636.5257,0.16055033,-1909.0958,0.36090335,0.064961314,-1.0294104,0.07119676,0.06712604,0.5481497,0.11413986
68,1261.1112372875214,-501.24377,0.15814638,-1503.1113,0.31391287,0.062301565,-0.89303386,0.069244295,0.06051086,0.2730255,0.15036142
69,1279.0249843597412,-722.44794,0.16286676,-2166.2837,0.38605934,0.063541315,-1.3826256,0.077680826,0.057479467,0.3225888,0.14500232
70,1297.4947710037231,-625.46954,0.1640055,-1873.5189,0.3540074,0.08193924,-3.4106116,0.114428766,0.06491668,0.5209192,0.119958654
71,1315.5335111618042,-461.0215,0.15918542,-1382.2018,0.30238095,0.063823566,-1.2799196,0.07643074,0.058912672,0.4171328,0.13536198
72,1333.2480719089508,-430.76404,0.15831678,-1291.8625,0.29377958,0.058770195,-0.58070266,0.06628544,0.058778495,0.15112168,0.16248344
73,1350.8853178024292,-639.572,0.16378124,-1918.3198,0.3586881,0.06076485,-0.77496505,0.067456625,0.05981528,0.37873852,0.13587868
74,1369.9058859348297,-516.8779,0.16001482,-1550.0673,0.31328854,0.06332558,-0.7851951,0.068661034,0.058238167,0.21863121,0.15617159
75,1386.0648057460785,-515.0069,0.15813357,-1544.5662,0.3220625,0.06625344,-0.5735866,0.06462457,0.060066327,0.11906797,0.1671331
76,1402.546900510788,-615.27496,0.16641822,-1844.1758,0.35075364,0.080796815,-1.9963439,0.0889564,0.06138905,0.3472693,0.14282382
77,1418.5972158908844,-466.25137,0.15843213,-1398.3135,0.30615816,0.059069805,-0.70115936,0.06746266,0.055995967,0.26052517,0.15257484
78,1434.5858829021454,-470.57727,0.15797466,-1410.2089,0.31115007,0.06564912,-1.6555598,0.08174307,0.057673655,0.13252354,0.16593844
79,1451.2107100486755,-649.46265,0.16884865,-1947.0352,0.35996327,0.07905568,-1.5083644,0.07877533,0.056704823,0.15567678,0.16471222
80,1467.5135412216187,-498.20786,0.16028526,-1494.1942,0.305788,0.060106575,-0.7180375,0.06691403,0.05642844,0.2886353,0.14941175
81,1483.9528863430023,-556.73157,0.15936829,-1669.3602,0.33212733,0.06311167,-1.1277108,0.073423885,0.06089946,0.29324073,0.14843762
82,1500.5850138664246,-599.37384,0.15969372,-1797.5446,0.3473049,0.061149046,-0.8486283,0.0684412,0.058938205,0.2716437,0.15084253
83,1517.3793971538544,-399.8861,0.16092074,-1199.546,0.27718094,0.06402963,-0.42525578,0.06358487,0.056619123,0.3129325,0.145033
84,1533.8858804702759,-538.9743,0.15759407,-1616.4021,0.3286018,0.06728775,-0.5821309,0.065384336,0.060987912,0.061417222,0.17600174
85,1550.82350564003,-631.6026,0.1579225,-1893.8047,0.36292884,0.06482079,-1.373393,0.076839425,0.058081113,0.37019837,0.14074518
86,1568.4686381816864,-775.64386,0.16622223,-2326.1443,0.39871615,0.06449104,-1.0492625,0.07075639,0.057736993,0.2620672,0.15015878
87,1586.1647238731384,-563.6728,0.15770894,-1690.3884,0.33982363,0.060341902,-0.72665846,0.068237245,0.058654655,0.096793056,0.1714971
88,1604.1360158920288,-570.65094,0.16026522,-1711.6681,0.33848476,0.06277445,-0.4386084,0.066396795,0.0587934,0.15392923,0.1637012
89,1622.7736620903015,-598.1171,0.16336708,-1793.8374,0.3474211,0.059031613,-0.6646671,0.067180954,0.058567543,0.15065134,0.16574085
