Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
38,890.1222836971283,-531.9733,0.16368107,-1594.7131,0.31756702,0.07329537,-1.6862464,0.085309066,0.062354814,0.4793319,0.12451192
39,916.0792806148529,-634.4233,0.16285397,-1902.3519,0.35701215,0.0712062,-1.0669489,0.076849915,0.0648343,0.14910382,0.16517465
40,944.13427567482,-581.42224,0.16178288,-1743.1237,0.3412891,0.0726059,-1.4268987,0.08351009,0.059994377,0.28384227,0.14707434
41,964.4855296611786,-488.84616,0.16153479,-1465.091,0.30327857,0.076094426,-1.559155,0.0852759,0.064189784,0.11171323,0.17098966
42,988.7395358085632,-463.75757,0.16257617,-1390.1179,0.2927578,0.06994405,-1.2221003,0.07951533,0.063925,0.06721103,0.17524001
43,1014.9871895313263,-608.35284,0.16614486,-1823.9772,0.33213383,0.07053841,-1.1585827,0.07724513,0.060440954,0.07715607,0.17534313
44,1040.784732580185,-843.1467,0.17449518,-2528.0393,0.41999826,0.07838758,-1.7500362,0.0875861,0.062485103,0.34916794,0.14000154
45,1063.5677399635315,-536.74365,0.1601812,-1609.2307,0.32488838,0.06896081,-1.3239124,0.07979093,0.060231727,0.32365417,0.14216611
46,1086.93310546875,-651.3361,0.1618509,-1952.5101,0.36198193,0.076056056,-1.9566462,0.08947583,0.06329896,0.4585238,0.12668507
47,1109.2852311134338,-645.5335,0.1615758,-1935.3137,0.3626362,0.07212302,-1.2596757,0.08123571,0.06680341,-0.027142286,0.18419087
48,1133.6031422615051,-712.7458,0.165438,-2135.3247,0.37904266,0.08972969,-3.3768687,0.11405165,0.06528149,0.46431422,0.12544739
49,1156.912525177002,-478.28336,0.16396186,-1433.8623,0.30178225,0.07221121,-1.1937861,0.07918448,0.06331641,0.20587742,0.1569666
50,1180.7187345027924,-696.13055,0.16369368,-2087.0464,0.37190187,0.06791174,-1.766139,0.08829574,0.06051407,0.4209141,0.13135526
51,1203.1819565296173,-397.63474,0.16505715,-1190.0507,0.27543354,0.09275465,-2.7065623,0.10579299,0.07400194,-0.14699173,0.19796866
52,1227.043264389038,-600.76447,0.16352169,-1801.1284,0.3483443,0.073656134,-1.4766347,0.08259714,0.061738342,0.3117283,0.14460593
53,1249.4413900375366,-659.2736,0.16401803,-1976.604,0.3650432,0.077082336,-1.4162877,0.08125128,0.058993213,0.19929272,0.15687059
54,1274.3799159526825,-669.7729,0.16598637,-2008.1364,0.3693477,0.07393743,-1.6479247,0.08564797,0.07499756,0.46559703,0.1252816
55,1296.9174873828888,-723.2371,0.16949916,-2168.2815,0.38146123,0.07663395,-1.7739148,0.08713511,0.058881063,0.343889,0.14049606
56,1319.5050344467163,-530.21185,0.16714373,-1589.7449,0.32647356,0.06757856,-1.1682556,0.078393765,0.05939773,0.27755564,0.14758253
57,1341.877314567566,-608.0094,0.16144475,-1822.1707,0.34894812,0.06899738,-1.8554862,0.08779414,0.06666632,-0.0021064281,0.18057853
58,1366.8909976482391,-579.1762,0.16444694,-1736.5686,0.34632486,0.06665551,-1.0730579,0.07621337,0.06325738,0.112891495,0.16643287
59,1387.815043926239,-457.64145,0.16369973,-1371.526,0.28685832,0.07287659,-1.4381227,0.08345808,0.062786266,0.03985399,0.17865981
60,1406.9339666366577,-641.5806,0.16766691,-1922.979,0.36155108,0.0798649,-2.011377,0.09112303,0.058430232,0.24840534,0.15370046
61,1426.787925004959,-733.2751,0.16713905,-2198.7139,0.37768856,0.06723463,-1.256804,0.079065315,0.057709645,0.14550799,0.16459438
62,1449.530753850937,-721.82745,0.16542378,-2164.743,0.3802815,0.06693779,-0.9293369,0.07256898,0.058386695,0.19002652,0.15886094
63,1474.5008854866028,-533.89954,0.16149203,-1600.961,0.31961915,0.0648789,-1.0746684,0.07583934,0.061250012,0.33709764,0.14110376
64,1495.8522050380707,-627.2507,0.160976,-1880.6714,0.3478339,0.06866152,-1.5293324,0.082407035,0.06480209,0.44872993,0.12619837
