Design,placement_id,raw_nodes,cluster_nodes,compression_ratio,raw_degree,cluster_degree,center_shift
picorv32,picorv32_run_20260121_191951,6812,959,7.103232533889468,1.0841162654139753,3.067778936392075,0.04400203
picorv32,picorv32_run_20260121_192222,6573,909,7.231023102310231,1.1026928343222273,3.366336633663366,0.05939802
picorv32,picorv32_run_20260121_192448,6600,945,6.984126984126984,0.9531818181818181,2.8275132275132275,0.05335813
picorv32,picorv32_run_20260121_192705,6761,905,7.470718232044199,1.068185179707144,3.4320441988950274,0.041201897
picorv32,picorv32_run_20260121_192942,6600,881,7.491486946651532,0.9487878787878787,2.8399545970488083,0.043502104
picorv32,picorv32_run_20260122_071157,6600,842,7.838479809976247,0.9475757575757576,2.786223277909739,0.052364677
picorv32,picorv32_run_20260122_071704,8063,947,8.514255543822598,0.8285997767580305,2.914466737064414,0.038804654
picorv32,picorv32_run_20260122_072228,6573,905,7.262983425414364,1.091130381865206,3.321546961325967,0.014417934
picorv32,picorv32_run_20260122_072610,6812,922,7.388286334056399,1.0794186729301234,3.140997830802603,0.040962707
picorv32,picorv32_run_20260122_072956,6877,891,7.718294051627385,1.052784644467064,3.239057239057239,0.03911727
picorv32,picorv32_run_20260122_073334,6877,966,7.119047619047619,1.0616547913334302,3.1739130434782608,0.032549817
picorv32,picorv32_run_20260122_073711,6573,831,7.909747292418772,1.0899132816065724,3.45367027677497,0.031953473
picorv32,picorv32_run_20260122_074043,6600,900,7.333333333333333,0.9562121212121212,2.7888888888888888,0.055236135
picorv32,picorv32_run_20260122_074819,8063,931,8.660580021482277,0.8323204762495349,3.19656283566058,0.027008155
picorv32,picorv32_run_20260122_075151,6429,968,6.641528925619835,0.9713796857987246,2.675619834710744,0.018026257
picorv32,picorv32_run_20260122_075525,6429,900,7.1433333333333335,0.9678021465235651,2.7666666666666666,0.047073387
picorv32,picorv32_run_20260122_075848,6761,899,7.520578420467186,1.0730661144801066,3.2836484983314795,0.058880873
picorv32,picorv32_run_20260122_080201,6877,874,7.868421052631579,1.0468227424749164,3.3020594965675056,0.03340822
picorv32,picorv32_run_20260122_080540,6674,873,7.644902634593357,0.9447108181000899,2.9003436426116838,0.03883532
picorv32,picorv32_run_20260122_081102,6429,849,7.572438162544169,0.9653134235495412,2.838633686690224,0.038747605
picorv32,picorv32_run_20260122_083812,6600,853,7.737397420867526,0.9383333333333334,2.8792497069167644,0.018625353
picorv32,picorv32_run_20260122_084046,6573,907,7.24696802646086,1.0928038947208276,3.2701212789415655,0.028090065
picorv32,picorv32_run_20260122_084325,6573,916,7.175764192139738,1.0985851209493382,3.3384279475982535,0.048448056
picorv32,picorv32_run_20260122_084549,6761,945,7.154497354497354,1.0582754030468866,3.13015873015873,0.054658223
picorv32,picorv32_run_20260122_084814,6812,934,7.293361884368308,1.0891074574280681,3.2955032119914347,0.054500278
picorv32,picorv32_run_20260122_085104,6812,904,7.535398230088496,1.0987962419260129,3.4579646017699117,0.05008588
picorv32,picorv32_run_20260122_085404,6573,918,7.160130718954249,1.097824433287692,3.2788671023965144,0.043952323
picorv32,picorv32_run_20260122_085702,8063,908,8.879955947136564,0.8247550539501426,3.015418502202643,0.029010508
picorv32,picorv32_run_20260122_085937,6812,942,7.231422505307855,1.103934233705226,3.346072186836518,0.017476149
picorv32,picorv32_run_20260122_090207,6573,828,7.938405797101449,1.0982808458846798,3.6183574879227054,0.049881678
picorv32,picorv32_run_20260122_090436,6674,921,7.246471226927253,0.9409649385675757,2.781758957654723,0.044872865
picorv32,picorv32_run_20260122_090658,6812,914,7.452954048140044,1.1073106283029948,3.363238512035011,0.05321454
