launch_flop,capture_flop,slack
_18383_,_19305_,0.906552
_18383_,_19309_,0.966663
_18383_,_19313_,0.998318
_18383_,_19308_,0.998521
_18383_,_19120_,1.038412
_18383_,_19121_,1.054051
_18383_,_19117_,1.068829
_18383_,_19311_,1.088412
_18383_,_19310_,1.093808
_18383_,_19307_,1.099199
_18383_,_19312_,1.109222
_18383_,_19119_,1.148360
_18383_,_19303_,1.159241
_18383_,_19306_,1.218058
_18383_,_19116_,1.230995
_18383_,_19304_,1.266022
_18383_,_19118_,1.289808
_18383_,_19112_,1.310679
_18383_,_19113_,1.312143
_18383_,_19110_,1.313926
_18383_,_19109_,1.315812
_18383_,_19115_,1.330268
_18383_,_19108_,1.408216
_18383_,_19114_,1.444403
_18383_,_19302_,1.462165
_18383_,_19111_,1.547977
_18383_,_19301_,1.580961
_18383_,_19107_,1.581165
_18383_,_19300_,1.667455
_18383_,_19297_,1.754512
_18383_,_19299_,1.755145
_18383_,_19106_,1.920340
_18383_,_19105_,1.933329
_18383_,_19298_,1.975980
_18383_,_19104_,1.985393
_18383_,_19296_,1.995682
_18383_,_19295_,2.122508
_18383_,_19103_,2.215426
_18383_,_19294_,2.274622
_18383_,_19292_,2.371907
_18383_,_19293_,2.418052
_18383_,_19102_,2.514819
_18383_,_19290_,2.666312
_18383_,_19101_,2.673676
_18383_,_19291_,2.689972
_19028_,_19153_,2.697202
_18383_,_19099_,2.721596
_19028_,_19152_,2.782967
_18383_,_19100_,2.803153
_19156_,_18961_,2.905155
_18383_,_19289_,2.940546
_19188_,_19346_,2.963452
_18962_,_19281_,2.963785
_19028_,_19151_,2.984040
_18962_,_19280_,2.985507
_18383_,_19288_,3.005842
_19188_,_19345_,3.009123
_19092_,_18865_,3.021849
_19156_,_18960_,3.038792
_19284_,_18929_,3.056853
_18383_,_19286_,3.095613
_18382_,_19098_,3.151063
_18383_,_19096_,3.157733
_19028_,_19150_,3.169042
_19092_,_18864_,3.173696
_19218_,_18896_,3.173879
_19220_,_18897_,3.176659
_19060_,_19024_,3.196679
_18962_,_19279_,3.197176
_18382_,_19287_,3.211355
_19284_,_18928_,3.216735
_18382_,_19097_,3.217515
_19060_,_19025_,3.230183
_19028_,_19149_,3.230376
_19156_,_18959_,3.275211
_19188_,_19344_,3.279389
_19156_,_18958_,3.306993
_18454_,_17605_,3.326905
_19156_,_18957_,3.331416
_18962_,_19278_,3.361793
_18382_,_19095_,3.382144
_19284_,_18927_,3.388062
_19028_,_19148_,3.401192
_19092_,_18863_,3.426104
_19218_,_18895_,3.482161
_19188_,_19343_,3.484630
