launch_flop,capture_flop,slack
_25413_,_26414_,0.152439
_25413_,_25890_,0.152449
_25413_,_24818_,0.152467
_25413_,_26286_,0.152474
_25413_,_26926_,0.152488
_25413_,_26030_,0.152526
_25413_,_27054_,0.162454
_25413_,_27310_,0.162478
_25413_,_26542_,0.162497
_25413_,_26798_,0.162530
_25413_,_27182_,0.162556
_25413_,_26670_,0.162587
_25413_,_27438_,0.162587
_25413_,_25473_,0.162594
_24922_,_27570_,0.272675
_24922_,_27619_,0.315177
_24922_,_27770_,0.321466
_27743_,_24802_,0.378291
_27743_,_25874_,0.378291
_27743_,_26014_,0.378291
_27743_,_26270_,0.378291
_27743_,_26398_,0.378291
_27743_,_26910_,0.378291
_27743_,_25457_,0.381427
_27743_,_26526_,0.381427
_27743_,_26654_,0.381427
_27743_,_26782_,0.381427
_27743_,_27038_,0.381427
_27743_,_27166_,0.381427
_27743_,_27294_,0.381427
_27743_,_27422_,0.381427
_24922_,_27571_,0.382624
_27743_,_26402_,0.394991
_27743_,_26914_,0.394994
_27743_,_24806_,0.394995
_27743_,_25878_,0.394996
_27743_,_26274_,0.395000
_27743_,_26018_,0.395024
_27743_,_26530_,0.405290
_27743_,_26786_,0.405294
_27743_,_25461_,0.405295
_27743_,_27042_,0.405300
_27743_,_26658_,0.405314
_27743_,_27426_,0.405314
_27743_,_27170_,0.405318
_27743_,_27298_,0.405375
_25414_,_26421_,0.412856
_25414_,_26293_,0.412862
_25414_,_24825_,0.412866
_25414_,_25897_,0.412866
_25414_,_26933_,0.412905
_25414_,_26037_,0.412945
_25413_,_26455_,0.414400
_25413_,_26327_,0.414405
_25413_,_24859_,0.414409
_25413_,_25931_,0.414410
_25413_,_26967_,0.414449
_25413_,_26071_,0.414509
_27743_,_25746_,0.421312
_24922_,_27634_,0.421511
_25414_,_26549_,0.422874
_25414_,_25480_,0.422875
_25414_,_27061_,0.422879
_25414_,_26805_,0.422881
_25414_,_27317_,0.422922
_25414_,_27189_,0.422982
_25414_,_26677_,0.423012
_25414_,_27445_,0.423012
_25413_,_26391_,0.424000
_25413_,_26903_,0.424002
_25413_,_26263_,0.424005
_25413_,_25867_,0.424009
_25413_,_24795_,0.424028
