launch_flop,capture_flop,slack
_10714_,_10520_,-2.044164
_10714_,_10518_,-2.021185
_10714_,_10519_,-1.966952
_10583_,_10646_,-1.933342
_10583_,_10645_,-1.880844
_10714_,_10517_,-1.811540
_10714_,_10515_,-1.739852
_10714_,_10516_,-1.738355
_10583_,_10644_,-1.684547
_10583_,_10642_,-1.588717
_10583_,_10643_,-1.573234
_10714_,_10514_,-1.530207
_10714_,_10512_,-1.458518
_10714_,_10513_,-1.457022
_10583_,_10640_,-1.429634
_10583_,_10641_,-1.379655
_10583_,_10639_,-1.303925
_10714_,_10511_,-1.248873
_10714_,_10509_,-1.177183
_10714_,_10510_,-1.175688
_10583_,_10638_,-1.105272
_10583_,_10636_,-1.033583
_10583_,_10637_,-1.032087
_09946_,_09975_,-1.008617
_10714_,_10508_,-0.967543
_10714_,_10506_,-0.895119
_10714_,_10507_,-0.894354
_10583_,_10635_,-0.823943
_09946_,_10647_,-0.819654
_09946_,_09974_,-0.794477
_10583_,_10634_,-0.750754
_10583_,_10632_,-0.721350
_10714_,_10505_,-0.687380
_09946_,_09972_,-0.646801
_10583_,_10633_,-0.645769
_10714_,_10503_,-0.617699
_10714_,_10504_,-0.610675
_10748_,_10582_,-0.588829
_10583_,_10630_,-0.507948
_10583_,_10631_,-0.467705
_09946_,_09970_,-0.416669
_10714_,_10502_,-0.408073
_10748_,_10580_,-0.359368
_10714_,_10500_,-0.336619
_10714_,_10501_,-0.334871
_09946_,_10784_,-0.331880
_10583_,_10629_,-0.298306
_10748_,_10581_,-0.297049
_09946_,_09973_,-0.280690
_09946_,_09969_,-0.253197
_10748_,_10579_,-0.238438
_10583_,_10627_,-0.225914
_10583_,_10628_,-0.225119
_09946_,_09971_,-0.177181
_09946_,_10783_,-0.135444
_10714_,_10499_,-0.126974
_10523_,_10678_,-0.088693
_10714_,_10497_,-0.055286
_10714_,_10498_,-0.053789
_09946_,_09967_,-0.049208
_10748_,_10578_,-0.046373
_10523_,_10679_,-0.037823
_10583_,_10626_,-0.018139
_10583_,_10624_,0.051543
_10583_,_10625_,0.058566
_10522_,_10423_,0.106542
_10522_,_10135_,0.106545
_10522_,_11148_,0.106545
_10522_,_10007_,0.106548
_10522_,_10071_,0.106548
_10522_,_10231_,0.106549
_10522_,_10295_,0.106549
_10522_,_10039_,0.106550
_10522_,_11212_,0.106550
_10522_,_11308_,0.106551
_10522_,_10103_,0.106554
_10522_,_10327_,0.106603
_10522_,_10263_,0.106610
_10522_,_11180_,0.106611
_10522_,_11106_,0.106621
_10522_,_10167_,0.106634
_10522_,_10391_,0.106634
_10522_,_10893_,0.106634
_10748_,_10577_,0.112885
_10522_,_11276_,0.116446
_10522_,_11244_,0.116462
_10522_,_09939_,0.116518
_10522_,_10199_,0.116518
_10522_,_10359_,0.116518
_10522_,_10455_,0.116518
_10522_,_11037_,0.116518
_10522_,_11340_,0.116518
_10522_,_11407_,0.116518
_10522_,_11439_,0.116518
_10522_,_11503_,0.116518
_10522_,_11005_,0.116518
_10522_,_11375_,0.116518
_09946_,_09968_,0.137443
_09946_,_09966_,0.137745
_10714_,_10496_,0.154360
_10522_,_10892_,0.156354
_10522_,_10422_,0.156369
_10522_,_10326_,0.156378
_10522_,_10262_,0.156385
_10522_,_11179_,0.156386
_10522_,_10134_,0.156389
_10522_,_11147_,0.156389
_10522_,_10006_,0.156391
_10522_,_10070_,0.156391
_10522_,_10038_,0.156400
_10522_,_10102_,0.156400
_10522_,_10166_,0.156400
_10522_,_10230_,0.156400
_10522_,_10294_,0.156400
_10522_,_10390_,0.156400
_10522_,_11105_,0.156400
_10522_,_11211_,0.156400
_10522_,_11307_,0.156400
_10522_,_11275_,0.166182
_10522_,_11243_,0.166199
_10522_,_09938_,0.166255
_10522_,_10198_,0.166255
_10522_,_10358_,0.166255
_10522_,_10454_,0.166255
_10522_,_11036_,0.166255
_10522_,_11339_,0.166255
_10522_,_11406_,0.166255
_10522_,_11438_,0.166255
_10522_,_11502_,0.166255
_10522_,_11004_,0.166255
_10522_,_11374_,0.166255
_10714_,_10494_,0.226048
_10714_,_10495_,0.227545
_09946_,_10782_,0.233146
_10583_,_10623_,0.261168
_09946_,_10779_,0.295827
_10522_,_11306_,0.297566
_10522_,_10165_,0.297575
_10522_,_10891_,0.297595
_10522_,_10421_,0.297610
_10522_,_10325_,0.297618
_10522_,_10261_,0.297626
_10522_,_11178_,0.297626
_10522_,_10133_,0.297630
_10522_,_11146_,0.297630
_10522_,_10005_,0.297632
_10522_,_10069_,0.297632
_10522_,_11210_,0.297643
_10522_,_10037_,0.297644
_10522_,_10229_,0.297649
