launch_flop,capture_flop,slack
_18384_,_18511_,5.396265
_18454_,_17579_,5.398220
_18384_,_18418_,5.400043
_18384_,_18445_,5.400042
_18384_,_18514_,5.400042
_18384_,_18541_,5.400042
_18384_,_18543_,5.400042
_18384_,_18546_,5.400042
_18384_,_18573_,5.400043
_18384_,_18575_,5.400042
_18384_,_18578_,5.400043
_18384_,_18605_,5.400042
_18384_,_18610_,5.400042
_18384_,_18637_,5.400042
_18384_,_18639_,5.400042
_18384_,_18642_,5.400042
_18384_,_18669_,5.400042
_18384_,_18671_,5.400042
_18384_,_18674_,5.400042
_18384_,_18701_,5.400042
_18384_,_18703_,5.400042
_18384_,_18706_,5.400042
_18384_,_18733_,5.400043
_18384_,_18738_,5.400042
_18384_,_18765_,5.400042
_18384_,_18767_,5.400043
_18384_,_18770_,5.400043
_18384_,_18797_,5.400042
_18384_,_18799_,5.400042
_18384_,_18802_,5.400042
_18384_,_18829_,5.400042
_18384_,_18831_,5.400042
_19282_,_18916_,5.402596
_19092_,_18849_,5.417440
_18962_,_19265_,5.418038
_19092_,_18850_,5.426409
_19028_,_19138_,5.434573
_19060_,_19012_,5.452292
_19186_,_19332_,5.463387
_19156_,_18946_,5.469371
_19284_,_18914_,5.508553
_19028_,_19137_,5.509614
_19060_,_19011_,5.513560
_19186_,_19331_,5.516014
_18962_,_19264_,5.532801
_18385_,_18369_,5.542264
_18385_,_18354_,5.542289
_18385_,_18392_,5.542288
_18385_,_18407_,5.542289
_18385_,_18503_,5.542285
_18385_,_18456_,5.542295
_18385_,_18468_,5.542296
_18385_,_18488_,5.542291
_18385_,_18424_,5.546063
_18385_,_18439_,5.546063
_18385_,_18520_,5.546063
_18385_,_18552_,5.546063
_18385_,_18584_,5.546064
_18385_,_18599_,5.546063
_18385_,_18616_,5.546063
_18385_,_18648_,5.546063
_18385_,_18680_,5.546063
_18385_,_18695_,5.546063
_18385_,_18727_,5.546064
_18385_,_18744_,5.546064
_18385_,_18759_,5.546064
_18385_,_18776_,5.546063
