launch_flop,capture_flop,slack
_21723_,_22579_,-2.461811
_21723_,_22578_,-2.407619
_21723_,_22577_,-2.170341
_21723_,_22576_,-1.701438
_21723_,_22575_,-1.477448
_21723_,_22387_,-1.411217
_21723_,_22574_,-1.367994
_21723_,_22386_,-1.316452
_21723_,_22385_,-1.209417
_21723_,_22384_,-1.009306
_21723_,_22573_,-0.940833
_21723_,_22383_,-0.827646
_21723_,_22571_,-0.755983
_21723_,_22572_,-0.752701
_21723_,_22382_,-0.716881
_21723_,_22381_,-0.471339
_21723_,_22570_,-0.341141
_21723_,_22569_,-0.306799
_21723_,_22565_,-0.215943
_21723_,_22380_,-0.202567
_21723_,_22567_,-0.086259
_21723_,_22568_,-0.025646
_21723_,_22378_,0.045743
_21723_,_22379_,0.125764
_21723_,_22566_,0.145316
_21723_,_22563_,0.163523
_21723_,_22377_,0.338241
_21723_,_22376_,0.356419
_21723_,_22564_,0.363574
_21646_,_22371_,0.384418
_21723_,_22375_,0.581682
_21646_,_22370_,0.585316
_21723_,_22373_,0.631718
_21723_,_22559_,0.645602
_21723_,_22374_,0.647763
_21723_,_22562_,0.779824
_21723_,_22561_,0.853766
_22422_,_22226_,0.857658
_22422_,_22227_,0.931756
_21723_,_22372_,0.938806
_22422_,_22225_,0.978760
_21646_,_22369_,1.004701
_22358_,_22131_,1.025722
_22550_,_22195_,1.030109
_21646_,_22368_,1.105543
_22452_,_22612_,1.125906
_22484_,_22163_,1.174044
_22358_,_22130_,1.208231
_22550_,_22194_,1.242110
_22422_,_22224_,1.257115
_21723_,_22560_,1.257953
_22452_,_22611_,1.297362
_22550_,_22193_,1.328350
_22260_,_22291_,1.357245
_22229_,_22547_,1.369240
_22452_,_22610_,1.369707
_22260_,_22290_,1.380574
_21723_,_20871_,1.386554
_21723_,_22558_,1.394197
_22229_,_22546_,1.404620
_22550_,_22192_,1.426341
_22484_,_22162_,1.459512
_21646_,_22367_,1.460201
_22358_,_22128_,1.538972
_22388_,_22419_,1.580404
_22260_,_22289_,1.582635
_22358_,_22129_,1.585304
_22452_,_22609_,1.592981
_22358_,_22127_,1.618328
_22422_,_22223_,1.619389
_22229_,_22545_,1.628834
_22484_,_22161_,1.651319
_22388_,_22418_,1.656701
_22550_,_22191_,1.671974
_22484_,_22160_,1.712572
_22260_,_22288_,1.713423
_22388_,_22417_,1.736441
_21723_,_20868_,1.777193
_22358_,_22126_,1.788865
_21646_,_22366_,1.828724
_22229_,_22544_,1.836987
_21723_,_20870_,1.847782
_21646_,_22557_,1.849380
_22452_,_22608_,1.884749
_22550_,_22190_,1.891179
_22229_,_22543_,1.935863
_22260_,_22287_,1.944167
_22358_,_22125_,1.944521
_22388_,_22416_,1.959726
_22484_,_22159_,1.990175
_22422_,_22222_,2.019657
_22260_,_22286_,2.036396
_22452_,_22604_,2.051281
_22550_,_22189_,2.125052
_21646_,_22365_,2.156281
_22484_,_22158_,2.158500
_21723_,_20869_,2.162398
_22452_,_22607_,2.169933
_22229_,_22542_,2.181105
_22452_,_22603_,2.213454
_22358_,_22124_,2.237382
_22388_,_22415_,2.250603
_22260_,_22285_,2.272066
_22422_,_22221_,2.278736
_21646_,_22364_,2.291270
_21646_,_22554_,2.330656
_21646_,_22556_,2.354337
_22358_,_22123_,2.365371
_22260_,_22284_,2.378473
_22484_,_22157_,2.411732
_22550_,_22188_,2.433637
_21723_,_20867_,2.440925
_22229_,_22541_,2.449337
_21646_,_22555_,2.499194
_21723_,_20866_,2.515025
_22388_,_22414_,2.518836
_22452_,_22606_,2.520019
_21723_,_20865_,2.523736
_22452_,_22602_,2.548555
_21646_,_22553_,2.554211
_22422_,_22220_,2.575685
_22260_,_22283_,2.581866
_22484_,_22156_,2.611205
_22358_,_22122_,2.648334
_21646_,_22363_,2.652783
_22550_,_22187_,2.715833
_22229_,_22540_,2.717613
_21646_,_22362_,2.726853
_22358_,_22121_,2.734888
_22452_,_22605_,2.761943
_22388_,_22413_,2.787112
_21646_,_22361_,2.814773
_22358_,_22120_,2.863664
_22484_,_22155_,2.863780
_22422_,_22219_,2.871718
_22260_,_22282_,2.886763
_22452_,_22601_,2.886952
_22260_,_22281_,2.969366
_22229_,_22539_,2.988406
_21723_,_20864_,3.006557
_22550_,_22186_,3.011784
_22358_,_22119_,3.044938
_22388_,_22412_,3.055385
_22260_,_22280_,3.090362
_21723_,_20863_,3.146051
_21646_,_22552_,3.150264
_22484_,_22154_,3.173371
_22422_,_22218_,3.181426
_21646_,_22360_,3.223806
_21723_,_20862_,3.225469
_22260_,_22279_,3.269604
_22452_,_22600_,3.288611
_22358_,_22118_,3.310277
_22230_,_22535_,3.321416
_22388_,_22411_,3.324538
_22229_,_22538_,3.339026
_21723_,_20861_,3.354949
_22550_,_22185_,3.371583
_21646_,_22551_,3.439936
_22484_,_22153_,3.454577
_22422_,_22217_,3.463626
_22229_,_22534_,3.512318
_22358_,_22117_,3.546186
_22388_,_22407_,3.572575
_22260_,_22278_,3.579499
_22550_,_22184_,3.598016
_22388_,_22410_,3.609806
_22452_,_22599_,3.626127
_22229_,_22537_,3.674362
_21646_,_22359_,3.706544
_22229_,_22533_,3.733787
_22484_,_22152_,3.735219
_21723_,_20859_,3.748647
_22422_,_22216_,3.753777
_22388_,_22406_,3.755962
_22358_,_22116_,3.788701
_21723_,_20860_,3.813248
_22550_,_22183_,3.839476
_22550_,_22179_,3.840926
_22260_,_22277_,3.917340
_22229_,_22536_,3.922444
_22422_,_22211_,3.949533
_22388_,_22409_,3.960191
_22452_,_22598_,3.963455
_22422_,_22215_,3.991836
_22484_,_22151_,4.007587
_21646_,_22550_,4.019632
_22358_,_22115_,4.021811
_22229_,_22532_,4.031951
_22550_,_22182_,4.053629
_22388_,_22405_,4.074697
_22422_,_22210_,4.088334
_22550_,_22178_,4.112493
_21646_,_22358_,4.158213
_22422_,_22214_,4.180517
_22388_,_22408_,4.198662
_21723_,_20858_,4.204508
_22388_,_22404_,4.233828
_21638_,_20857_,4.253295
_22260_,_22276_,4.268649
_22484_,_22150_,4.294689
_22452_,_22597_,4.302707
_22229_,_22531_,4.329916
_22422_,_22213_,4.370327
_22422_,_22209_,4.401022
_22550_,_22177_,4.441374
_22358_,_22114_,4.467153
_22229_,_22530_,4.478105
_22260_,_22275_,4.496729
_22550_,_22180_,4.514148
_22484_,_22147_,4.514812
_21723_,_20856_,4.533697
_22484_,_22149_,4.541503
_22550_,_22181_,4.547262
_22388_,_22403_,4.547899
_21648_,_22357_,4.574371
_21648_,_22549_,4.574371
_21723_,_20851_,4.597519
_22452_,_22596_,4.601206
_22422_,_22212_,4.638978
_21723_,_20854_,4.660797
_22550_,_22176_,4.689997
_21723_,_20853_,4.690489
_22422_,_22208_,4.716557
_21723_,_20855_,4.721416
_22260_,_22274_,4.743629
_22484_,_22148_,4.747532
_22484_,_22145_,4.754883
_22358_,_22113_,4.765250
_22229_,_22529_,4.780252
_22484_,_22146_,4.781217
_22452_,_22595_,4.790726
_21723_,_20852_,4.831415
_22388_,_22402_,4.857402
_21723_,_20849_,4.874186
_22452_,_22594_,4.913596
_21723_,_20850_,4.914284
_22484_,_22144_,4.925895
_22260_,_22273_,4.964126
_22550_,_22175_,4.979620
_22358_,_22112_,5.019363
_22422_,_22207_,5.032688
_21723_,_20848_,5.061379
_22388_,_22401_,5.098969
_21723_,_20847_,5.099101
_22229_,_22528_,5.099434
_22550_,_22174_,5.154149
_21649_,_22548_,5.175220
_22260_,_22272_,5.251861
_22422_,_22206_,5.266918
_22484_,_22143_,5.289333
_21723_,_20846_,5.292416
_22358_,_22111_,5.313986
_22388_,_22400_,5.316298
_21723_,_20845_,5.316444
_22452_,_22593_,5.365559
_21649_,_22356_,5.370963
_22452_,_22592_,5.385820
_22550_,_22173_,5.398829
_22229_,_22527_,5.417207
_22260_,_22271_,5.423079
_22358_,_22110_,5.433193
_22422_,_22205_,5.487585
_22388_,_22399_,5.492502
_21650_,_21656_,5.494473
_21650_,_21657_,5.494473
_21650_,_21658_,5.494473
_21650_,_21659_,5.494473
_21650_,_21660_,5.494473
_21650_,_21661_,5.494473
_21650_,_21662_,5.494473
_21650_,_21663_,5.494473
_21650_,_21664_,5.494473
_21650_,_21665_,5.494473
_21650_,_21956_,5.507139
_21650_,_21957_,5.507139
_21650_,_21958_,5.507139
_21650_,_21959_,5.507139
_21650_,_21960_,5.507139
_21650_,_21961_,5.507139
_21650_,_21962_,5.507139
_21650_,_21963_,5.507139
_21650_,_21964_,5.507139
_21650_,_21965_,5.507139
_21650_,_21976_,5.507139
_21650_,_21977_,5.507139
_21650_,_21978_,5.507139
_21650_,_21979_,5.507139
_21650_,_21980_,5.507139
_21650_,_21981_,5.507139
_21650_,_21982_,5.507139
_21650_,_21983_,5.507139
_21650_,_21984_,5.507139
_21650_,_21985_,5.507139
_21650_,_22026_,5.507139
_21650_,_22027_,5.507139
_21650_,_22028_,5.507139
_21650_,_22029_,5.507139
_21650_,_22030_,5.507139
_21650_,_22031_,5.507139
_21650_,_22032_,5.507139
_21650_,_22033_,5.507139
_21650_,_22034_,5.507139
_21650_,_22035_,5.507139
_21650_,_21766_,5.509142
_21650_,_21767_,5.509142
_21650_,_21768_,5.509142
_21650_,_21769_,5.509142
_21650_,_21770_,5.509142
_21650_,_21771_,5.509142
_21650_,_21772_,5.509142
_21650_,_21773_,5.509142
_21650_,_21774_,5.509142
_21650_,_21775_,5.509142
_21650_,_21786_,5.509142
_21650_,_21787_,5.509142
_21650_,_21788_,5.509142
_21650_,_21789_,5.509142
_21650_,_21790_,5.509142
_21650_,_21791_,5.509142
_21650_,_21792_,5.509142
_21650_,_21793_,5.509142
_21650_,_21794_,5.509142
_21650_,_21795_,5.509142
_21650_,_21816_,5.509142
_21650_,_21817_,5.509142
