cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,30,216,147,32.504299999003855,224.37595202094604,0.5340782700154113
70,30,245,148,32.504299999003855,224.43376936706514,0.533119225577027
69,21,259,148,32.504299999003855,224.9471864913018,0.5320456565477135
68,22,254,150,32.504299999003855,224.96236691396922,0.5319551945188812
69,17,257,149,32.504299999003855,225.18596120439886,0.5306237196977391
70,30,225,149,32.504299999003855,224.3788513256089,0.5337094252398414
70,30,134,142,32.504299999003855,224.1860966142187,0.5429019272742347
70,21,251,147,32.504299999003855,224.84776239762365,0.5324820514703923
70,30,237,150,32.504299999003855,224.39727613404713,0.5333851120336923
68,30,260,150,32.504299999003855,224.62049243907566,0.5326652087308256
69,30,258,147,32.504299999003855,224.56266548293704,0.5327347129806195
69,22,253,146,32.504299999003855,224.91588287522683,0.5320671456228282
69,29,247,150,32.504299999003855,224.55958349480952,0.5327782857933112
69,19,255,150,32.504299999003855,225.09366641348785,0.5308605627562313
70,30,167,141,32.504299999003855,224.30161019926948,0.5359756456390941
70,18,253,148,32.504299999003855,225.07339383831516,0.531216069227984
70,30,199,150,32.504299999003855,224.3056543822766,0.535260668082842
70,30,137,146,32.504299999003855,224.15986295801545,0.5432386288213052
70,30,169,150,32.504299999003855,224.22365691680224,0.5364239541847176
70,22,251,150,32.504299999003855,224.7828171883323,0.5325095865802716
70,30,203,147,32.504299999003855,224.3437327167283,0.5346262699134371
70,21,259,149,32.504299999003855,224.84639262024777,0.5324880975051569
70,20,252,145,32.504299999003855,225.01628575168277,0.5315632373812719
70,30,132,145,32.504299999003855,224.1690470832594,0.5431838390738146
69,27,279,148,32.504299999003855,224.73439662328636,0.5325821241986249
69,18,251,150,32.504299999003855,225.14197883516084,0.5307736282705406
