cd,cs,mw,bd,power_mW,wl_mm,skew_ns
70,23,249,147,57.46212573959047,672.8568017968742,0.7149789667168249
70,27,268,146,57.46212573959047,672.0989177032416,0.7153428865961317
70,28,263,148,57.46212573959047,671.9347183288755,0.7155256742166403
70,15,260,149,57.46212573959047,673.6034055829747,0.7143969004557865
70,23,256,148,57.46212573959047,672.7932090623765,0.7151413314863075
70,22,269,145,57.46212573959047,672.952997305843,0.7147877604991626
70,30,258,148,57.46212573959047,671.6764555410357,0.715999597639208
70,16,251,146,57.46212573959047,673.4966484025256,0.714757502859377
70,15,260,143,57.46212573959047,673.77115085568,0.7141977358166348
70,25,249,144,57.46212573959047,672.6064441088415,0.7153425550843712
70,18,267,145,57.46212573959047,673.3630808042514,0.7147599148959037
70,15,277,146,57.46212573959047,673.5865749558156,0.7144282848173478
70,13,259,145,57.46212573959047,674.062629242652,0.7141437960242834
70,30,261,148,57.46212573959047,671.6608083749812,0.7160515330893068
