launch_flop,capture_flop,slack
_25536_,_24944_,0.094833
_25536_,_26016_,0.094834
_25536_,_27052_,0.094835
_25536_,_25599_,0.094837
_25536_,_26412_,0.094841
_25536_,_26156_,0.094843
_25536_,_26924_,0.094891
_25536_,_26796_,0.094915
_25536_,_25594_,0.099901
_25536_,_27047_,0.099901
_25536_,_26407_,0.099904
_25536_,_24939_,0.099904
_25536_,_26151_,0.099904
_25536_,_26919_,0.099904
_25536_,_26791_,0.099905
_25536_,_26011_,0.099905
_25536_,_27436_,0.105123
_25536_,_27180_,0.105124
_25536_,_26668_,0.105135
_25536_,_27564_,0.105138
_25536_,_27308_,0.105142
_25536_,_26540_,0.105143
_25536_,_27431_,0.110187
_25536_,_27175_,0.110194
_25536_,_27303_,0.110197
_25536_,_26535_,0.110199
_25536_,_26663_,0.110201
_25536_,_27559_,0.110203
_25536_,_24976_,0.161526
_25536_,_27084_,0.161526
_25536_,_26048_,0.161527
_25536_,_25631_,0.161529
_25536_,_26956_,0.161533
_25536_,_26444_,0.161534
_25536_,_26188_,0.161536
_25536_,_26828_,0.161608
_25536_,_27468_,0.171817
_25536_,_27212_,0.171819
_25536_,_26700_,0.171829
_25536_,_27596_,0.171832
_25536_,_27340_,0.171836
_25536_,_26572_,0.171838
_25536_,_26925_,0.176223
_25536_,_27053_,0.176223
_25536_,_24945_,0.176223
_25536_,_26017_,0.176223
_25536_,_26157_,0.176232
_25536_,_26797_,0.176232
_25536_,_25600_,0.176256
_25536_,_26413_,0.176334
_25536_,_27437_,0.186428
_25536_,_27181_,0.186435
_25536_,_27565_,0.186440
_25536_,_26541_,0.186441
_25536_,_27309_,0.186443
_25536_,_26669_,0.186444
_25536_,_24977_,0.221896
_25536_,_25632_,0.221896
_25536_,_26049_,0.221896
_25536_,_26189_,0.221896
_25536_,_26445_,0.221896
_25536_,_26829_,0.221896
_25536_,_26957_,0.221896
_25536_,_27085_,0.221896
_25536_,_26573_,0.224490
_25536_,_26701_,0.224490
_25536_,_27213_,0.224490
_25536_,_27341_,0.224490
_25536_,_27469_,0.224490
_25536_,_27597_,0.224490
_25536_,_27021_,0.227432
_25536_,_25041_,0.227433
_25536_,_26381_,0.227433
_25536_,_27149_,0.227436
_25536_,_26253_,0.227442
_25536_,_26509_,0.227453
_25536_,_25696_,0.227477
_25536_,_26113_,0.227478
_25536_,_26893_,0.227488
_25536_,_27533_,0.237482
_25536_,_27277_,0.237490
_25536_,_27661_,0.237495
_25536_,_26637_,0.237495
