launch_flop,capture_flop,slack
_1885_,_1886_,0.035567
_1887_,_1888_,0.035742
_1988_,_1988_,0.036191
_1983_,_1983_,0.036257
_1944_,_1940_,0.037425
_1994_,_1994_,0.039054
_1978_,_1978_,0.039884
_2003_,_2003_,0.040365
_1999_,_1999_,0.040576
_2001_,_2001_,0.040697
_1977_,_1977_,0.041233
_1992_,_1992_,0.041788
_1879_,_1880_,0.042008
_1998_,_1998_,0.042180
_1980_,_1980_,0.042186
_1995_,_1995_,0.042601
_1935_,_1935_,0.044535
_1986_,_1986_,0.045538
_1974_,_1974_,0.046349
_1956_,_1956_,0.046822
_1934_,_1934_,0.049588
_1984_,_1984_,0.049589
_1993_,_1993_,0.050114
_2002_,_2002_,0.050777
_1990_,_1990_,0.052338
_1997_,_1997_,0.052891
_1987_,_1987_,0.054237
_1964_,_1964_,0.054550
_1981_,_1981_,0.055202
_1870_,_1871_,0.055495
_1954_,_1954_,0.058027
_1996_,_1996_,0.058210
_1991_,_1991_,0.059931
_1961_,_1961_,0.060913
_1968_,_1968_,0.061815
_1950_,_1950_,0.062421
_1989_,_1989_,0.063166
_1976_,_1976_,0.063240
_1898_,_1897_,0.065211
_1970_,_1970_,0.065479
_1963_,_1963_,0.066439
_1955_,_1955_,0.066611
_1962_,_1962_,0.067437
_1930_,_1939_,0.068781
_1958_,_1958_,0.069431
_1948_,_1948_,0.069628
_1975_,_1975_,0.071067
_1953_,_1953_,0.072063
_1965_,_1965_,0.072900
_1936_,_1936_,0.075052
_1931_,_1932_,0.075103
_1947_,_1947_,0.076861
_1951_,_1951_,0.078307
_1941_,_1941_,0.079710
_1957_,_1957_,0.080139
_1966_,_1966_,0.080377
_1971_,_1971_,0.081658
_2003_,_2004_,0.082216
_1949_,_1949_,0.085651
_1952_,_1952_,0.085854
_1945_,_1945_,0.086362
_1946_,_1946_,0.087051
_1967_,_1967_,0.087502
_1959_,_1959_,0.089016
_1944_,_1944_,0.095570
_1973_,_1973_,0.102944
_1972_,_1972_,0.103480
_1960_,_1960_,0.119392
_1969_,_1969_,0.130964
_1943_,_1943_,0.174329
_2001_,_1926_,0.183806
_1943_,_1928_,0.239020
