launch_flop,capture_flop,slack
_15731_,_16661_,-1.308399
_15731_,_16660_,-1.216582
_15731_,_16469_,-0.944049
_15731_,_16659_,-0.934067
_15731_,_16657_,-0.873622
_15731_,_16467_,-0.848594
_15731_,_16656_,-0.784270
_15731_,_16655_,-0.764184
_15731_,_16658_,-0.675670
_15731_,_16468_,-0.675636
_15731_,_16654_,-0.446200
_15731_,_16466_,-0.405716
_15731_,_16465_,-0.305096
_15731_,_16461_,-0.274030
_15731_,_16464_,-0.228420
_15731_,_16460_,-0.124740
_15731_,_16463_,-0.088280
_15731_,_16652_,-0.078443
_15731_,_16653_,0.002777
_15731_,_16458_,0.027469
_15731_,_16462_,0.030866
_15731_,_16651_,0.033112
_15731_,_16459_,0.048392
_15731_,_16650_,0.102665
_15731_,_16647_,0.188957
_15731_,_16648_,0.259192
_15731_,_16649_,0.451940
_15731_,_16457_,0.484575
_15731_,_16456_,0.495836
_15731_,_16646_,0.693019
_15731_,_16455_,0.717752
_15731_,_16454_,0.787065
_15731_,_16453_,0.815518
_15731_,_16645_,0.984848
_15731_,_16452_,1.191348
_15731_,_16644_,1.203655
_15731_,_16643_,1.354197
_15731_,_16451_,1.355977
_15731_,_16642_,1.418488
_15731_,_16641_,1.498780
_15731_,_16450_,1.533399
_16311_,_16629_,1.716497
_15731_,_16640_,1.760473
_16311_,_16628_,1.820954
_15731_,_16639_,1.837726
_15731_,_16449_,1.879821
_15731_,_16638_,1.932743
_16407_,_16373_,1.938926
_15731_,_16448_,1.976536
_15731_,_16447_,2.025216
_16311_,_16627_,2.050360
_16631_,_16275_,2.059448
_16631_,_16277_,2.068973
_16439_,_16213_,2.085483
_16407_,_16372_,2.100051
_16311_,_16626_,2.136833
_16631_,_16276_,2.158494
_16535_,_16694_,2.223216
_16439_,_16212_,2.223256
_16502_,_16309_,2.233094
_15731_,_16446_,2.242383
_15731_,_16637_,2.252223
_16375_,_16501_,2.267302
_16535_,_16693_,2.298037
_15731_,_16635_,2.305643
_16502_,_16308_,2.335606
_16567_,_16245_,2.339856
_16375_,_16500_,2.342176
_16311_,_16625_,2.354170
_16407_,_16371_,2.370676
_15731_,_16636_,2.383575
_16439_,_16211_,2.407212
_15807_,_14953_,2.419145
_16631_,_16273_,2.437720
_15731_,_16445_,2.452909
_16407_,_16370_,2.456348
_15731_,_16634_,2.456833
_16502_,_16307_,2.483304
_16502_,_16305_,2.509248
_16311_,_16624_,2.533500
_16631_,_16274_,2.533973
_16439_,_16210_,2.544955
_16407_,_16369_,2.575027
_15731_,_16444_,2.576621
_16502_,_16306_,2.586058
_16375_,_16499_,2.600830
_16567_,_16244_,2.618009
_16311_,_16623_,2.618637
_16535_,_16692_,2.629434
_16407_,_16367_,2.694107
_15807_,_14952_,2.710608
_16439_,_16209_,2.728770
_16375_,_16498_,2.746918
_16567_,_16243_,2.748875
_16535_,_16691_,2.774993
_16311_,_16622_,2.778944
_16407_,_16368_,2.821334
_15731_,_16443_,2.824471
_16631_,_16271_,2.838943
_16311_,_16621_,2.879278
_16535_,_16690_,2.922268
_15807_,_14951_,2.937983
_16631_,_16272_,2.954633
_15731_,_16633_,2.973339
_16439_,_16208_,2.986461
_16502_,_16304_,2.987198
_16567_,_16242_,3.012819
_16567_,_16241_,3.017214
_16439_,_16207_,3.047917
_16535_,_16689_,3.061561
_16311_,_16620_,3.064121
_16502_,_16303_,3.100502
_16439_,_16206_,3.106609
_16375_,_16497_,3.108157
_16535_,_16688_,3.141273
_16407_,_16366_,3.168616
_15731_,_16442_,3.181046
_15807_,_14950_,3.183734
_16631_,_16270_,3.206797
_15731_,_16632_,3.209087
_16375_,_16496_,3.213016
_16311_,_16619_,3.262891
_16407_,_16365_,3.294633
_16439_,_16205_,3.310072
_16567_,_16240_,3.323206
_15731_,_16440_,3.333447
_16375_,_16495_,3.360218
_16567_,_16239_,3.363945
_16502_,_16302_,3.369242
_16535_,_16687_,3.377228
_16535_,_16686_,3.388152
_15807_,_14949_,3.410970
_15731_,_16441_,3.426666
_16311_,_16618_,3.456323
_16407_,_16364_,3.456640
_16311_,_16617_,3.467645
_16631_,_16269_,3.525902
_16631_,_16267_,3.527870
_16375_,_16494_,3.529153
_16407_,_16363_,3.538399
_16535_,_16685_,3.555620
_16502_,_16301_,3.569759
_16439_,_16204_,3.570725
_16567_,_16237_,3.604425
_15731_,_16631_,3.633123
_16567_,_16238_,3.643994
_16439_,_16203_,3.646986
_15807_,_14948_,3.664330
_16631_,_16268_,3.692734
_16375_,_16493_,3.708248
_16311_,_16616_,3.744321
_16375_,_16492_,3.799104
_16502_,_16300_,3.807312
_16535_,_16684_,3.809181
_15731_,_16439_,3.812910
_16439_,_16202_,3.821497
_16631_,_16265_,3.826675
_16407_,_16361_,3.827065
_16502_,_16299_,3.829578
_16407_,_16362_,3.842740
_16439_,_16201_,3.894238
_15807_,_14947_,3.904855
_16535_,_16683_,3.950760
_16631_,_16266_,3.993259
_16567_,_16236_,4.011050
_16311_,_16615_,4.038524
_16375_,_16491_,4.057753
_15807_,_14946_,4.126872
_16439_,_16200_,4.134448
_16535_,_16682_,4.137641
_16439_,_16199_,4.153322
_16631_,_16263_,4.177161
_16311_,_16614_,4.200537
_16502_,_16298_,4.220900
_16407_,_16360_,4.240183
_16567_,_16235_,4.255244
_16567_,_16233_,4.276600
_15807_,_14941_,4.281404
_16535_,_16681_,4.286920
_16407_,_16359_,4.287378
_16375_,_16490_,4.290319
_16311_,_16613_,4.334879
_16375_,_16489_,4.367594
_15807_,_14945_,4.386644
_16439_,_16198_,4.388775
_16631_,_16264_,4.397835
_16567_,_16234_,4.407220
_16439_,_16197_,4.484255
_16535_,_16680_,4.485965
_16407_,_16358_,4.491386
_16311_,_16612_,4.502823
_16407_,_16357_,4.517251
_16502_,_16297_,4.540721
_16567_,_16232_,4.594814
_15807_,_14943_,4.595841
_16375_,_16488_,4.600133
_16631_,_16262_,4.629786
_15807_,_14944_,4.644455
_16503_,_16296_,4.683770
_16535_,_16679_,4.691483
_15807_,_14940_,4.706741
_15807_,_14937_,4.712200
_16311_,_16611_,4.719590
_16407_,_16356_,4.746906
_15731_,_16438_,4.747074
_16375_,_16487_,4.766921
_16407_,_16355_,4.772350
_16407_,_16354_,4.795117
_16631_,_16259_,4.797224
_16375_,_16486_,4.799984
_15731_,_16630_,4.811725
_15807_,_14942_,4.811757
_15807_,_14939_,4.813871
_16567_,_16231_,4.814555
_16631_,_16261_,4.828549
_16503_,_16295_,4.842021
_16439_,_16196_,4.843071
_16535_,_16678_,4.862869
_15807_,_14929_,4.887140
_16535_,_16677_,4.889153
_16311_,_16610_,4.919721
_16439_,_16195_,4.921902
_16502_,_16293_,4.929959
_15807_,_14933_,4.936220
_15807_,_14936_,4.959739
_15807_,_14938_,4.977858
_15695_,_15738_,4.982100
_15695_,_15838_,4.982100
_15695_,_15739_,4.982120
_15695_,_15699_,4.983449
_15695_,_15704_,4.983449
_15695_,_15769_,4.983449
_15695_,_15774_,4.983449
_15695_,_15806_,4.983449
_15695_,_15833_,4.983449
_15695_,_15870_,4.983449
_15695_,_15929_,4.983449
_15695_,_15934_,4.983449
_15695_,_16057_,4.983449
_15695_,_16094_,4.983449
_15695_,_16121_,4.983449
_15695_,_16126_,4.983449
_15695_,_16154_,4.983449
_15695_,_16158_,4.983449
_15695_,_15772_,4.983470
_15695_,_15836_,4.983470
_15695_,_15868_,4.983470
_15695_,_15897_,4.983470
_15695_,_15900_,4.983470
_15695_,_15932_,4.983470
_15695_,_15961_,4.983470
_15695_,_15964_,4.983470
_15695_,_15993_,4.983470
_15695_,_15996_,4.983470
_15695_,_16025_,4.983470
_15695_,_16028_,4.983470
_15695_,_16060_,4.983470
_15695_,_16089_,4.983470
_15695_,_16092_,4.983470
_15695_,_16124_,4.983470
_15695_,_16153_,4.983470
_15695_,_16156_,4.983470
_16503_,_16294_,4.984629
_16567_,_16230_,4.984858
_15695_,_15851_,4.987049
_15695_,_15771_,4.988370
_15695_,_15787_,4.988370
_15695_,_15803_,4.988370
_15695_,_15807_,4.988370
_15695_,_15835_,4.988370
_15695_,_15839_,4.988370
_15695_,_15867_,4.988370
_15695_,_15871_,4.988370
_15695_,_15899_,4.988370
_15695_,_15903_,4.988370
_15695_,_15931_,4.988370
_15695_,_15947_,4.988370
_15695_,_15963_,4.988370
_15695_,_15967_,4.988370
_15695_,_15995_,4.988370
_15695_,_15999_,4.988370
_15695_,_16027_,4.988370
_15695_,_16031_,4.988370
_15695_,_16059_,4.988370
_15695_,_16063_,4.988370
_15695_,_16091_,4.988370
_15695_,_16095_,4.988370
_15695_,_16107_,4.988370
_15695_,_16123_,4.988370
_15695_,_16127_,4.988370
_15695_,_16155_,4.988370
_15695_,_16171_,4.988370
_15695_,_15717_,4.988398
_15695_,_15819_,4.988398
_15695_,_15883_,4.988398
_15695_,_15912_,4.988398
_15695_,_15915_,4.988398
_15695_,_15944_,4.988398
_15695_,_15976_,4.988398
_15695_,_15979_,4.988398
_15695_,_16008_,4.988398
_15695_,_16011_,4.988398
_15695_,_16040_,4.988398
_15695_,_16043_,4.988398
_15695_,_16075_,4.988398
_15695_,_16104_,4.988398
_15695_,_16139_,4.988398
_15695_,_15737_,5.016329
_15695_,_15744_,5.016358
_15695_,_15752_,5.016358
_15695_,_15701_,5.017679
_15695_,_15702_,5.017679
_15695_,_15705_,5.017679
_15695_,_15740_,5.017679
_15695_,_15742_,5.017679
_15695_,_15743_,5.017679
_15695_,_15754_,5.017679
_15695_,_15775_,5.017679
_15695_,_15801_,5.017679
_15695_,_15804_,5.017679
_15695_,_15818_,5.017679
_15695_,_15865_,5.017679
_15695_,_15882_,5.017679
_15695_,_15914_,5.017679
_15695_,_15935_,5.017679
_15695_,_15978_,5.017679
_15695_,_16010_,5.017679
_15695_,_16042_,5.017679
