launch_flop,capture_flop,slack
_15651_,_16389_,-1.199744
_15651_,_16577_,-0.889965
_15651_,_16581_,-0.753836
_15651_,_16385_,-0.731151
_15651_,_16388_,-0.704072
_15651_,_16387_,-0.642392
_15651_,_16576_,-0.598289
_15651_,_16580_,-0.590838
_15651_,_16579_,-0.557709
_15651_,_16384_,-0.548146
_15651_,_16386_,-0.508758
_15651_,_16575_,-0.499993
_15651_,_16578_,-0.396780
_15651_,_16573_,-0.365912
_15651_,_16381_,-0.353654
_15651_,_16383_,-0.314024
_15651_,_16574_,-0.306092
_15651_,_16572_,-0.256234
_15651_,_16382_,-0.156283
_15651_,_16380_,-0.044520
_15651_,_16571_,-0.026911
_15651_,_16379_,-0.003212
_15651_,_16569_,0.043825
_15651_,_16377_,0.110407
_15651_,_16378_,0.155779
_15651_,_16570_,0.255477
_15651_,_16567_,0.292239
_15651_,_16375_,0.346305
_15651_,_16376_,0.385111
_15651_,_16568_,0.399582
_15651_,_16566_,0.451182
_15651_,_16565_,0.528630
_15651_,_16374_,0.565055
_15651_,_16564_,0.784733
_15651_,_16373_,0.863640
_15651_,_16563_,0.886808
_15651_,_16372_,1.055833
_15651_,_16562_,1.057676
_15651_,_16561_,1.245577
_15651_,_16371_,1.288644
_15651_,_16560_,1.293395
_15651_,_16369_,1.485211
_15651_,_16370_,1.496226
_15651_,_16559_,1.601503
_15651_,_16367_,1.678782
_15651_,_16368_,1.758488
_15651_,_16558_,1.895120
_15651_,_16557_,1.899624
_15651_,_16366_,2.170960
_16231_,_16549_,2.212282
_15651_,_16556_,2.231826
_16552_,_16197_,2.246321
_16454_,_16614_,2.307309
_16359_,_16133_,2.362259
_15651_,_16365_,2.368201
_16552_,_16196_,2.372116
_16328_,_16293_,2.376736
_16487_,_16165_,2.380782
_16295_,_16421_,2.382796
_16359_,_16132_,2.400164
_16455_,_16613_,2.406029
_16552_,_16195_,2.424785
_15726_,_14873_,2.460826
_16231_,_16548_,2.461939
_16295_,_16420_,2.469515
_16487_,_16164_,2.471651
_15651_,_16555_,2.489973
_16423_,_16229_,2.534072
_16359_,_16131_,2.538800
_15651_,_16364_,2.586748
_16487_,_16163_,2.602574
_16423_,_16228_,2.630670
_15651_,_16554_,2.633812
_16231_,_16547_,2.663927
_16328_,_16292_,2.667687
_16454_,_16612_,2.691132
_16359_,_16130_,2.700613
_16552_,_16194_,2.702548
_16295_,_16419_,2.717378
_16231_,_16546_,2.751670
_16328_,_16291_,2.753505
_15651_,_16363_,2.780046
_16359_,_16129_,2.802965
_15726_,_14871_,2.851365
_16552_,_16193_,2.858023
_16454_,_16611_,2.859955
_16487_,_16162_,2.866563
_16422_,_16227_,2.875821
_16328_,_16290_,2.885279
_15726_,_14872_,2.899816
_16487_,_16161_,2.913099
_16359_,_16128_,2.937165
_15651_,_16553_,2.949558
_16231_,_16545_,2.955478
_16295_,_16418_,2.963235
_16423_,_16226_,2.975722
_16422_,_16225_,2.995756
_16455_,_16610_,3.024487
_15726_,_14870_,3.041367
_16359_,_16127_,3.069581
_15651_,_16552_,3.076237
_15651_,_16362_,3.086450
_16295_,_16417_,3.113245
_15651_,_16360_,3.128352
_16231_,_16544_,3.134780
_16454_,_16608_,3.145577
_16455_,_16609_,3.163474
_16552_,_16192_,3.166115
_16328_,_16289_,3.171348
_16487_,_16160_,3.182937
_16552_,_16191_,3.198306
_16231_,_16543_,3.219947
_16295_,_16416_,3.246850
_15651_,_16361_,3.252298
_16328_,_16288_,3.280349
_15726_,_14868_,3.304062
_16359_,_16126_,3.327824
_16328_,_16287_,3.330595
_16552_,_16190_,3.342545
_16422_,_16224_,3.369201
_16487_,_16159_,3.379033
_16231_,_16542_,3.393062
_16455_,_16607_,3.402446
_15726_,_14869_,3.405398
_16487_,_16158_,3.418602
_16359_,_16125_,3.450331
_16295_,_16415_,3.451794
_16231_,_16541_,3.480587
_16328_,_16286_,3.523999
_15651_,_16551_,3.558429
_16422_,_16223_,3.569124
_16552_,_16189_,3.573578
_16454_,_16606_,3.581423
_16359_,_16124_,3.606995
_16487_,_16157_,3.607595
_16295_,_16414_,3.628093
_15726_,_14866_,3.636603
_16422_,_16221_,3.639001
_16231_,_16540_,3.665410
_16422_,_16222_,3.672276
_15726_,_14867_,3.683000
_16487_,_16156_,3.709466
_15651_,_16359_,3.714375
_16552_,_16188_,3.723138
_16455_,_16605_,3.752065
_16552_,_16187_,3.784017
_16295_,_16413_,3.805367
_16328_,_16285_,3.825852
_15726_,_14865_,3.831610
_16359_,_16123_,3.846257
_16231_,_16539_,3.864001
_16231_,_16538_,3.923988
_16295_,_16412_,3.945112
_16487_,_16155_,3.963028
_16455_,_16603_,3.980346
_16422_,_16219_,3.980628
_16231_,_16537_,4.000814
_16455_,_16604_,4.003037
_16359_,_16122_,4.012892
_16422_,_16220_,4.021091
_16295_,_16411_,4.022392
_16328_,_16284_,4.032505
_16552_,_16186_,4.049230
_16359_,_16121_,4.057089
_15726_,_14863_,4.057398
_16328_,_16283_,4.077485
