launch_flop,capture_flop,slack
_10714_,_10520_,-2.047338
_10714_,_10518_,-2.024680
_10714_,_10519_,-1.970447
_10583_,_10646_,-1.943625
_10583_,_10645_,-1.891128
_10714_,_10517_,-1.814714
_10714_,_10515_,-1.743346
_10714_,_10516_,-1.741850
_10583_,_10644_,-1.694831
_10583_,_10642_,-1.599001
_10583_,_10643_,-1.583518
_10714_,_10514_,-1.533381
_10714_,_10512_,-1.462013
_10714_,_10513_,-1.460516
_10583_,_10640_,-1.439918
_10583_,_10641_,-1.389618
_10583_,_10639_,-1.314208
_10714_,_10511_,-1.252047
_10714_,_10509_,-1.180679
_10714_,_10510_,-1.179183
_10583_,_10638_,-1.115235
_10583_,_10636_,-1.043866
_10583_,_10637_,-1.042371
_09946_,_09975_,-0.994158
_10714_,_10508_,-0.970713
_10714_,_10506_,-0.899346
_10714_,_10507_,-0.897849
_10583_,_10635_,-0.833906
_09946_,_10647_,-0.805289
_09946_,_09974_,-0.780018
_10583_,_10634_,-0.761037
_10583_,_10632_,-0.731634
_10714_,_10505_,-0.689380
_10583_,_10633_,-0.655718
_09946_,_09972_,-0.632342
_10714_,_10503_,-0.618012
_10714_,_10504_,-0.616515
_10748_,_10582_,-0.588955
_10583_,_10630_,-0.518233
_10583_,_10631_,-0.477989
_10714_,_10502_,-0.408046
_09946_,_09970_,-0.402210
_10748_,_10580_,-0.359493
_10714_,_10500_,-0.336678
_10714_,_10501_,-0.335182
_09946_,_10784_,-0.320613
_10583_,_10629_,-0.308268
_10748_,_10581_,-0.297181
_09946_,_09973_,-0.266278
_09946_,_09969_,-0.238738
_10748_,_10579_,-0.238571
_10583_,_10627_,-0.236900
_10583_,_10628_,-0.235403
_09946_,_09971_,-0.162816
_10714_,_10499_,-0.126712
_09946_,_10783_,-0.124140
_10523_,_10678_,-0.109751
_10523_,_10679_,-0.058880
_10714_,_10497_,-0.055345
_10714_,_10498_,-0.053848
_10748_,_10578_,-0.046505
_09946_,_09967_,-0.034750
_10583_,_10626_,-0.026934
_10583_,_10624_,0.044434
_10583_,_10625_,0.045930
_10523_,_10103_,0.087187
_10523_,_10893_,0.087187
_10523_,_11308_,0.087188
_10523_,_10007_,0.087189
_10523_,_10039_,0.087189
_10523_,_10135_,0.087189
_10523_,_10231_,0.087189
_10523_,_11148_,0.087189
_10523_,_11212_,0.087189
_10523_,_10071_,0.087189
_10523_,_10295_,0.087189
_10523_,_10423_,0.087196
_10523_,_10391_,0.087196
_10523_,_10167_,0.087231
_10523_,_10327_,0.087262
_10523_,_10263_,0.087270
_10523_,_11180_,0.087270
_10523_,_11106_,0.087294
_10523_,_11276_,0.097106
_10523_,_09939_,0.097178
_10523_,_10199_,0.097178
_10523_,_10359_,0.097178
_10523_,_10455_,0.097178
_10523_,_11340_,0.097178
_10523_,_11439_,0.097178
_10523_,_11503_,0.097178
_10523_,_11005_,0.097179
_10523_,_11037_,0.097179
_10523_,_11244_,0.097179
_10523_,_11375_,0.097179
_10523_,_11407_,0.097179
_10748_,_10577_,0.112753
_09946_,_09968_,0.151808
_09946_,_09966_,0.152204
_10714_,_10496_,0.154621
_10522_,_10102_,0.156218
_10522_,_10892_,0.156218
_10522_,_11307_,0.156219
_10522_,_10006_,0.156219
_10522_,_10038_,0.156219
_10522_,_10134_,0.156219
_10522_,_10230_,0.156219
_10522_,_11147_,0.156219
_10522_,_11211_,0.156219
_10522_,_10070_,0.156220
_10522_,_10294_,0.156220
_10522_,_10422_,0.156227
_10522_,_10390_,0.156227
_10522_,_10166_,0.156228
_10522_,_10326_,0.156293
_10522_,_10262_,0.156300
_10522_,_11179_,0.156301
_10522_,_11105_,0.156315
_10522_,_11275_,0.166094
_10522_,_09938_,0.166166
_10522_,_10198_,0.166166
_10522_,_10358_,0.166166
_10522_,_10454_,0.166166
_10522_,_11339_,0.166166
_10522_,_11438_,0.166166
_10522_,_11502_,0.166166
_10522_,_11004_,0.166167
_10522_,_11036_,0.166167
_10522_,_11243_,0.166167
_10522_,_11374_,0.166167
_10522_,_11406_,0.166167
_10714_,_10494_,0.225990
_10714_,_10495_,0.227486
_09946_,_10782_,0.244449
_10583_,_10623_,0.254400
_10523_,_10101_,0.278159
_10523_,_10891_,0.278159
_10523_,_11306_,0.278160
_10523_,_10005_,0.278161
_10523_,_10037_,0.278161
_10523_,_10133_,0.278161
_10523_,_10229_,0.278161
_10523_,_11146_,0.278161
_10523_,_11210_,0.278161
_10523_,_10069_,0.278161
_10523_,_10293_,0.278161
_10523_,_10421_,0.278168
_10523_,_10389_,0.278168
_10523_,_10165_,0.278202
_10523_,_10325_,0.278234
_10523_,_10261_,0.278241
_10523_,_11178_,0.278242
_10523_,_11104_,0.278265
_10523_,_11274_,0.288078
_10523_,_09937_,0.288150
_10523_,_10197_,0.288150
_10523_,_10357_,0.288150
_10523_,_10453_,0.288150
_10523_,_11338_,0.288150
_10523_,_11437_,0.288150
_10523_,_11501_,0.288150
_10523_,_11003_,0.288150
_10523_,_11035_,0.288150
_10523_,_11242_,0.288150
_10523_,_11373_,0.288150
_10523_,_11405_,0.288150
_10748_,_10576_,0.298351
_09946_,_10779_,0.307130
_10748_,_10575_,0.316315
_10583_,_10621_,0.325767
_10583_,_10622_,0.327264
_09946_,_10747_,0.329054
_09946_,_09963_,0.329934
_09946_,_10780_,0.351766
_10522_,_10100_,0.361094
_10522_,_10890_,0.361094
_10522_,_11305_,0.361095
_10522_,_10004_,0.361096
_10522_,_10036_,0.361096
_10522_,_10132_,0.361096
_10522_,_10228_,0.361096
_10522_,_11145_,0.361096
_10522_,_11209_,0.361096
_10522_,_10068_,0.361096
