launch_flop,capture_flop,slack
_41210_,_43914_,0.168143
_41210_,_43874_,0.252813
_41210_,_44065_,0.260600
_41210_,_44064_,0.260623
_41210_,_43835_,0.263445
_41210_,_43837_,0.264650
_41210_,_43871_,0.270571
_41210_,_43834_,0.284178
_41210_,_43830_,0.301685
_41210_,_43911_,0.308527
_41210_,_43913_,0.322403
_41210_,_43833_,0.323234
_41210_,_43832_,0.345897
_41210_,_43836_,0.350505
_41210_,_44068_,0.351076
_41210_,_43873_,0.351592
_41210_,_43831_,0.358162
_41210_,_43916_,0.362628
_41210_,_43876_,0.367373
_41210_,_43877_,0.385895
_41210_,_44066_,0.389081
_41210_,_44067_,0.398066
_41210_,_43915_,0.418711
_41210_,_43870_,0.429077
_41210_,_43875_,0.433209
_41210_,_44062_,0.436252
_41210_,_43872_,0.437497
_41210_,_43917_,0.475206
_41210_,_43910_,0.479304
_41210_,_44063_,0.485025
_41210_,_43912_,0.491493
_41210_,_44061_,0.532651
_41210_,_43896_,0.631267
_41210_,_43898_,0.670012
_41210_,_44050_,0.684391
_41210_,_43899_,0.715945
_41210_,_43848_,0.724621
_41210_,_44049_,0.736750
_41210_,_44048_,0.743296
_41210_,_43851_,0.767734
_41210_,_44047_,0.782468
_41210_,_44041_,0.788601
_41210_,_43894_,0.815303
_41210_,_44059_,0.825676
_41210_,_43889_,0.852416
_41210_,_43852_,0.853741
_41210_,_44060_,0.854852
_41210_,_43850_,0.865219
_41210_,_43891_,0.865938
_41210_,_43888_,0.874066
_41210_,_41878_,0.882259
_41210_,_43858_,0.882509
_41210_,_43869_,0.891763
_41210_,_44054_,0.892069
_41210_,_43901_,0.892433
_41210_,_43890_,0.894862
_41210_,_43849_,0.897420
_41210_,_43887_,0.901731
_41210_,_44051_,0.907802
_41210_,_44046_,0.908008
_41210_,_43854_,0.909297
_41210_,_43857_,0.909713
_41210_,_44052_,0.910270
_41210_,_43905_,0.912262
_41210_,_44040_,0.920742
_41210_,_43860_,0.925409
_41210_,_44044_,0.926431
_41210_,_43892_,0.930669
_41210_,_44042_,0.934274
_41210_,_44053_,0.934958
_41210_,_41872_,0.943984
_41210_,_44057_,0.957265
_41210_,_43865_,0.968100
_41210_,_43903_,0.968672
_41210_,_43862_,0.969613
_41210_,_41891_,0.970379
_41210_,_41869_,0.976500
_41210_,_43897_,0.977355
_41210_,_43867_,0.981573
_41210_,_41880_,0.982493
_41210_,_41888_,0.983759
_41210_,_43893_,0.990378
_41210_,_43859_,0.994276
_41210_,_43906_,0.999193
