launch_flop,capture_flop,slack
_36824_,_39660_,0.500171
_36824_,_39663_,0.558245
_36824_,_39513_,0.568357
_36824_,_39466_,0.583720
_36824_,_39507_,0.584608
_36824_,_39506_,0.608721
_36824_,_39512_,0.616695
_36824_,_39504_,0.619426
_36824_,_39460_,0.639528
_36824_,_39664_,0.659618
_36824_,_39662_,0.668110
_36824_,_39465_,0.673663
_36824_,_39505_,0.680992
_36824_,_39503_,0.685485
_36824_,_39501_,0.694093
_36824_,_39509_,0.698164
_36824_,_39654_,0.700313
_36824_,_39463_,0.700639
_36824_,_39464_,0.701754
_36824_,_39502_,0.703063
_36824_,_39665_,0.706051
_36824_,_39511_,0.709190
_36824_,_39462_,0.713400
_36824_,_39499_,0.744587
_36824_,_39461_,0.746824
_36824_,_39656_,0.761317
_36824_,_39510_,0.765023
_36824_,_39467_,0.785021
_36824_,_39456_,0.790119
_36824_,_39657_,0.802082
_36824_,_39458_,0.809634
_36824_,_39508_,0.817319
_36824_,_39539_,0.831316
_36824_,_39497_,0.837582
_36824_,_39666_,0.843257
_36824_,_39661_,0.846178
_36824_,_39496_,0.846897
_36824_,_39455_,0.851779
_36824_,_39653_,0.856526
_36824_,_39530_,0.858133
_36824_,_39454_,0.877123
_36824_,_39515_,0.881178
_36824_,_39672_,0.888384
_36824_,_39514_,0.913691
_36824_,_39536_,0.916151
_36824_,_39498_,0.918305
_36824_,_39452_,0.927979
_36824_,_39457_,0.930119
_36824_,_39495_,0.945824
_36824_,_39453_,0.954064
_36824_,_39484_,0.964521
_39541_,_39528_,0.971181
_36824_,_39459_,0.972028
_36824_,_39533_,0.972231
_36824_,_39659_,0.972323
_36824_,_39472_,0.973437
_36824_,_39652_,0.973599
_36824_,_39535_,0.974414
_36824_,_39489_,0.974890
_36824_,_39493_,0.978933
_36824_,_39483_,0.979307
_39541_,_39671_,0.979988
_36824_,_39655_,0.986046
_36824_,_39448_,0.994959
_36824_,_39494_,1.010637
_36824_,_39532_,1.016285
_36824_,_39492_,1.020904
_36824_,_39538_,1.029671
_36824_,_39450_,1.034408
_36824_,_39537_,1.035553
_36824_,_39480_,1.035600
_36824_,_39680_,1.036026
_36824_,_39500_,1.036560
_36824_,_39488_,1.039572
_36824_,_39534_,1.055857
_36824_,_39529_,1.075064
_36824_,_39487_,1.076669
_36824_,_39679_,1.081953
_36824_,_39651_,1.087325
_36824_,_39520_,1.095488
_36824_,_39524_,1.102575
_36824_,_39490_,1.113050
_36824_,_39673_,1.118933
_36824_,_39475_,1.120696
_36824_,_39473_,1.123721
_36824_,_39449_,1.146502
_36824_,_39526_,1.146579
_36824_,_39482_,1.149741
_36824_,_39678_,1.152082
_36824_,_39447_,1.155989
_36824_,_39523_,1.156783
_36824_,_39445_,1.162560
_36824_,_39486_,1.180335
_36824_,_39527_,1.184725
_36824_,_39677_,1.186922
_36824_,_39474_,1.187272
_36824_,_39468_,1.187624
_39541_,_39667_,1.191529
_36824_,_39674_,1.203053
_36824_,_39681_,1.217394
_36824_,_39519_,1.228985
_37313_,_39258_,1.236139
_37313_,_38490_,1.236140
_37313_,_37421_,1.236142
_37313_,_38106_,1.236141
_37313_,_38234_,1.236142
_37313_,_38618_,1.236142
_37313_,_39130_,1.236144
_37313_,_39386_,1.236144
_37313_,_37978_,1.236146
_37313_,_38746_,1.236145
_37313_,_38362_,1.236147
_37313_,_38874_,1.236147
_37313_,_39002_,1.236147
_37313_,_36766_,1.236173
_37313_,_37838_,1.236204
_36824_,_39471_,1.240978
_36824_,_39531_,1.244572
_36824_,_39485_,1.244592
_36824_,_39525_,1.250277
_36824_,_39481_,1.251243
_37313_,_38298_,1.252822
_37313_,_39314_,1.257753
_37313_,_39442_,1.257755
_37313_,_39186_,1.257758
_37313_,_38034_,1.257760
_37313_,_38162_,1.257759
_37313_,_38290_,1.257759
_37313_,_38546_,1.257759
_37313_,_38930_,1.257761
_37313_,_39058_,1.257761
_37313_,_37894_,1.257808
_37313_,_36822_,1.257824
_36694_,_36740_,1.258973
_36694_,_37812_,1.258972
_36694_,_39232_,1.258977
_36694_,_39360_,1.258979
_36694_,_37395_,1.258981
_36694_,_38592_,1.258981
_36694_,_38720_,1.258982
_36694_,_39104_,1.258982
_36694_,_37952_,1.258984
_36694_,_38208_,1.258984
_36694_,_38464_,1.258984
_36694_,_38336_,1.258985
_36694_,_38848_,1.258985
_36694_,_38976_,1.258985
_36824_,_39451_,1.260791
_36694_,_36780_,1.266287
_36694_,_38888_,1.266291
_36694_,_39272_,1.266291
_36694_,_38504_,1.266292
_36694_,_37435_,1.266294
_36694_,_38248_,1.266294
_36694_,_39016_,1.266293
_36694_,_38632_,1.266294
_36694_,_39144_,1.266294
_36694_,_38120_,1.266297
_36694_,_39400_,1.266296
_36694_,_37992_,1.266298
_36694_,_38376_,1.266297
_36694_,_38760_,1.266297
_36694_,_37852_,1.266356
_37313_,_37646_,1.271403
_37313_,_36702_,1.278911
_37313_,_37357_,1.284725
_37313_,_37774_,1.284725
_37313_,_37914_,1.284725
_37313_,_38170_,1.284725
_37313_,_38426_,1.284725
_37313_,_38554_,1.284725
_37313_,_38682_,1.284725
_37313_,_38810_,1.284725
_37313_,_38938_,1.284725
_37313_,_39066_,1.284725
_37313_,_39194_,1.284725
_37313_,_39322_,1.284725
_36694_,_36748_,1.286548
_36694_,_38856_,1.286552
_36694_,_39240_,1.286552
_36694_,_38472_,1.286554
_36694_,_37403_,1.286555
_36694_,_38216_,1.286555
_36694_,_38984_,1.286554
_36694_,_38600_,1.286556
_36694_,_39112_,1.286555
_36694_,_39368_,1.286558
_36694_,_37960_,1.286560
_36694_,_38344_,1.286559
_36694_,_38728_,1.286559
_36694_,_37820_,1.286618
_36694_,_36783_,1.288498
_36694_,_39275_,1.288503
_36694_,_39403_,1.288504
_36694_,_37438_,1.288507
_36694_,_38635_,1.288506
_36694_,_38763_,1.288508
_36694_,_39147_,1.288507
_36694_,_37995_,1.288509
_36694_,_38123_,1.288508
_36694_,_38251_,1.288509
_36694_,_38507_,1.288509
_36694_,_38379_,1.288511
_36694_,_38891_,1.288510
_36694_,_39019_,1.288511
_36694_,_37855_,1.288571
_37313_,_36753_,1.288755
_37313_,_39245_,1.288760
_37313_,_39373_,1.288762
_37313_,_37408_,1.288764
_37313_,_38605_,1.288764
_37313_,_38733_,1.288765
_37313_,_39117_,1.288765
_37313_,_37965_,1.288767
_37313_,_38221_,1.288767
