launch_flop,capture_flop,slack
_15650_,_16505_,-0.875213
_15650_,_16504_,-0.704013
_15650_,_16312_,-0.674495
_15650_,_16313_,-0.664913
_15650_,_16503_,-0.496944
_15650_,_16502_,-0.484328
_15650_,_16309_,-0.445072
_15650_,_16311_,-0.438984
_15650_,_16501_,-0.436104
_15650_,_16499_,-0.357859
_15650_,_16497_,-0.319403
_15650_,_16305_,-0.313476
_15650_,_16500_,-0.310357
_15650_,_16308_,-0.297022
_15650_,_16496_,-0.262354
_15650_,_16310_,-0.194448
_15650_,_16304_,-0.135648
_15650_,_16307_,-0.133533
_15650_,_16498_,-0.102268
_15650_,_16495_,-0.028810
_15650_,_16494_,-0.028080
_15650_,_16306_,-0.002034
_15650_,_16302_,0.200067
_15650_,_16303_,0.225345
_15650_,_16493_,0.281509
_15650_,_16492_,0.350982
_15650_,_16491_,0.377197
_15650_,_16301_,0.478363
_15650_,_16490_,0.612459
_15650_,_16300_,0.639097
_15650_,_16298_,0.657983
_15650_,_16299_,0.704627
_15650_,_16489_,0.716209
_15650_,_16297_,0.914660
_15650_,_16488_,0.919385
_15650_,_16486_,1.154783
_15650_,_16487_,1.158890
_15650_,_16296_,1.265439
_15650_,_16295_,1.419583
_15650_,_16485_,1.516510
_15650_,_16294_,1.648214
_15650_,_16292_,1.746311
_15650_,_16293_,1.851554
_16251_,_16217_,1.868497
_15650_,_16484_,1.875963
_16475_,_16121_,1.877214
_15575_,_16483_,1.906546
_16283_,_16057_,2.046702
_15575_,_16482_,2.092493
_15575_,_16291_,2.101648
_16475_,_16120_,2.135918
_16283_,_16056_,2.148418
_16251_,_16216_,2.164108
_16411_,_16089_,2.185976
_16443_,_16473_,2.242084
_15575_,_16290_,2.256554
_16443_,_16471_,2.273493
_16251_,_16215_,2.274927
_16283_,_16055_,2.305245
_16443_,_16472_,2.328404
_16475_,_16119_,2.333575
_16379_,_16538_,2.358283
_16347_,_16153_,2.393341
_15575_,_16481_,2.403881
_16411_,_16088_,2.424366
_16315_,_16343_,2.458314
_15650_,_14797_,2.468640
_16251_,_16214_,2.481249
_16315_,_16345_,2.489237
_16347_,_16152_,2.503015
_16475_,_16118_,2.509342
_16379_,_16537_,2.520276
_16283_,_16054_,2.532903
_15575_,_16479_,2.537729
_15575_,_16480_,2.546860
_15575_,_16289_,2.590557
_15650_,_14796_,2.595329
_16251_,_16213_,2.618026
_16347_,_16151_,2.634370
_16315_,_16344_,2.639477
_16475_,_16117_,2.687885
_16251_,_16212_,2.693408
_16411_,_16087_,2.709441
_16443_,_16470_,2.710582
_16283_,_16053_,2.724531
_16379_,_16536_,2.742528
_15575_,_16288_,2.763972
_16475_,_16116_,2.787587
_16443_,_16469_,2.799484
_16411_,_16086_,2.827577
_16347_,_16150_,2.833650
_15650_,_14795_,2.839314
_16475_,_16115_,2.843713
_15575_,_16287_,2.846688
_15650_,_14794_,2.869180
_16411_,_16085_,2.904098
_16379_,_16535_,2.911350
_16251_,_16211_,2.939417
_15575_,_16478_,2.960263
_16347_,_16149_,2.969901
_15650_,_14793_,3.005671
_16315_,_16342_,3.014148
_16283_,_16052_,3.041232
_16379_,_16534_,3.091219
_15575_,_16477_,3.107159
_16283_,_16051_,3.111055
_16411_,_16084_,3.137966
_16411_,_16083_,3.178704
