launch_flop,capture_flop,slack
_367278_,_375712_,1.950546
_367278_,_375711_,1.954486
_367278_,_375706_,1.976927
_367278_,_375710_,1.986194
_367287_,_375625_,1.986917
_367287_,_375628_,2.033767
_367278_,_375869_,2.039278
_367278_,_375870_,2.055761
_367278_,_375874_,2.065902
_367278_,_375707_,2.076565
_367278_,_375708_,2.079309
_367278_,_375709_,2.080487
_367287_,_375631_,2.091666
_367278_,_375872_,2.108169
_367278_,_375873_,2.123044
_367287_,_375632_,2.130411
_367278_,_375766_,2.134585
_367278_,_375493_,2.156145
_367278_,_375867_,2.156809
_367278_,_375871_,2.156898
_367278_,_375705_,2.157517
_367278_,_375494_,2.158811
_367287_,_375627_,2.169780
_367287_,_375519_,2.175659
_367287_,_375630_,2.177035
_367278_,_375762_,2.177528
_367278_,_375764_,2.196062
_367287_,_375522_,2.200492
_367287_,_375629_,2.200566
_367278_,_375495_,2.201082
_367287_,_375521_,2.203305
_367278_,_375496_,2.204218
_367287_,_375523_,2.210428
_367287_,_375624_,2.211125
_367287_,_375524_,2.214905
_367278_,_375765_,2.227255
_367278_,_375763_,2.239093
_367278_,_375865_,2.247129
_367287_,_375520_,2.247432
_367278_,_375866_,2.248525
_367278_,_375492_,2.255066
_367287_,_375517_,2.258501
_367287_,_375518_,2.264555
_367278_,_375490_,2.266563
_367278_,_375704_,2.271490
_367278_,_375868_,2.276967
_367278_,_375491_,2.295311
_367287_,_375626_,2.301332
_367278_,_375497_,2.306363
_367278_,_375545_,2.325478
_367287_,_375841_,2.333411
_367278_,_375703_,2.334141
_367278_,_375549_,2.343575
_367287_,_375844_,2.346082
_367287_,_375515_,2.346436
_367278_,_375861_,2.349325
_367287_,_375516_,2.357680
_367287_,_375623_,2.359979
_367287_,_375847_,2.361756
_367287_,_375622_,2.364852
_367278_,_375604_,2.372216
_367278_,_375601_,2.373559
_367287_,_375846_,2.382159
_367278_,_375550_,2.387912
_367290_,_376706_,2.390752
_367278_,_375600_,2.393970
_367278_,_375544_,2.403085
_367278_,_375863_,2.403150
_367278_,_375761_,2.415727
_367278_,_375548_,2.418593
_367278_,_375605_,2.418828
_367290_,_376705_,2.419867
_367287_,_375736_,2.428888
_367278_,_375551_,2.430535
_367290_,_376707_,2.434654
_367287_,_375732_,2.436147
_367278_,_375602_,2.440078
_367278_,_375598_,2.445235
_367287_,_375738_,2.449231
_367287_,_375621_,2.452436
_367287_,_375845_,2.452513
_367278_,_375489_,2.463284
_367278_,_375820_,2.467304
_367287_,_375734_,2.473586
_367278_,_375819_,2.474313
_367278_,_375864_,2.475105
_367278_,_375547_,2.478060
_367278_,_375599_,2.478996
_367278_,_375652_,2.482713
_367287_,_375739_,2.486320
_367278_,_375488_,2.486476
_367278_,_375603_,2.489143
_367287_,_376814_,2.489235
_367287_,_375843_,2.490430
_367287_,_375735_,2.499788
_367287_,_375842_,2.502514
_367278_,_375648_,2.507462
_367290_,_375412_,2.509606
_367287_,_375737_,2.519191
_367278_,_375540_,2.521408
_367276_,_375811_,2.527342
_367278_,_375654_,2.533609
_367290_,_375416_,2.534521
_367290_,_375413_,2.535832
_367287_,_376813_,2.537565
_367287_,_375513_,2.543081
_367290_,_375417_,2.544864
_367290_,_375415_,2.555377
_367278_,_375546_,2.560039
_367290_,_375414_,2.561130
_367495_,_375788_,2.565420
_367287_,_375619_,2.566226
_367287_,_375840_,2.573339
_367278_,_375653_,2.574452
_367287_,_376384_,2.574822
_367287_,_375512_,2.576222
_367278_,_375659_,2.577529
_367278_,_375658_,2.581528
_367278_,_375818_,2.582985
_367278_,_375862_,2.586382
_367287_,_376383_,2.588404
_367287_,_375514_,2.589380
_367278_,_375595_,2.590159
_367290_,_376703_,2.594244
_367276_,_375817_,2.595916
_367287_,_376812_,2.597574
_367278_,_375657_,2.601600
_367278_,_375597_,2.602629
_367290_,_376704_,2.603858
_367287_,_376382_,2.605224
_367278_,_375656_,2.605579
_367287_,_375620_,2.609115
_367278_,_375655_,2.609773
_367290_,_375408_,2.612112
_367278_,_375486_,2.615371
_367290_,_375411_,2.617348
_367276_,_375815_,2.617440
_367290_,_375307_,2.618821
_367290_,_376701_,2.622417
_367290_,_375309_,2.626429
_367278_,_375542_,2.629566
_367287_,_375733_,2.629748
_367276_,_375813_,2.633439
_367276_,_375759_,2.634397
_367290_,_376487_,2.635188
_367290_,_375409_,2.635842
_367278_,_375543_,2.647968
_367278_,_375651_,2.650078
_367290_,_375308_,2.658579
_367495_,_375791_,2.659611
_367290_,_375410_,2.665494
_367278_,_375760_,2.674007
_367287_,_376380_,2.676212
_367278_,_375755_,2.677120
_367278_,_375596_,2.680593
_367278_,_375860_,2.682110
_367287_,_375836_,2.684436
_367287_,_376381_,2.684628
_367290_,_376060_,2.687227
_367278_,_375539_,2.687915
_367278_,_375594_,2.688748
_367495_,_375789_,2.689367
_367495_,_375793_,2.694296
_367278_,_375702_,2.696823
_367278_,_375541_,2.696953
_367287_,_375730_,2.699670
_367290_,_376059_,2.700958
_367290_,_376700_,2.706092
_367287_,_375618_,2.709030
_367290_,_376702_,2.709452
_367290_,_376055_,2.710308
_367287_,_375839_,2.719563
_367287_,_375729_,2.720170
_367495_,_375792_,2.722646
_367495_,_375790_,2.723518
_367278_,_375487_,2.725973
_367278_,_375485_,2.732901
_367276_,_375816_,2.735979
_367287_,_375731_,2.743095
_367495_,_375786_,2.743198
_367290_,_375509_,2.745815
_367276_,_375810_,2.745835
_367290_,_376490_,2.751015
_367290_,_376488_,2.753795
_367290_,_376061_,2.754534
_367495_,_375787_,2.754797
_367290_,_376492_,2.757352
_367287_,_375728_,2.762541
_367290_,_376697_,2.763260
_367290_,_375407_,2.765372
_367290_,_376062_,2.766019
