launch_flop,capture_flop,slack
_21723_,_22579_,-2.429250
_21723_,_22578_,-2.375520
_21723_,_22577_,-2.138254
_21723_,_22576_,-1.669351
_21723_,_22387_,-1.546895
_21723_,_22575_,-1.445177
_21723_,_22386_,-1.412904
_21723_,_22574_,-1.372162
_21723_,_22385_,-1.227505
_21723_,_22384_,-0.970044
_21723_,_22573_,-0.945187
_21723_,_22383_,-0.774945
_21723_,_22571_,-0.760340
_21723_,_22572_,-0.757184
_21723_,_22382_,-0.664230
_21723_,_22381_,-0.418702
_21723_,_22570_,-0.345498
_21723_,_22569_,-0.311258
_21723_,_22565_,-0.182900
_21723_,_22380_,-0.149868
_21723_,_22567_,-0.053216
_21723_,_22568_,-0.030127
_21723_,_22378_,0.098380
_21723_,_22563_,0.159854
_21723_,_22566_,0.178217
_21723_,_22379_,0.178541
_21649_,_22371_,0.235612
_21723_,_22564_,0.396613
_21723_,_22377_,0.408120
_21723_,_22376_,0.413191
_21649_,_22370_,0.438235
_21723_,_22375_,0.640712
_21723_,_22559_,0.649042
_21723_,_22373_,0.690854
_21723_,_22374_,0.706853
_21723_,_22562_,0.776152
_21723_,_22561_,0.840998
_21649_,_22369_,0.857739
_22420_,_22226_,0.893690
_22358_,_22131_,0.952873
_21649_,_22368_,0.958450
_22420_,_22227_,0.967769
_21723_,_22372_,0.997952
_22420_,_22225_,1.014773
_22550_,_22195_,1.035466
_22452_,_22612_,1.060553
_22484_,_22163_,1.098374
_22358_,_22130_,1.135383
_22452_,_22611_,1.231985
_21723_,_22560_,1.246384
_22550_,_22194_,1.247481
_21723_,_20871_,1.272692
_22420_,_22224_,1.293146
_22452_,_22610_,1.304344
_21649_,_22367_,1.313107
_22550_,_22193_,1.332034
_22484_,_22162_,1.383867
_22260_,_22290_,1.385598
_22324_,_22291_,1.395204
_21723_,_22558_,1.397637
_22229_,_22547_,1.450737
_22550_,_22192_,1.461039
_22358_,_22128_,1.468769
_22229_,_22546_,1.486117
_22358_,_22129_,1.512976
_22358_,_22127_,1.518286
_22452_,_22609_,1.527619
_22388_,_22419_,1.571161
_22484_,_22161_,1.572342
_22260_,_22289_,1.587725
_22388_,_22418_,1.647448
_22420_,_22223_,1.654086
