launch_flop,capture_flop,slack
_25776_,_25840_,0.085263
_25776_,_26257_,0.085265
_25776_,_27037_,0.085266
_25776_,_26397_,0.085273
_25776_,_26653_,0.085279
_25776_,_25185_,0.085288
_25776_,_27165_,0.085313
_25776_,_27293_,0.085342
_25776_,_27677_,0.095260
_25776_,_27421_,0.095266
_25776_,_27805_,0.095282
_25776_,_26909_,0.095283
_25776_,_26781_,0.095284
_25776_,_27549_,0.095377
_25776_,_25832_,0.159410
_25776_,_26389_,0.159411
_25776_,_26249_,0.159412
_25776_,_27029_,0.159413
_25776_,_26645_,0.159426
_25776_,_25177_,0.159435
_25776_,_27157_,0.159460
_25776_,_27285_,0.159489
_25776_,_27669_,0.169700
_25776_,_27413_,0.169706
_25776_,_27797_,0.169722
_25776_,_26901_,0.169723
_25776_,_26773_,0.169724
_25776_,_27541_,0.169817
_25776_,_25872_,0.170924
_25776_,_27197_,0.170928
_25776_,_25217_,0.170930
_25776_,_26289_,0.170930
_25776_,_26685_,0.170933
_25776_,_27069_,0.170933
_25776_,_26429_,0.170981
_25776_,_27325_,0.171006
_25776_,_27709_,0.181101
_25776_,_27837_,0.181102
_25776_,_27453_,0.181120
_25776_,_27581_,0.181121
_25776_,_26813_,0.181223
_25776_,_26941_,0.181223
_25776_,_25928_,0.250364
_25776_,_27125_,0.250366
_25776_,_27253_,0.250369
_25776_,_25249_,0.270260
_25776_,_26461_,0.270261
_25776_,_26321_,0.270262
_25776_,_26717_,0.270276
_25776_,_26589_,0.270389
_25776_,_27357_,0.270429
_25776_,_27741_,0.280689
_25776_,_27485_,0.280695
_25776_,_27869_,0.280711
_25776_,_26845_,0.280713
_25776_,_27613_,0.280807
_25776_,_26973_,0.280815
_25776_,_27025_,0.309280
_25776_,_26245_,0.309281
_25776_,_25828_,0.309282
_25776_,_27153_,0.309287
_25776_,_26641_,0.309289
_25776_,_25173_,0.309290
_25776_,_26385_,0.309290
_25776_,_27281_,0.309363
_25776_,_25896_,0.312012
_25776_,_26453_,0.312013
_25776_,_26709_,0.312013
_25776_,_26313_,0.312014
_25776_,_27093_,0.312015
_25776_,_25241_,0.312037
_25776_,_27221_,0.312062
_25776_,_27349_,0.312092
_25776_,_26581_,0.312141
_25776_,_26869_,0.318808
_25776_,_27665_,0.319341
_25776_,_27409_,0.319343
_25776_,_27793_,0.319356
_25776_,_26897_,0.319357
_25776_,_26769_,0.319357
_25776_,_27537_,0.319451
_25776_,_27733_,0.322428
_25776_,_27477_,0.322435
_25776_,_27861_,0.322451
_25776_,_26965_,0.322452
_25776_,_26837_,0.322452
_25776_,_27605_,0.322546
_25776_,_26805_,0.360612
_25776_,_26933_,0.360612
_25776_,_27445_,0.360612
_25776_,_27573_,0.360612
_25776_,_27701_,0.360612
_25776_,_27829_,0.360612
_25776_,_25209_,0.360722
_25776_,_25904_,0.363756
_25776_,_27101_,0.363757
_25776_,_27229_,0.363757
_25776_,_25864_,0.365744
_25776_,_26281_,0.365744
_25776_,_26421_,0.365744
_25776_,_26677_,0.365744
_25776_,_27061_,0.365744
_25776_,_27189_,0.365744
_25776_,_27317_,0.365744
_25776_,_26613_,0.368515
_25776_,_26161_,0.423064
_25776_,_26129_,0.437314
_25776_,_26345_,0.442806
_25776_,_26741_,0.442813
_25776_,_25273_,0.442814
_25776_,_26485_,0.442814
_25776_,_27381_,0.442947
_25776_,_27509_,0.453109
_25776_,_27765_,0.453110
_25776_,_27893_,0.453125
