launch_flop,capture_flop,slack
_11303_,_11136_,0.751902
_11303_,_11134_,0.791180
_11303_,_11132_,0.839937
_11303_,_11135_,0.873096
_11303_,_11126_,0.874933
_11303_,_11125_,0.916292
_11303_,_11131_,0.949531
_11303_,_11133_,0.992677
_11303_,_11130_,1.089032
_11303_,_11128_,1.094008
_11665_,_11074_,1.095660
_11139_,_11186_,1.112745
_11303_,_11124_,1.124792
_11303_,_11129_,1.131513
_11665_,_11073_,1.178668
_11139_,_11184_,1.187311
_11303_,_11122_,1.198686
_11665_,_11072_,1.215773
_11303_,_11121_,1.224773
_11303_,_11117_,1.225019
_11139_,_11181_,1.250106
_11303_,_11120_,1.251946
_11592_,_10505_,1.266809
_11303_,_11119_,1.267038
_11303_,_11127_,1.269412
_11592_,_10507_,1.271576
_11139_,_11179_,1.274205
_11592_,_10512_,1.274218
_10494_,_11296_,1.299693
_11592_,_10517_,1.299798
_10494_,_11280_,1.302885
_10494_,_11291_,1.302885
_10494_,_11282_,1.302890
_11139_,_11182_,1.306274
_10494_,_11294_,1.315740
_11139_,_11180_,1.317069
_11592_,_10509_,1.318945
_11592_,_10520_,1.322286
_11592_,_10524_,1.322291
_11665_,_11071_,1.328737
_11303_,_11116_,1.361284
_11592_,_10506_,1.369990
_11592_,_10508_,1.369996
_10494_,_11299_,1.393346
_10494_,_11269_,1.394685
_10494_,_11290_,1.405653
_11139_,_11194_,1.407552
_11139_,_11196_,1.407552
_11303_,_11123_,1.408429
_11303_,_11113_,1.412344
_10494_,_11275_,1.418467
_11303_,_11115_,1.424920
_11665_,_11070_,1.435585
_11665_,_11069_,1.436503
_11592_,_10516_,1.436890
_11139_,_11200_,1.441345
_11592_,_10502_,1.447456
_11592_,_10510_,1.447722
_11139_,_11183_,1.453822
_11139_,_11189_,1.454388
_11665_,_11066_,1.454629
_11139_,_11198_,1.455909
_11665_,_11065_,1.456190
_11139_,_11190_,1.457046
_11139_,_11192_,1.460326
_11139_,_11178_,1.468216
_11077_,_10590_,1.483480
_11077_,_10622_,1.483480
_11077_,_10654_,1.483480
_11077_,_10750_,1.483480
_11077_,_10782_,1.483480
_11077_,_10846_,1.483480
_11077_,_10878_,1.483480
_11077_,_10974_,1.483480
_11077_,_11006_,1.483480
_11077_,_11444_,1.483480
_11077_,_11556_,1.483480
_11077_,_11588_,1.483480
_11077_,_11699_,1.483480
_11077_,_11731_,1.483480
_11077_,_11763_,1.483480
_11077_,_11827_,1.483480
_11077_,_11891_,1.483480
_11077_,_11926_,1.483480
_11077_,_11958_,1.483480
_11077_,_11990_,1.483480
_11077_,_12054_,1.483480
_11077_,_10490_,1.493223
_11077_,_10558_,1.493274
_11077_,_10910_,1.493274
_11077_,_11859_,1.493274
_11077_,_10686_,1.493290
_11077_,_10814_,1.493290
_11077_,_10942_,1.493290
_11077_,_11657_,1.493290
_11077_,_10718_,1.493300
_11077_,_11795_,1.493311
_11077_,_10591_,1.494320
_11077_,_11700_,1.494320
_11077_,_11764_,1.494320
_11077_,_10623_,1.494329
_11077_,_10655_,1.494329
_11077_,_10751_,1.494329
_11077_,_10783_,1.494329
_11077_,_10847_,1.494329
_11077_,_10879_,1.494329
_11077_,_10975_,1.494329
_11077_,_11007_,1.494329
_11077_,_11445_,1.494329
_11077_,_11557_,1.494329
_11077_,_11589_,1.494329
_11077_,_11732_,1.494329
_11077_,_11828_,1.494329
_11077_,_11892_,1.494329
_11077_,_11927_,1.494329
_11077_,_11959_,1.494329
_11077_,_11991_,1.494329
_11077_,_12055_,1.494329
_11077_,_10687_,1.504116
_11077_,_10815_,1.504116
_11077_,_10943_,1.504116
_11077_,_11658_,1.504116
_11077_,_10719_,1.504118
_11077_,_11796_,1.504121
_11077_,_10491_,1.504126
_11077_,_10559_,1.504177
_11077_,_10911_,1.504177
_11077_,_11860_,1.504177
_11303_,_11118_,1.513864
_11077_,_10586_,1.519251
_11077_,_11695_,1.519251
_11077_,_10618_,1.519295
_11077_,_10650_,1.519295
_11077_,_10746_,1.519295
_11077_,_10778_,1.519295
_11077_,_10842_,1.519295
_11077_,_10970_,1.519295
_11077_,_11002_,1.519295
_11077_,_11440_,1.519295
_11077_,_11552_,1.519295
_11077_,_11584_,1.519295
_11077_,_11727_,1.519295
_11077_,_11823_,1.519295
_11077_,_11887_,1.519295
_11077_,_11954_,1.519295
_11077_,_11986_,1.519296
_11077_,_12050_,1.519295
_11077_,_11922_,1.519302
_11139_,_11176_,1.520076
_11665_,_11062_,1.527966
_11592_,_10528_,1.529067
_11077_,_10486_,1.529589
_11077_,_10554_,1.529640
_11077_,_10906_,1.529640
_11077_,_11855_,1.529640
_11077_,_10682_,1.529656
_11077_,_10714_,1.529666
_11077_,_11791_,1.529677
_11592_,_10500_,1.531695
_11665_,_11063_,1.537622
_11665_,_11057_,1.542220
_10494_,_11281_,1.544970
_11592_,_10527_,1.547786
_10494_,_11273_,1.550665
_11139_,_11177_,1.560152
_11592_,_10521_,1.571554
_11592_,_10515_,1.586937
_11665_,_11054_,1.589998
_11665_,_11055_,1.590867
_11303_,_11114_,1.603274
_11665_,_11067_,1.608857
_10494_,_11495_,1.613761
_11592_,_10518_,1.613993
_11139_,_11187_,1.618685
_11592_,_10526_,1.626227
_11139_,_11174_,1.634509
_10494_,_11285_,1.635403
_11301_,_11920_,1.635801
_11301_,_11925_,1.635801
_11301_,_11928_,1.635800
_11301_,_11923_,1.635816
_11301_,_11904_,1.635823
_11301_,_11909_,1.635823
_11301_,_11911_,1.635823
_11301_,_11919_,1.635823
_11139_,_11188_,1.636486
_11592_,_10513_,1.637957
_11139_,_11191_,1.640076
_11139_,_11197_,1.641202
_11139_,_11199_,1.641202
_11139_,_11195_,1.641385
_11592_,_10503_,1.641780
_11303_,_11112_,1.652068
_11139_,_11193_,1.676350
_11592_,_10504_,1.676505
_11077_,_10589_,1.696177
_11077_,_10621_,1.696177
_11077_,_10653_,1.696177
_11077_,_10749_,1.696177
_11077_,_10781_,1.696177
_11077_,_10845_,1.696177
_11077_,_10877_,1.696177
_11077_,_10973_,1.696177
_11077_,_11005_,1.696177
_11077_,_11443_,1.696177
_11077_,_11555_,1.696177
_11077_,_11587_,1.696177
_11077_,_11698_,1.696177
_11077_,_11730_,1.696177
_11077_,_11762_,1.696177
_11077_,_11826_,1.696177
_11077_,_11890_,1.696177
_11077_,_11957_,1.696177
_11077_,_11989_,1.696177
_11077_,_12053_,1.696177
_11077_,_11759_,1.698613
_11077_,_10874_,1.698644
_11139_,_11185_,1.700829
_11077_,_10587_,1.701501
_11077_,_11696_,1.701501
_11077_,_11760_,1.701501
_11077_,_10619_,1.701509
_11077_,_10651_,1.701509
_11077_,_10747_,1.701509
_11077_,_10779_,1.701509
_11077_,_10843_,1.701509
_11077_,_10875_,1.701509
_11077_,_10971_,1.701509
_11077_,_11003_,1.701509
_11077_,_11441_,1.701509
_11077_,_11553_,1.701509
_11077_,_11585_,1.701509
_11077_,_11728_,1.701509
_11077_,_11824_,1.701509
_11077_,_11888_,1.701509
_11077_,_11955_,1.701509
_11077_,_11987_,1.701509
_11077_,_12051_,1.701509
_11077_,_11798_,1.701595
_11077_,_10561_,1.701676
_11077_,_10913_,1.701678
_11077_,_11862_,1.701679
_11077_,_10689_,1.701917
_11077_,_10721_,1.701918
_11077_,_10817_,1.701917
_11077_,_10945_,1.701917
_11077_,_11660_,1.701917
_11665_,_11056_,1.703149
_10494_,_11295_,1.704763
_11077_,_10557_,1.705971
_11077_,_10909_,1.705970
_11077_,_11858_,1.705970
_11077_,_10685_,1.705987
_11077_,_10813_,1.705987
_11077_,_10941_,1.705987
_11077_,_11656_,1.705987
_11077_,_10717_,1.705997
_11077_,_11794_,1.706007
_11077_,_10489_,1.706024
_11665_,_11061_,1.706733
_11077_,_10810_,1.708585
_11077_,_10938_,1.708585
_11077_,_11653_,1.708585
_11077_,_10555_,1.711358
_11077_,_10907_,1.711358
_11077_,_11856_,1.711358
_11077_,_10683_,1.711374
_11077_,_10811_,1.711374
_11077_,_10939_,1.711374
_11077_,_11654_,1.711374
_11077_,_10715_,1.711384
_11077_,_11792_,1.711394
_11077_,_10487_,1.711411
_11077_,_10493_,1.717252
_11077_,_10588_,1.723884
_11077_,_10592_,1.723884
_11077_,_10620_,1.723884
_11077_,_10624_,1.723884
_11077_,_10652_,1.723884
_11077_,_10656_,1.723884
_11077_,_10748_,1.723884
_11077_,_10752_,1.723884
_11077_,_10780_,1.723884
_11077_,_10784_,1.723884
_11077_,_10844_,1.723884
_11077_,_10848_,1.723884
_11077_,_10876_,1.723884
_11077_,_10880_,1.723884
_11077_,_10972_,1.723884
_11077_,_10976_,1.723884
_11077_,_11004_,1.723884
_11077_,_11008_,1.723884
_11077_,_11442_,1.723884
_11077_,_11446_,1.723884
_11077_,_11554_,1.723884
_11077_,_11558_,1.723884
_11077_,_11586_,1.723884
_11077_,_11590_,1.723884
_11077_,_11697_,1.723884
_11077_,_11701_,1.723884
_11077_,_11729_,1.723884
_11077_,_11733_,1.723884
_11077_,_11761_,1.723884
_11077_,_11765_,1.723884
_11077_,_11825_,1.723884
_11077_,_11829_,1.723884
_11077_,_11889_,1.723884
_11077_,_11893_,1.723884
_11077_,_11924_,1.723884
_11077_,_11956_,1.723884
_11077_,_11960_,1.723884
_11077_,_11988_,1.723884
_11077_,_11992_,1.723884
_11077_,_12052_,1.723884
_11077_,_12056_,1.723884
_11665_,_11064_,1.725559
_11139_,_11175_,1.732046
_11077_,_10556_,1.733677
_11077_,_10560_,1.733677
_11077_,_10908_,1.733676
_11077_,_10912_,1.733676
_11077_,_11857_,1.733676
_11077_,_11861_,1.733676
_11077_,_10684_,1.733693
_11077_,_10688_,1.733693
_11077_,_10812_,1.733693
_11077_,_10816_,1.733693
_11077_,_10940_,1.733693
_11077_,_10944_,1.733693
_11077_,_11655_,1.733693
_11077_,_11659_,1.733693
_11077_,_10716_,1.733702
_11077_,_10720_,1.733703
_11077_,_11793_,1.733713
_11077_,_11797_,1.733713
_11077_,_10488_,1.733730
_11077_,_10492_,1.733730
_11665_,_11060_,1.741997
_11665_,_11059_,1.742765
_11592_,_10499_,1.745881
_10494_,_11272_,1.755280
_10494_,_11292_,1.766497
_10494_,_11283_,1.766501
_11665_,_11052_,1.771721
_11665_,_11053_,1.776927
_11139_,_11167_,1.781044
_11077_,_10585_,1.782193
_11077_,_10617_,1.782193
_11077_,_10649_,1.782193
_11077_,_10745_,1.782193
_11077_,_10777_,1.782193
_11077_,_10841_,1.782193
_11077_,_10873_,1.782193
_11077_,_10969_,1.782193
_11077_,_11001_,1.782193
_11077_,_11439_,1.782193
_11077_,_11551_,1.782193
_11077_,_11583_,1.782193
_11077_,_11694_,1.782193
_11077_,_11726_,1.782193
_11077_,_11758_,1.782193
_11077_,_11822_,1.782193
_11077_,_11886_,1.782193
_11077_,_11921_,1.782193
_11077_,_11953_,1.782193
_11077_,_11985_,1.782193
_11077_,_12049_,1.782193
_10494_,_11270_,1.783775
_10494_,_11289_,1.791444
_11077_,_10553_,1.791987
_11077_,_10905_,1.791986
_11077_,_11854_,1.791986
_11077_,_10681_,1.792003
_11077_,_10809_,1.792003
_11077_,_10937_,1.792003
_11077_,_11652_,1.792003
_11077_,_10713_,1.792012
_11077_,_11790_,1.792023
_11077_,_10485_,1.792040
_11139_,_11172_,1.793940
_11301_,_11912_,1.795166
_11301_,_11913_,1.795172
_11301_,_11908_,1.795261
_11301_,_11918_,1.795321
_11303_,_11111_,1.798461
_11139_,_11173_,1.800973
_11592_,_10525_,1.805625
_10526_,_11307_,1.806812
_10494_,_11496_,1.811986
_11139_,_11170_,1.813232
_10526_,_11301_,1.815652
_10500_,_11325_,1.815913
_11139_,_11166_,1.819698
_10526_,_11268_,1.826048
_10526_,_11303_,1.828946
_10500_,_11329_,1.829046
_11592_,_10501_,1.836469
_10518_,_11331_,1.839219
_11303_,_11110_,1.845267
_11077_,_10593_,1.847239
_11077_,_10625_,1.847239
_11077_,_10657_,1.847239
_11077_,_10753_,1.847239
_11077_,_10785_,1.847239
_11077_,_10849_,1.847239
_11077_,_10881_,1.847239
_11077_,_10977_,1.847239
_11077_,_11009_,1.847239
_11077_,_11447_,1.847239
_11077_,_11559_,1.847239
_11077_,_11591_,1.847239
_11077_,_11702_,1.847239
_11077_,_11734_,1.847239
_11077_,_11766_,1.847239
_11077_,_11830_,1.847239
_11077_,_11894_,1.847239
_11077_,_11929_,1.847239
_11077_,_11961_,1.847239
_11077_,_11993_,1.847239
_11077_,_12057_,1.847239
_10494_,_11271_,1.853154
_10494_,_11293_,1.856958
_10494_,_11297_,1.856958
_10526_,_11265_,1.871241
_10500_,_11330_,1.871347
_11077_,_10577_,1.875790
_11077_,_11686_,1.875790
_11077_,_11750_,1.875790
_11077_,_10737_,1.875835
_11077_,_10961_,1.875835
_11077_,_10993_,1.875835
_11077_,_11543_,1.875835
_11077_,_11575_,1.875835
_11077_,_11718_,1.875834
_11077_,_11814_,1.875834
_11077_,_11977_,1.875836
_11077_,_12041_,1.875835
_10494_,_11287_,1.876196
_10494_,_11298_,1.876196
_10494_,_11276_,1.876208
_11592_,_10519_,1.877339
_10494_,_11663_,1.878251
_10518_,_11336_,1.881113
_11665_,_11068_,1.882159
_11077_,_10477_,1.886304
_11077_,_10897_,1.886355
_11077_,_10673_,1.886372
_11077_,_10705_,1.886381
_11665_,_11045_,1.888176
_10494_,_11278_,1.888427
_10518_,_11338_,1.898749
_11665_,_11046_,1.902444
_10518_,_11337_,1.906543
_11077_,_10579_,1.912082
_11077_,_11688_,1.912082
_11077_,_11752_,1.912082
_11077_,_10611_,1.912084
_11077_,_10643_,1.912084
_11077_,_10739_,1.912084
_11077_,_10771_,1.912084
_11077_,_10835_,1.912084
_11077_,_10867_,1.912084
_11077_,_10963_,1.912084
_11077_,_10995_,1.912084
_11077_,_11433_,1.912084
_11077_,_11545_,1.912084
_11077_,_11577_,1.912084
_11077_,_11720_,1.912084
_11077_,_11816_,1.912084
_11077_,_11880_,1.912084
_11077_,_11915_,1.912084
_11077_,_11947_,1.912084
_11077_,_11979_,1.912084
_11077_,_12043_,1.912084
_11665_,_11058_,1.913167
_11592_,_10511_,1.913228
_11077_,_10707_,1.921854
_11077_,_10479_,1.921862
_11077_,_10547_,1.921913
_11077_,_10899_,1.921913
_11077_,_11848_,1.921913
_11077_,_10675_,1.921929
_11077_,_10803_,1.921929
_11077_,_10931_,1.921929
_11077_,_11646_,1.921929
_11077_,_11784_,1.921950
_11077_,_10582_,1.924884
_11077_,_11691_,1.924884
_11077_,_11755_,1.924884
_11077_,_10614_,1.924929
_11077_,_10742_,1.924929
_11077_,_10774_,1.924929
_11077_,_10838_,1.924929
_11077_,_10870_,1.924929
_11077_,_10998_,1.924929
_11077_,_11548_,1.924929
_11077_,_11580_,1.924929
_11077_,_11883_,1.924929
_11077_,_11950_,1.924929
_11077_,_11982_,1.924930
_11077_,_12046_,1.924929
_11077_,_10482_,1.935282
_11077_,_10550_,1.935333
_11077_,_10902_,1.935332
_11077_,_11851_,1.935332
_11077_,_10678_,1.935349
_11077_,_10806_,1.935349
_11077_,_10934_,1.935349
_11077_,_11649_,1.935349
_11592_,_10522_,1.938406
_11665_,_11042_,1.940884
_11301_,_11910_,1.942258
_11301_,_11914_,1.942258
_10500_,_11327_,1.943250
_10500_,_11328_,1.959416
_10508_,_10523_,1.964855
_10494_,_11277_,1.966669
_11592_,_10529_,1.974154
_11592_,_11201_,1.976089
_11077_,_10647_,1.976111
_11077_,_10743_,1.976111
_11077_,_10967_,1.976111
_11077_,_10999_,1.976111
_11077_,_11437_,1.976111
