launch_flop,capture_flop,slack
_10714_,_10520_,-2.040532
_10714_,_10518_,-2.017766
_10714_,_10519_,-1.963532
_10583_,_10646_,-1.932513
_10583_,_10645_,-1.880016
_10714_,_10517_,-1.807909
_10714_,_10515_,-1.736432
_10714_,_10516_,-1.734935
_10583_,_10644_,-1.683719
_10583_,_10642_,-1.587888
_10583_,_10643_,-1.572406
_10714_,_10514_,-1.526575
_10714_,_10512_,-1.455097
_10714_,_10513_,-1.453602
_10583_,_10640_,-1.428806
_10583_,_10641_,-1.378615
_10583_,_10639_,-1.303095
_10714_,_10511_,-1.245245
_10714_,_10509_,-1.173033
_10714_,_10510_,-1.172268
_10583_,_10638_,-1.104234
_10583_,_10636_,-1.032054
_10583_,_10637_,-1.031259
_10714_,_10508_,-0.965082
_09946_,_09975_,-0.940159
_10714_,_10506_,-0.895612
_10714_,_10507_,-0.888589
_10583_,_10635_,-0.824064
_09946_,_10647_,-0.751228
_10583_,_10634_,-0.747566
_09946_,_09974_,-0.726021
_10583_,_10632_,-0.723825
_10714_,_10505_,-0.685775
_10583_,_10633_,-0.648023
_10714_,_10503_,-0.614533
_10714_,_10504_,-0.612785
_10748_,_10582_,-0.588629
_09946_,_09972_,-0.578345
_10583_,_10630_,-0.510735
_10583_,_10631_,-0.470171
_10714_,_10502_,-0.404676
_10748_,_10580_,-0.359148
_09946_,_09970_,-0.348151
_10714_,_10500_,-0.333199
_09946_,_10784_,-0.332155
_10714_,_10501_,-0.331703
_10583_,_10629_,-0.300878
_10748_,_10581_,-0.296834
_10748_,_10579_,-0.238224
_10583_,_10627_,-0.229401
_10583_,_10628_,-0.227904
_09946_,_09973_,-0.212219
_09946_,_09969_,-0.184679
_10523_,_10678_,-0.144531
_09946_,_10783_,-0.135720
_10714_,_10499_,-0.123342
_09946_,_09971_,-0.108757
_10523_,_10679_,-0.093660
_10714_,_10497_,-0.051866
_10714_,_10498_,-0.050369
_10748_,_10578_,-0.046157
_10583_,_10626_,-0.019544
_09946_,_09967_,0.019310
_10583_,_10624_,0.051933
_10583_,_10625_,0.053429
_10522_,_11308_,0.080891
_10522_,_10893_,0.080922
_10522_,_10103_,0.080922
_10522_,_10167_,0.080933
_10522_,_10327_,0.080965
_10522_,_10263_,0.080973
_10522_,_11180_,0.080973
_10522_,_10007_,0.080997
_10522_,_10039_,0.080997
_10522_,_10071_,0.080997
_10522_,_10135_,0.080997
_10522_,_10231_,0.080997
_10522_,_10295_,0.080997
_10522_,_10391_,0.080997
_10522_,_10423_,0.080997
_10522_,_11106_,0.080997
_10522_,_11148_,0.080997
_10522_,_11212_,0.080997
_10522_,_11276_,0.090810
_10522_,_09939_,0.090882
_10522_,_10199_,0.090882
_10522_,_10359_,0.090882
_10522_,_10455_,0.090882
_10522_,_11037_,0.090882
_10522_,_11244_,0.090882
_10522_,_11439_,0.090882
_10522_,_11503_,0.090882
_10522_,_11005_,0.090882
_10522_,_11340_,0.090882
_10522_,_11375_,0.090882
_10522_,_11407_,0.090882
_10748_,_10577_,0.113100
_10714_,_10496_,0.157991
_10522_,_11307_,0.181018
_10522_,_10892_,0.181049
_10522_,_10102_,0.181049
_10522_,_10166_,0.181060
_10522_,_10326_,0.181092
_10522_,_10262_,0.181100
_10522_,_11179_,0.181100
_10522_,_10006_,0.181114
_10522_,_10038_,0.181114
_10522_,_10070_,0.181114
_10522_,_10134_,0.181114
_10522_,_10230_,0.181114
_10522_,_10294_,0.181114
_10522_,_10390_,0.181114
_10522_,_10422_,0.181114
_10522_,_11105_,0.181114
_10522_,_11147_,0.181114
_10522_,_11211_,0.181114
_10522_,_11275_,0.190892
_10522_,_09938_,0.190964
_10522_,_10198_,0.190964
_10522_,_10358_,0.190964
_10522_,_10454_,0.190964
_10522_,_11036_,0.190964
_10522_,_11243_,0.190964
_10522_,_11438_,0.190964
_10522_,_11502_,0.190964
_10522_,_11004_,0.190965
_10522_,_11339_,0.190965
_10522_,_11374_,0.190965
_10522_,_11406_,0.190965
_09946_,_09968_,0.205867
_09946_,_09966_,0.206263
_10714_,_10494_,0.229469
_10714_,_10495_,0.230965
_09946_,_10782_,0.232869
_10583_,_10623_,0.261790
_10522_,_11306_,0.271886
_10522_,_10891_,0.271916
_10522_,_10101_,0.271917
_10522_,_10165_,0.271928
_10522_,_10325_,0.271960
_10522_,_10261_,0.271967
_10522_,_11178_,0.271968
_10522_,_10005_,0.271991
_10522_,_10037_,0.271991
_10522_,_10069_,0.271991
_10522_,_10133_,0.271991
_10522_,_10229_,0.271991
_10522_,_10293_,0.271991
_10522_,_10389_,0.271991
_10522_,_10421_,0.271991
_10522_,_11104_,0.271991
_10522_,_11146_,0.271991
_10522_,_11210_,0.271991
_10522_,_11274_,0.281804
_10522_,_09937_,0.281876
_10522_,_10197_,0.281876
_10522_,_10357_,0.281876
_10522_,_10453_,0.281876
_10522_,_11035_,0.281876
_10522_,_11242_,0.281876
_10522_,_11437_,0.281876
_10522_,_11501_,0.281876
_10522_,_11003_,0.281877
_10522_,_11338_,0.281877
_10522_,_11373_,0.281877
_10522_,_11405_,0.281877
_09946_,_10779_,0.296742
_10748_,_10576_,0.298706
_10748_,_10575_,0.316662
_10583_,_10621_,0.333267
_10583_,_10622_,0.334763
_09946_,_10780_,0.340091
_09946_,_10747_,0.354646
_10523_,_10677_,0.357184
_09946_,_09963_,0.383993
_10522_,_11305_,0.384810
_10522_,_10890_,0.384840
_10522_,_10100_,0.384841
_10522_,_10164_,0.384852
_10522_,_10324_,0.384884
_10522_,_10260_,0.384891
_10522_,_11177_,0.384892
_10522_,_10004_,0.384915
_10522_,_10036_,0.384915
_10522_,_10068_,0.384915
_10522_,_10132_,0.384915
_10522_,_10228_,0.384915
_10522_,_10292_,0.384915
_10522_,_10388_,0.384915
_10522_,_10420_,0.384915
_10522_,_11103_,0.384915
_10522_,_11145_,0.384915
_10522_,_11209_,0.384915
_10522_,_11273_,0.394727
_10522_,_09936_,0.394800
_10522_,_10196_,0.394800
_10522_,_10356_,0.394800
_10522_,_10452_,0.394800
_10522_,_11034_,0.394800
_10522_,_11241_,0.394800
_10522_,_11436_,0.394800
_10522_,_11500_,0.394800
_10522_,_11002_,0.394800
_10522_,_11337_,0.394800
_10522_,_11372_,0.394800
_10522_,_11404_,0.394800
_10748_,_10574_,0.412463
_09946_,_10781_,0.417315
_10714_,_10493_,0.439321
_10522_,_11304_,0.452886
_10522_,_10099_,0.452917
_10522_,_10889_,0.452916
_10522_,_10163_,0.452928
_10522_,_10323_,0.452960
_10522_,_10259_,0.452967
_10522_,_11176_,0.452968
_10522_,_10003_,0.452991
_10522_,_10035_,0.452991
_10522_,_10067_,0.452991
_10522_,_10131_,0.452991
_10522_,_10227_,0.452991
_10522_,_10291_,0.452991
_10522_,_10387_,0.452991
_10522_,_10419_,0.452991
_10522_,_11102_,0.452991
_10522_,_11144_,0.452991
_10522_,_11208_,0.452991
_10522_,_11272_,0.462804
_10522_,_09935_,0.462876
_10522_,_10195_,0.462876
_10522_,_10355_,0.462876
_10522_,_10451_,0.462876
_10522_,_11001_,0.462877
_10522_,_11033_,0.462876
_10522_,_11240_,0.462876
_10522_,_11336_,0.462877
_10522_,_11371_,0.462877
_10522_,_11403_,0.462877
_10522_,_11435_,0.462876
_10522_,_11499_,0.462876
_10748_,_10571_,0.468138
_10748_,_10567_,0.473719
_09946_,_09962_,0.474234
_09946_,_09960_,0.488288
_10714_,_10491_,0.511529
_10714_,_10492_,0.512299
_10748_,_10573_,0.528569
_09946_,_10776_,0.530810
_09946_,_09964_,0.542917
_10583_,_10620_,0.543121
_09946_,_10775_,0.559718
_10748_,_10572_,0.598891
_10522_,_11303_,0.605543
_10522_,_10098_,0.605574
_10522_,_10888_,0.605574
_10522_,_10162_,0.605585
_10522_,_10322_,0.605617
_10522_,_10258_,0.605625
_10522_,_11175_,0.605625
_10522_,_10002_,0.605649
_10522_,_10034_,0.605649
_10522_,_10066_,0.605649
_10522_,_10130_,0.605649
_10522_,_10226_,0.605649
_10522_,_10290_,0.605649
_10522_,_10386_,0.605649
_10522_,_10418_,0.605649
_10522_,_11101_,0.605649
_10522_,_11143_,0.605649
_10522_,_11207_,0.605649
_10583_,_10618_,0.615302
_10522_,_11271_,0.615461
_10522_,_09934_,0.615533
_10522_,_10194_,0.615533
_10522_,_10354_,0.615533
_10522_,_10450_,0.615533
_10522_,_11000_,0.615534
_10522_,_11032_,0.615533
_10522_,_11239_,0.615533
_10522_,_11335_,0.615534
_10522_,_11370_,0.615534
_10522_,_11402_,0.615534
_10522_,_11434_,0.615533
_10522_,_11498_,0.615533
_10583_,_10619_,0.616096
_10748_,_10570_,0.648928
_09946_,_09959_,0.671428
_10748_,_10566_,0.676081
_10522_,_11302_,0.677915
_10522_,_10097_,0.677946
_10522_,_10887_,0.677945
_10522_,_10161_,0.677957
_10522_,_10321_,0.677989
_10522_,_10257_,0.677996
_10522_,_11174_,0.677997
_10522_,_10001_,0.678020
_10522_,_10033_,0.678020
