launch_flop,capture_flop,slack
_41210_,_43832_,0.586213
_41210_,_44064_,0.603413
_41210_,_43836_,0.613924
_41210_,_43876_,0.615047
_41210_,_43834_,0.617916
_41210_,_43835_,0.624821
_41210_,_43837_,0.627686
_41210_,_43873_,0.648143
_41210_,_43913_,0.653715
_41210_,_44068_,0.654796
_41210_,_43911_,0.669068
_41210_,_44065_,0.676403
_41210_,_43916_,0.676907
_41210_,_43874_,0.682284
_41210_,_43915_,0.692114
_41210_,_43833_,0.692223
_41210_,_43914_,0.697272
_41210_,_43875_,0.718303
_41210_,_44067_,0.722603
_41210_,_44066_,0.729079
_41210_,_43870_,0.742815
_41210_,_43831_,0.772784
_41210_,_43912_,0.781891
_41210_,_43877_,0.792545
_41210_,_44063_,0.797101
_41210_,_43917_,0.815984
_41210_,_44062_,0.819681
_41210_,_44061_,0.827087
_41210_,_43871_,0.829004
_41210_,_43872_,0.859337
_41210_,_43910_,0.861799
_41210_,_43830_,0.911085
_41080_,_41155_,0.926494
_41080_,_41810_,0.926494
_41080_,_42227_,0.926494
_41080_,_42367_,0.926494
_41080_,_42495_,0.926494
_41080_,_42623_,0.926494
_41080_,_42751_,0.926494
_41080_,_42879_,0.926494
_41080_,_43007_,0.926494
_41080_,_43135_,0.926494
_41080_,_43263_,0.926494
_41080_,_43391_,0.926494
_41080_,_43519_,0.926494
_41080_,_43647_,0.926494
_41080_,_43775_,0.926494
_41210_,_44046_,0.953727
_41080_,_42373_,0.976647
_41080_,_42885_,0.976651
_41080_,_43525_,0.976652
_41080_,_42629_,0.976655
_41080_,_43269_,0.976654
_41080_,_43397_,0.976655
_41080_,_43653_,0.976655
_41080_,_41816_,0.976657
_41080_,_43141_,0.976657
_41080_,_43781_,0.976658
_41080_,_42757_,0.976689
_41080_,_43013_,0.976710
_41080_,_41161_,0.976717
_41080_,_42501_,0.976725
_41080_,_42233_,0.976726
_41080_,_41746_,0.995954
_41080_,_42163_,0.995954
_41080_,_42303_,0.995954
_41080_,_42431_,0.995954
_41080_,_42559_,0.995954
_41080_,_42687_,0.995954
_41080_,_42815_,0.995954
_41080_,_42943_,0.995954
_41080_,_43199_,0.995954
_41080_,_43327_,0.995954
_41080_,_43455_,0.995954
_41080_,_43583_,0.995954
_41080_,_43711_,0.995954
_41080_,_43071_,0.997710
_41080_,_42040_,1.002338
_41080_,_43204_,1.002444
_41080_,_42692_,1.003654
_41080_,_42884_,1.006327
_41080_,_41751_,1.006391
_41080_,_42500_,1.006401
_41080_,_42308_,1.006570
_41080_,_42564_,1.006702
_41080_,_42948_,1.006702
_41080_,_43716_,1.006702
_41080_,_42232_,1.007673
_41080_,_42372_,1.007672
_41080_,_43524_,1.007677
_41080_,_42628_,1.007681
_41080_,_43268_,1.007680
_41080_,_43396_,1.007681
_41080_,_43652_,1.007680
_41080_,_41815_,1.007682
_41080_,_43140_,1.007682
_41080_,_43780_,1.007683
_41080_,_42756_,1.007714
_41080_,_43012_,1.007736
_41080_,_41160_,1.007772
_41080_,_42369_,1.008905
_41080_,_43521_,1.008905
_41080_,_42881_,1.008909
_41080_,_42625_,1.008913
_41080_,_43265_,1.008913
_41080_,_43393_,1.008913
_41080_,_43649_,1.008913
_41080_,_41812_,1.008915
_41080_,_43137_,1.008915
_41080_,_43777_,1.008916
_41080_,_42753_,1.008947
_41080_,_43009_,1.008968
_41080_,_42229_,1.008984
_41080_,_41157_,1.009005
_41080_,_42527_,1.009490
_41210_,_43850_,1.010368
_41080_,_41842_,1.010761
_41080_,_41187_,1.010763
_41080_,_43423_,1.010762
_41080_,_42655_,1.010764
_41080_,_43039_,1.010766
_41080_,_43551_,1.010766
_41080_,_43679_,1.010765
_41080_,_43807_,1.010772
_41080_,_43167_,1.010784
_41080_,_43295_,1.010785
_41080_,_42399_,1.010833
_41080_,_42911_,1.010835
_41080_,_42259_,1.010845
_41080_,_42783_,1.010861
_41210_,_44048_,1.012819
_41080_,_41091_,1.017679
_41080_,_42820_,1.019766
_41080_,_43076_,1.019766
_41080_,_42168_,1.019814
_41080_,_43332_,1.019814
_41080_,_43460_,1.019814
_41080_,_43588_,1.019814
_41080_,_42494_,1.020908
_41080_,_42226_,1.022180
_41080_,_43518_,1.022180
_41080_,_43006_,1.022184
_41080_,_42622_,1.022188
_41080_,_43262_,1.022187
_41080_,_43390_,1.022188
_41080_,_43646_,1.022187
_41080_,_41809_,1.022189
_41080_,_43134_,1.022189
_41080_,_43774_,1.022190
_41080_,_42750_,1.022205
_41080_,_42878_,1.022253
_41080_,_42366_,1.022264
_41080_,_41154_,1.022296
_41080_,_42463_,1.023741
_41080_,_41123_,1.023757
_41080_,_42335_,1.023757
_41080_,_41778_,1.026099
_41080_,_42195_,1.026099
_41210_,_43890_,1.029389
_41210_,_43889_,1.031965
_41080_,_42468_,1.034955
_41080_,_43492_,1.035446
_41080_,_41783_,1.035512
_41080_,_42596_,1.035514
_41080_,_43236_,1.035514
