launch_flop,capture_flop,slack
_25413_,_25878_,0.274397
_25413_,_26018_,0.274397
_25413_,_26274_,0.274398
_25413_,_24806_,0.274403
_25413_,_26402_,0.274416
_25413_,_26914_,0.274539
_25413_,_27298_,0.284695
_25413_,_25461_,0.284698
_25413_,_26786_,0.284698
_25413_,_26530_,0.284701
_25413_,_27170_,0.284704
_25413_,_27426_,0.284708
_25413_,_26658_,0.284716
_25413_,_27042_,0.284779
_25413_,_26455_,0.313467
_25413_,_26967_,0.313467
_25413_,_26327_,0.313471
_25413_,_24859_,0.313473
_25413_,_25931_,0.313567
_25413_,_26071_,0.313575
_25413_,_26391_,0.315508
_25413_,_26903_,0.315508
_25413_,_26263_,0.315512
_25413_,_24795_,0.315514
_25413_,_25867_,0.315604
_25413_,_26007_,0.315604
_25413_,_27351_,0.323934
_25413_,_27095_,0.323936
_25413_,_26839_,0.323940
_25413_,_25514_,0.323944
_25413_,_27223_,0.323947
_25413_,_27479_,0.323951
_25413_,_26711_,0.323956
_25413_,_26583_,0.324045
_25413_,_27287_,0.325579
_25413_,_27031_,0.325580
_25413_,_26775_,0.325585
_25413_,_25450_,0.325588
_25413_,_27159_,0.325592
_25413_,_27415_,0.325596
_25413_,_26647_,0.325600
_25413_,_26519_,0.325689
_25413_,_26414_,0.334153
_25413_,_26926_,0.334153
_25413_,_25890_,0.334153
_25413_,_26286_,0.334156
_25413_,_24818_,0.334159
_25413_,_26030_,0.334236
_25413_,_27310_,0.344159
_25413_,_27054_,0.344160
_25413_,_26798_,0.344165
_25413_,_25473_,0.344168
_25413_,_27182_,0.344171
_25413_,_27438_,0.344175
_25413_,_26670_,0.344180
_25413_,_26542_,0.344269
_25414_,_26437_,0.355564
_25414_,_26949_,0.355564
_25414_,_25913_,0.355564
_25414_,_26309_,0.355568
_25414_,_24841_,0.355570
_25414_,_26053_,0.355630
_25413_,_26423_,0.361938
_25413_,_26935_,0.361938
_25413_,_26295_,0.361941
_25413_,_24827_,0.361944
_25413_,_25899_,0.362038
_25413_,_26039_,0.362046
_25414_,_27333_,0.365484
_25414_,_27077_,0.365485
_25414_,_26565_,0.365489
_25414_,_26821_,0.365490
_25414_,_27205_,0.365493
_25414_,_25496_,0.365493
_25414_,_27461_,0.365497
_25414_,_26693_,0.365505
_25413_,_27319_,0.372399
_25413_,_27063_,0.372400
_25413_,_26807_,0.372405
_25413_,_25482_,0.372408
_25413_,_27191_,0.372411
_25413_,_27447_,0.372415
_25413_,_26679_,0.372420
_25413_,_26551_,0.372509
_25413_,_25942_,0.387915
_25413_,_26082_,0.387915
_25413_,_26210_,0.387916
_25413_,_26338_,0.387916
_25413_,_24870_,0.387921
_25413_,_26466_,0.387934
_25413_,_26978_,0.388074
_25413_,_27362_,0.398392
_25413_,_25525_,0.398394
_25413_,_26850_,0.398394
_25413_,_26594_,0.398397
_25413_,_27234_,0.398401
_25413_,_27490_,0.398404
_25413_,_26722_,0.398413
_25413_,_27106_,0.398476
_24922_,_27570_,0.406890
_25413_,_26938_,0.423154
_25413_,_26042_,0.423156
_25413_,_24830_,0.423157
_25413_,_26298_,0.423200
_25413_,_26426_,0.423206
_25413_,_25902_,0.423249
_25413_,_26554_,0.433228
_25413_,_27066_,0.433231
_25413_,_26682_,0.433233
_25413_,_26810_,0.433241
_25413_,_27450_,0.433242
_25413_,_27322_,0.433243
_25413_,_27194_,0.433248
_25413_,_25485_,0.433321
