launch_flop,capture_flop,slack
_25536_,_25599_,0.092438
_25536_,_24944_,0.092438
_25536_,_26016_,0.092443
_25536_,_26156_,0.092443
_25536_,_27052_,0.092444
_25536_,_26924_,0.092447
_25536_,_26796_,0.092448
_25536_,_26412_,0.092449
_25536_,_27180_,0.102730
_25536_,_27436_,0.102733
_25536_,_26540_,0.102740
_25536_,_27308_,0.102748
_25536_,_26668_,0.102750
_25536_,_27564_,0.102753
_25536_,_24945_,0.105011
_25536_,_26797_,0.105012
_25536_,_27053_,0.105015
_25536_,_26413_,0.105017
_25536_,_26157_,0.105018
_25536_,_26017_,0.105019
_25536_,_26925_,0.105019
_25536_,_25600_,0.105110
_25536_,_27181_,0.115223
_25536_,_26669_,0.115225
_25536_,_27309_,0.115226
_25536_,_26541_,0.115243
_25536_,_27437_,0.115254
_25536_,_27565_,0.115330
_25536_,_25632_,0.150098
_25536_,_24977_,0.150337
_25536_,_26049_,0.150337
_25536_,_26189_,0.150337
_25536_,_26445_,0.150337
_25536_,_26829_,0.150337
_25536_,_26957_,0.150337
_25536_,_27085_,0.150337
_25536_,_27597_,0.152548
_25536_,_26573_,0.152930
_25536_,_26701_,0.152930
_25536_,_27213_,0.152930
_25536_,_27341_,0.152930
_25536_,_27469_,0.152930
_25536_,_26381_,0.155766
_25536_,_26893_,0.155767
_25536_,_27149_,0.155770
_25536_,_26509_,0.155771
_25536_,_26253_,0.155772
_25536_,_26113_,0.155773
_25536_,_27021_,0.155773
_25536_,_25041_,0.155782
_25536_,_25696_,0.155859
_25536_,_25631_,0.159179
_25536_,_24976_,0.159179
_25536_,_26048_,0.159184
_25536_,_26188_,0.159185
_25536_,_27084_,0.159186
_25536_,_26956_,0.159189
_25536_,_26828_,0.159189
_25536_,_26444_,0.159190
_25536_,_27277_,0.165819
_25536_,_26765_,0.165821
_25536_,_27405_,0.165822
_25536_,_26637_,0.165840
_25536_,_27533_,0.165850
_25536_,_27661_,0.165927
_25536_,_27212_,0.169473
_25536_,_27468_,0.169476
_25536_,_26572_,0.169482
_25536_,_27340_,0.169491
_25536_,_26700_,0.169492
_25536_,_27596_,0.169496
_25536_,_24975_,0.174286
_25536_,_26047_,0.174286
_25536_,_25630_,0.174288
_25536_,_26187_,0.174291
_25536_,_27083_,0.174292
_25536_,_26955_,0.174295
_25536_,_26827_,0.174295
_25536_,_26443_,0.174297
_25536_,_26605_,0.179660
_25536_,_27211_,0.184582
_25536_,_26571_,0.184589
_25536_,_27339_,0.184597
_25536_,_26699_,0.184599
_25536_,_27595_,0.184603
_25536_,_27467_,0.184615
_25536_,_26861_,0.188731
_25536_,_26989_,0.188731
_25536_,_24943_,0.190576
_25536_,_25598_,0.190576
_25536_,_26015_,0.190576
_25536_,_26155_,0.190576
_25536_,_26411_,0.190576
_25536_,_26795_,0.190576
_25536_,_26923_,0.190576
_25536_,_27051_,0.190576
_25536_,_26539_,0.193723
_25536_,_26667_,0.193723
_25536_,_27179_,0.193723
_25536_,_27307_,0.193723
_25536_,_27435_,0.193723
_25536_,_27563_,0.193723
_25536_,_26349_,0.195504
_25536_,_24939_,0.208124
_25536_,_26011_,0.208124
_25536_,_26407_,0.208125
_25536_,_25594_,0.208126
_25536_,_26151_,0.208129
_25536_,_27047_,0.208132
_25536_,_26919_,0.208133
_25536_,_26791_,0.208148
_25536_,_25889_,0.211765
_25536_,_27175_,0.218419
_25536_,_26535_,0.218428
_25536_,_27303_,0.218436
_25536_,_26663_,0.218438
_25536_,_27559_,0.218442
_25536_,_27431_,0.218454
_25536_,_26436_,0.246395
_25536_,_25623_,0.246396
_25536_,_26180_,0.246400
_25536_,_26820_,0.246403
_25536_,_26948_,0.246404
_25536_,_24968_,0.246429
_25536_,_27076_,0.246452
_25536_,_26040_,0.246495
_25536_,_27460_,0.256847
_25536_,_26564_,0.256858
_25536_,_27332_,0.256869
_25536_,_26692_,0.256871
_25536_,_27588_,0.256874
_25536_,_27204_,0.256903
_25536_,_26440_,0.289902
_25536_,_25627_,0.289902
_25536_,_27080_,0.289905
_25536_,_26184_,0.289906
_25536_,_26824_,0.289910
_25536_,_26952_,0.289910
_25536_,_24972_,0.289936
_25536_,_26044_,0.290002
_25536_,_25008_,0.294251
_25536_,_26080_,0.294252
_25536_,_25663_,0.294254
_25536_,_26220_,0.294257
_25536_,_27116_,0.294258
_25536_,_26988_,0.294261
_25536_,_26860_,0.294261
_25536_,_26476_,0.294262
_25536_,_27464_,0.300191
_25536_,_27208_,0.300199
_25536_,_26568_,0.300203
_25536_,_27336_,0.300214
_25536_,_26696_,0.300215
_25536_,_27592_,0.300219
_25536_,_27049_,0.300743
_25536_,_26409_,0.300744
_25536_,_26153_,0.300745
_25536_,_26013_,0.300746
_25536_,_26921_,0.300746
_25536_,_24941_,0.300755
_25536_,_26793_,0.300763
_25536_,_25596_,0.300787
_25536_,_27244_,0.304364
_25536_,_26604_,0.304371
_25536_,_27372_,0.304379
_25536_,_26732_,0.304381
_25536_,_27628_,0.304385
_25536_,_27500_,0.304397
_25536_,_24969_,0.310064
_25536_,_26821_,0.310065
_25536_,_27077_,0.310068
_25536_,_26437_,0.310070
_25536_,_26181_,0.310071
_25536_,_26041_,0.310072
_25536_,_26949_,0.310072
_25536_,_25624_,0.310163
_25536_,_27177_,0.310613
_25536_,_26665_,0.310615
_25536_,_27305_,0.310616
_25536_,_26537_,0.310633
_25536_,_27433_,0.310673
_25536_,_27561_,0.310720
_25536_,_24937_,0.311559
_25536_,_26789_,0.311560
_25536_,_27045_,0.311563
_25536_,_26405_,0.311565
_25536_,_26149_,0.311565
_25536_,_26009_,0.311566
_25536_,_26917_,0.311566
_25536_,_25592_,0.311623
_25536_,_27205_,0.320243
_25536_,_26693_,0.320245
_25536_,_27333_,0.320246
_25536_,_26565_,0.320263
_25536_,_27461_,0.320274
_25536_,_27589_,0.320350
_25536_,_27173_,0.321465
_25536_,_26661_,0.321466
_25536_,_27301_,0.321467
_25536_,_26533_,0.321485
_25536_,_27429_,0.321496
_25536_,_27557_,0.321572
_25536_,_24917_,0.342894
_25536_,_25572_,0.342894
_25536_,_25989_,0.342894
_25536_,_26129_,0.342894
_25536_,_26257_,0.342894
_25536_,_26385_,0.342894
_25536_,_26769_,0.342894
_25536_,_26897_,0.342894
_25536_,_27025_,0.342894
_25536_,_26513_,0.345854
_25536_,_26641_,0.345854
_25536_,_27153_,0.345854
_25536_,_27281_,0.345854
_25536_,_27409_,0.345854
_25536_,_27537_,0.345854
_25536_,_25009_,0.358888
_25536_,_25664_,0.358888
_25536_,_26081_,0.358888
_25536_,_26221_,0.358888
_25536_,_26477_,0.358888
_25536_,_27117_,0.358888
_25536_,_25001_,0.359577
_25536_,_26341_,0.359577
_25536_,_25656_,0.359578
_25536_,_27109_,0.359581
_25536_,_26981_,0.359583
_25536_,_26853_,0.359586
_25536_,_26469_,0.359613
_25536_,_26213_,0.359620
_25536_,_26073_,0.359678
_25536_,_26733_,0.361668
_25536_,_27245_,0.361668
_25536_,_27373_,0.361668
_25536_,_27501_,0.361668
_25536_,_27629_,0.361668
_25536_,_24929_,0.363188
_25536_,_26001_,0.363188
_25536_,_26397_,0.363189
_25536_,_25584_,0.363190
_25536_,_27037_,0.363192
_25536_,_26141_,0.363193
_25536_,_26781_,0.363197
_25536_,_26909_,0.363197
_25536_,_26404_,0.364454
_25536_,_25591_,0.364454
_25536_,_26148_,0.364458
_25536_,_26788_,0.364462
_25536_,_26916_,0.364462
_25536_,_24936_,0.364488
_25536_,_27044_,0.364510
_25536_,_26008_,0.364548
_25536_,_25576_,0.366354
_25536_,_24921_,0.366354
_25536_,_25993_,0.366355
_25536_,_26133_,0.366359
_25536_,_27029_,0.366360
_25536_,_26901_,0.366363
_25536_,_26773_,0.366364
_25536_,_26389_,0.366365
_25536_,_26597_,0.369838
_25536_,_26725_,0.369842
_25536_,_27365_,0.369850
_25536_,_27493_,0.369865
_25536_,_27237_,0.369884
_25536_,_27621_,0.369942
_25536_,_27421_,0.373477
_25536_,_27165_,0.373484
_25536_,_26525_,0.373488
_25536_,_27293_,0.373499
_25536_,_26653_,0.373501
_25536_,_27549_,0.373505
_25536_,_27428_,0.374505
_25536_,_27172_,0.374512
_25536_,_26532_,0.374516
_25536_,_27300_,0.374528
_25536_,_26660_,0.374529
_25536_,_27556_,0.374533
_25536_,_25003_,0.375503
_25536_,_26075_,0.375503
_25536_,_26343_,0.375504
_25536_,_25658_,0.375505
_25536_,_27111_,0.375506
_25536_,_26215_,0.375508
_25536_,_26983_,0.375511
_25536_,_26855_,0.375512
_25536_,_26471_,0.375513
_25536_,_27157_,0.376649
_25536_,_27413_,0.376653
_25536_,_26517_,0.376659
_25536_,_27285_,0.376668
_25536_,_26645_,0.376669
_25536_,_27541_,0.376672
_25536_,_27239_,0.385720
_25536_,_26599_,0.385727
_25536_,_27367_,0.385735
_25536_,_26727_,0.385737
_25536_,_27623_,0.385741
_25536_,_27495_,0.385753
_25536_,_25921_,0.390959
_25536_,_26857_,0.393539
_25536_,_27113_,0.393542
_25536_,_26473_,0.393544
_25536_,_26217_,0.393545
_25536_,_26077_,0.393546
_25536_,_26985_,0.393546
_25536_,_25005_,0.393554
_25536_,_25660_,0.393587
_25536_,_26961_,0.399608
_25536_,_26833_,0.399608
_25536_,_27241_,0.403650
_25536_,_26729_,0.403652
_25536_,_27369_,0.403653
_25536_,_26601_,0.403670
_25536_,_27497_,0.403710
_25536_,_27625_,0.403757
_25536_,_26885_,0.410722
_25536_,_27013_,0.410729
_25536_,_25688_,0.410820
_25536_,_26799_,0.411375
_25536_,_27055_,0.411378
_25536_,_26415_,0.411380
_25536_,_26159_,0.411381
_25536_,_26019_,0.411382
_25536_,_26927_,0.411382
_25536_,_24947_,0.411390
_25536_,_25602_,0.411423
_25536_,_24971_,0.415579
_25536_,_26043_,0.415580
_25536_,_25626_,0.415582
_25536_,_26183_,0.415585
_25536_,_27079_,0.415585
_25536_,_26951_,0.415588
_25536_,_26823_,0.415589
_25536_,_26439_,0.415590
_25536_,_25694_,0.417486
_25536_,_25039_,0.417486
_25536_,_26379_,0.417488
_25536_,_26111_,0.417491
_25536_,_26251_,0.417491
_25536_,_27147_,0.417492
_25536_,_27019_,0.417495
_25536_,_26891_,0.417496
_25536_,_26507_,0.417497
_25536_,_26825_,0.421431
_25536_,_27081_,0.421434
_25536_,_26441_,0.421436
_25536_,_26185_,0.421437
_25536_,_26045_,0.421438
_25536_,_26953_,0.421438
_25536_,_24973_,0.421446
_25536_,_25628_,0.421479
_25536_,_27183_,0.421833
