launch_flop,capture_flop,slack
_24792_,_26286_,0.228906
_24792_,_26414_,0.228907
_24792_,_26030_,0.228911
_24792_,_24818_,0.228917
_24792_,_26926_,0.228967
_24792_,_25890_,0.228992
_24792_,_26798_,0.238920
_24792_,_25473_,0.238928
_24792_,_27310_,0.238941
_24792_,_27054_,0.238997
_24792_,_27438_,0.239028
_24792_,_26670_,0.239033
_24792_,_26542_,0.239039
_24792_,_27182_,0.239056
_27743_,_25913_,0.362910
_27743_,_26949_,0.362914
_27743_,_26309_,0.362915
_27743_,_24841_,0.362916
_27743_,_26053_,0.362918
_27743_,_26437_,0.362976
_27743_,_27333_,0.372830
_27743_,_26565_,0.372833
_27743_,_27077_,0.372833
_27743_,_26821_,0.372840
_27743_,_25496_,0.372840
_27743_,_26693_,0.372857
_27743_,_27461_,0.372857
_27743_,_27205_,0.372858
_27743_,_24802_,0.384695
_27743_,_25874_,0.384695
_27743_,_26014_,0.384695
_27743_,_26270_,0.384695
_27743_,_26398_,0.384695
_27743_,_26910_,0.384695
_27743_,_25457_,0.387830
_27743_,_26526_,0.387830
_27743_,_26654_,0.387830
_27743_,_26782_,0.387830
_27743_,_27038_,0.387830
_27743_,_27166_,0.387830
_27743_,_27294_,0.387830
_27743_,_27422_,0.387830
_25414_,_26933_,0.413443
_25414_,_24825_,0.413445
_25414_,_26037_,0.413452
_25414_,_26293_,0.413487
_25414_,_25897_,0.413525
_25414_,_26421_,0.413525
_27743_,_25882_,0.421466
_27743_,_26406_,0.421469
_27743_,_26918_,0.421469
_27743_,_26278_,0.421471
_27743_,_26022_,0.421471
_27743_,_24810_,0.421472
_25414_,_27317_,0.423455
_25414_,_27061_,0.423457
_25414_,_26549_,0.423462
_25414_,_25480_,0.423462
_25414_,_26805_,0.423492
_25414_,_27445_,0.423567
_25414_,_26677_,0.423572
_25414_,_27189_,0.423595
_27743_,_25746_,0.427758
_27743_,_25878_,0.428539
_27743_,_26402_,0.428543
_27743_,_26914_,0.428544
_27743_,_26274_,0.428545
_27743_,_24806_,0.428546
_27743_,_26018_,0.428548
_27743_,_27302_,0.431537
_27743_,_26534_,0.431542
_27743_,_26790_,0.431545
_27743_,_27046_,0.431545
_27743_,_25465_,0.431547
_27743_,_26662_,0.431563
_27743_,_27430_,0.431564
_27743_,_27174_,0.431564
_27743_,_27298_,0.438839
_27743_,_26530_,0.438841
_27743_,_27042_,0.438842
_27743_,_26786_,0.438848
_27743_,_25461_,0.438849
_27743_,_26658_,0.438865
_27743_,_27426_,0.438866
_27743_,_27170_,0.438866
_24792_,_25880_,0.507496
_24792_,_26916_,0.507499
_24792_,_24808_,0.507500
_24792_,_26276_,0.507500
_24792_,_26404_,0.507501
_24792_,_26020_,0.507503
_24922_,_27570_,0.511826
_27743_,_25942_,0.515446
_27743_,_26466_,0.515450
_27743_,_26978_,0.515450
_27743_,_26210_,0.515452
_27743_,_26338_,0.515452
_27743_,_24870_,0.515453
_27743_,_26082_,0.515453
_24792_,_27300_,0.517569
_24792_,_27044_,0.517570
_24792_,_26532_,0.517574
_24792_,_25463_,0.517576
_24792_,_26788_,0.517575
_24792_,_26660_,0.517593
_24792_,_27172_,0.517594
_24792_,_27428_,0.517593
_27743_,_27362_,0.525508
_27743_,_26594_,0.525513
_27743_,_26850_,0.525516
_27743_,_27106_,0.525516
_27743_,_25525_,0.525518
_27743_,_26722_,0.525534
_27743_,_27234_,0.525535
_27743_,_27490_,0.525535
_27743_,_25946_,0.543952
_27743_,_26470_,0.543955
_27743_,_26982_,0.543955
_27743_,_26086_,0.543957
_27743_,_26342_,0.543957
_27743_,_24874_,0.543960
_27743_,_27366_,0.554077
_27743_,_26598_,0.554082
_27743_,_26854_,0.554084
_27743_,_27110_,0.554084
_27743_,_25529_,0.554087
_27743_,_27494_,0.554103
_27743_,_26726_,0.554195
_27743_,_27238_,0.554217
_24792_,_26316_,0.563809
_24792_,_26444_,0.563809
_24792_,_26060_,0.563813
_24792_,_26956_,0.563814
_24792_,_24848_,0.563875
_24792_,_25920_,0.563908
_24792_,_26284_,0.568297
_24792_,_26412_,0.568298
_24792_,_26028_,0.568301
_24792_,_26924_,0.568302
_24792_,_24816_,0.568364
_24792_,_25888_,0.568396
_24792_,_27340_,0.573883
_24792_,_26828_,0.573887
_24792_,_25503_,0.573890
_24792_,_27084_,0.573964
_24792_,_27468_,0.573995
_24792_,_26700_,0.574000
_24792_,_26572_,0.574006
_24792_,_27212_,0.574023
_27743_,_25902_,0.577141
_27743_,_26938_,0.577145
_27743_,_26298_,0.577146
_27743_,_24830_,0.577147
_27743_,_26042_,0.577149
_27743_,_26426_,0.577237
_24792_,_26796_,0.578375
_24792_,_25471_,0.578383
_24792_,_27308_,0.578397
_24792_,_27052_,0.578453
_24792_,_27436_,0.578484
_24792_,_26668_,0.578489
_24792_,_26540_,0.578494
_24792_,_27180_,0.578511
_27742_,_26071_,0.581982
_27742_,_26967_,0.581982
_27742_,_24859_,0.581985
_27742_,_26327_,0.582027
_27742_,_26455_,0.582072
_27742_,_25931_,0.582109
_27742_,_25867_,0.583491
_27742_,_24795_,0.583496
_27742_,_26007_,0.583503
_27742_,_26263_,0.583539
_27742_,_26903_,0.583549
_27742_,_26391_,0.583587
_27743_,_27322_,0.587212
_27743_,_27066_,0.587215
_27743_,_26554_,0.587220
_27743_,_25485_,0.587222
_27743_,_26810_,0.587221
_27743_,_26682_,0.587239
_27743_,_27194_,0.587240
_27743_,_27450_,0.587239
_27742_,_27351_,0.592448
_27742_,_26583_,0.592450
_27742_,_27095_,0.592451
_27742_,_26839_,0.592452
_27742_,_25514_,0.592455
_27742_,_27479_,0.592560
_27742_,_26711_,0.592566
_27742_,_27223_,0.592588
_24922_,_27553_,0.593468
_27742_,_27287_,0.593562
_27742_,_26519_,0.593565
_27742_,_27031_,0.593565
_27742_,_25450_,0.593570
_27742_,_26775_,0.593600
_27742_,_27415_,0.593675
_27742_,_26647_,0.593680
_27742_,_27159_,0.593703
_27743_,_25914_,0.601004
_27743_,_26438_,0.601006
_27743_,_26950_,0.601007
_27743_,_26310_,0.601009
_27743_,_24842_,0.601009
_27743_,_26054_,0.601009
_27743_,_24809_,0.606709
_27743_,_25881_,0.606709
_27743_,_26021_,0.606709
_27743_,_26277_,0.606709
_27743_,_26405_,0.606709
_27743_,_26917_,0.606709
_24922_,_27633_,0.607898
_27742_,_25899_,0.609283
_27742_,_26935_,0.609285
_27742_,_24827_,0.609287
_27742_,_26039_,0.609294
_27742_,_26295_,0.609330
_27742_,_26423_,0.609374
_27743_,_25464_,0.609530
_27743_,_26533_,0.609530
_27743_,_26661_,0.609530
_27743_,_26789_,0.609530
_27743_,_27045_,0.609530
_27743_,_27173_,0.609530
_27743_,_27301_,0.609530
_27743_,_27429_,0.609530
_27743_,_27334_,0.610925
_27743_,_26566_,0.610930
_27743_,_26822_,0.610932
_27743_,_27078_,0.610932
_27743_,_25497_,0.610934
_27743_,_26694_,0.610951
_27743_,_27206_,0.610952
_27743_,_27462_,0.610951
_27742_,_27319_,0.619354
_27742_,_26551_,0.619356
_27742_,_27063_,0.619356
_27742_,_25482_,0.619363
_27742_,_26807_,0.619391
_27742_,_27447_,0.619466
_27742_,_26679_,0.619471
_27742_,_27191_,0.619494
_24792_,_25762_,0.625176
_24792_,_26318_,0.631260
_24792_,_26446_,0.631261
_24792_,_26062_,0.631264
_24792_,_26958_,0.631265
_24792_,_24850_,0.631327
_24792_,_25922_,0.631391
_27743_,_26346_,0.636247
_27743_,_26474_,0.636248
_27743_,_25950_,0.636250
_27743_,_26986_,0.636253
_27743_,_26218_,0.636255
_27743_,_26090_,0.636256
_27743_,_24878_,0.636258
_24792_,_26830_,0.641728
_24792_,_25505_,0.641736
_24792_,_27342_,0.641750
_24792_,_27086_,0.641806
_24792_,_27470_,0.641836
_24792_,_26702_,0.641842
_24792_,_26574_,0.641847
_24792_,_27214_,0.641864
_27743_,_25910_,0.642575
_27743_,_26434_,0.642579
_27743_,_26946_,0.642579
_27743_,_26306_,0.642581
_27743_,_24838_,0.642582
_27743_,_26050_,0.642582
_27743_,_26602_,0.646515
_27743_,_25533_,0.646518
_27743_,_26858_,0.646518
_27743_,_27114_,0.646518
_27743_,_27370_,0.646536
_27743_,_27498_,0.646537
_27743_,_26730_,0.646628
_27743_,_27242_,0.646650
_27743_,_25934_,0.648047
_27743_,_26970_,0.648051
_27743_,_26330_,0.648052
_27743_,_24862_,0.648053
_27743_,_26074_,0.648055
_27743_,_26458_,0.648177
_25414_,_25929_,0.649128
_25414_,_26965_,0.649130
_25414_,_24857_,0.649132
_25414_,_26453_,0.649133
_25414_,_26069_,0.649135
_25414_,_26325_,0.649175
_27743_,_27330_,0.652701
_27743_,_26562_,0.652706
_27743_,_26818_,0.652709
_27743_,_27074_,0.652709
_27743_,_25493_,0.652711
_27743_,_26690_,0.652727
_27743_,_27202_,0.652728
_27743_,_27458_,0.652728
_27743_,_25879_,0.656313
_27743_,_24807_,0.656319
_27743_,_26019_,0.656326
_27743_,_26275_,0.656361
_27743_,_26915_,0.656371
_27743_,_26403_,0.656397
_27743_,_27354_,0.658306
_27743_,_26586_,0.658309
_27743_,_27098_,0.658309
_27743_,_25517_,0.658316
_27743_,_26842_,0.658315
_27743_,_26714_,0.658333
_27743_,_27226_,0.658333
_27743_,_27482_,0.658333
_25414_,_27349_,0.659426
_25414_,_27093_,0.659428
_25414_,_26581_,0.659431
_25414_,_25512_,0.659433
_25414_,_26837_,0.659461
_25414_,_27477_,0.659536
_25414_,_26709_,0.659541
_25414_,_27221_,0.659564
_25414_,_25769_,0.660366
_27743_,_27299_,0.666319
_27743_,_26531_,0.666322
_27743_,_27043_,0.666323
_27743_,_26787_,0.666329
_27743_,_25462_,0.666330
_27743_,_26659_,0.666346
_27743_,_27427_,0.666432
_27743_,_27171_,0.666460
_24922_,_27555_,0.678909
_24792_,_25891_,0.682371
_24792_,_26927_,0.682374
_24792_,_26287_,0.682375
_24792_,_24819_,0.682376
_24792_,_26415_,0.682376
_24792_,_26031_,0.682378
_24792_,_27311_,0.692443
_24792_,_27055_,0.692445
_24792_,_26543_,0.692448
_24792_,_25474_,0.692451
_24792_,_26799_,0.692450
_24792_,_26671_,0.692467
_24792_,_27183_,0.692468
_24792_,_27439_,0.692468
_25414_,_26065_,0.694901
_25414_,_26961_,0.694902
_25414_,_26321_,0.694947
_25414_,_24853_,0.694964
_25414_,_25925_,0.694989
_25414_,_26449_,0.694989
_24922_,_27635_,0.699176
_24922_,_27594_,0.699929
_27743_,_24798_,0.700235
_27743_,_25870_,0.700235
_27743_,_26010_,0.700235
_27743_,_26266_,0.700235
_27743_,_26394_,0.700235
_27743_,_26906_,0.700235
_27743_,_25453_,0.703236
_27743_,_26522_,0.703236
_27743_,_26650_,0.703236
_27743_,_26778_,0.703236
_27743_,_27034_,0.703236
_27743_,_27162_,0.703236
_27743_,_27290_,0.703236
_27743_,_27418_,0.703236
_24792_,_25912_,0.703621
_24792_,_26948_,0.703624
_24792_,_24840_,0.703625
_24792_,_26308_,0.703625
_24792_,_26436_,0.703626
_24792_,_26052_,0.703628
_25414_,_27345_,0.704934
_25414_,_26833_,0.704938
_25414_,_25508_,0.704941
_25414_,_27089_,0.705016
_25414_,_27473_,0.705046
_25414_,_26705_,0.705052
_25414_,_26577_,0.705057
_25414_,_27217_,0.705074
_27743_,_24797_,0.706241
_27743_,_25869_,0.706241
_27743_,_26009_,0.706241
_27743_,_26265_,0.706241
_27743_,_26393_,0.706241
_27743_,_26905_,0.706241
_27743_,_25452_,0.709243
_27743_,_26521_,0.709243
_27743_,_26649_,0.709243
_27743_,_26777_,0.709243
_27743_,_27033_,0.709243
_27743_,_27161_,0.709243
_27743_,_27289_,0.709243
_27743_,_27417_,0.709243
_27742_,_26103_,0.710641
_27742_,_26999_,0.710642
_27742_,_26359_,0.710687
_27742_,_24891_,0.710703
_27742_,_26487_,0.710732
_27742_,_25963_,0.710747
_27743_,_26282_,0.712903
_27743_,_25886_,0.712906
_27743_,_26410_,0.712908
_27743_,_26922_,0.712909
_27743_,_26026_,0.712911
_27743_,_24814_,0.712914
_24792_,_27332_,0.713539
_24792_,_27076_,0.713541
_24792_,_26564_,0.713544
_24792_,_25495_,0.713547
_24792_,_26820_,0.713546
_24792_,_26692_,0.713563
_24792_,_27204_,0.713564
_24792_,_27460_,0.713650
_24792_,_25944_,0.716874
_24792_,_26980_,0.716877
_24792_,_24872_,0.716878
_24792_,_26340_,0.716878
_24792_,_26468_,0.716879
_24792_,_26084_,0.716881
_27742_,_27383_,0.720764
_27742_,_26871_,0.720768
_27742_,_25546_,0.720771
_27742_,_27127_,0.720846
_27742_,_27511_,0.720876
_27742_,_26743_,0.720882
_27742_,_26615_,0.720887
_27742_,_27255_,0.720904
_25414_,_25889_,0.722400
_25414_,_26413_,0.722403
