launch_flop,capture_flop,slack
_51053_,_43438_,5.654471
_51053_,_43478_,5.654471
_51053_,_43494_,5.654471
_51053_,_44870_,5.654471
_51053_,_45214_,5.654471
_51053_,_45326_,5.654471
_51053_,_45382_,5.654471
_51053_,_45390_,5.654471
_51053_,_45406_,5.654471
_51053_,_45502_,5.654471
_51053_,_45518_,5.654471
_51053_,_45534_,5.654471
_51053_,_46224_,5.654471
_51053_,_46256_,5.654471
_51053_,_46264_,5.654471
_51053_,_46272_,5.654471
_51053_,_46288_,5.654471
_51053_,_48112_,5.654471
_51053_,_48160_,5.654471
_51053_,_48493_,5.654471
_51053_,_48525_,5.654471
_51053_,_48581_,5.654471
_51053_,_48642_,5.654471
_51053_,_48710_,5.654471
_51053_,_48768_,5.654471
_51053_,_50630_,5.654471
_51053_,_51552_,5.654471
_51120_,_48847_,5.657805
_51120_,_48848_,5.657805
_51120_,_48849_,5.657805
_51120_,_48850_,5.657805
_51120_,_48851_,5.657805
_51120_,_48852_,5.657805
_51120_,_48854_,5.657805
_51053_,_45432_,5.658868
_51053_,_41168_,5.658981
_51053_,_41248_,5.658981
_51053_,_41256_,5.658981
_51053_,_41296_,5.658981
_51053_,_42816_,5.658981
_51053_,_42824_,5.658981
_51053_,_42840_,5.658981
_51053_,_42960_,5.658981
_51053_,_43128_,5.658981
_51053_,_43136_,5.658981
_51053_,_43144_,5.658981
_51053_,_43184_,5.658981
_51053_,_43224_,5.658981
_51053_,_44936_,5.658981
_51053_,_44976_,5.658981
_51053_,_44992_,5.658981
_51053_,_45040_,5.658981
_51053_,_45072_,5.658981
_51053_,_45096_,5.658981
_51053_,_45152_,5.658981
_51053_,_45176_,5.658981
_51053_,_45200_,5.658981
_51053_,_45216_,5.658981
_51053_,_45272_,5.658981
_51053_,_45384_,5.658981
_51053_,_45392_,5.658981
_51053_,_45408_,5.658981
_51053_,_45504_,5.658981
_51053_,_45536_,5.658981
_51053_,_45582_,5.658981
_51053_,_46226_,5.658981
_51053_,_46234_,5.658981
_51053_,_46258_,5.658981
_51053_,_46274_,5.658981
_51053_,_46282_,5.658981
_51053_,_46290_,5.658981
_51053_,_48114_,5.658981
_51053_,_48162_,5.658981
_51053_,_48495_,5.658981
_51053_,_50632_,5.658981
_51120_,_48297_,5.662797
_51120_,_48298_,5.662797
_51120_,_48299_,5.662797
_51120_,_48301_,5.662797
_51120_,_48304_,5.662797
_51120_,_51166_,5.667808
_51120_,_51168_,5.667808
_51120_,_51171_,5.667808
_51120_,_51401_,5.670307
_51120_,_51403_,5.670307
_50653_,_51050_,5.670783
_51053_,_43342_,5.670847
_51053_,_43422_,5.670847
_51053_,_48168_,5.670847
_51053_,_45510_,5.670900
_51053_,_43462_,5.670926
_51053_,_50723_,5.670926
_51053_,_45426_,5.672548
_51053_,_41162_,5.672657
_51053_,_41290_,5.672657
_51053_,_42810_,5.672657
_51053_,_42834_,5.672657
_51053_,_42938_,5.672657
_51053_,_42954_,5.672657
_51053_,_43010_,5.672657
_51053_,_43098_,5.672657
_51053_,_43122_,5.672657
_51053_,_43130_,5.672657
_51053_,_43178_,5.672657
_51053_,_43218_,5.672657
_51053_,_43474_,5.672657
_51053_,_43490_,5.672657
_51053_,_44866_,5.672657
_51053_,_44930_,5.672657
_51053_,_44986_,5.672657
_51053_,_45066_,5.672657
_51053_,_45146_,5.672657
_51053_,_45170_,5.672657
_51053_,_45266_,5.672657
_51053_,_45322_,5.672657
_51053_,_45378_,5.672657
_51053_,_45386_,5.672657
_51053_,_45402_,5.672657
_51053_,_45514_,5.672657
_51053_,_45530_,5.672657
_51053_,_45576_,5.672657
_51053_,_46220_,5.672657
_51053_,_46228_,5.672657
_51053_,_46260_,5.672657
_51053_,_46276_,5.672657
_51053_,_46284_,5.672657
_51053_,_48108_,5.672657
_51053_,_48156_,5.672657
_51053_,_48489_,5.672657
_51053_,_48521_,5.672657
_51053_,_48577_,5.672657
_51053_,_48638_,5.672657
_51053_,_48706_,5.672657
_51053_,_50626_,5.672657
_51120_,_49359_,5.674049
_51120_,_49360_,5.674049
_51053_,_44874_,5.674208
_51053_,_44875_,5.674208
_51053_,_44876_,5.674208
_51053_,_44877_,5.674208
_51053_,_44878_,5.674208
_51053_,_44879_,5.674208
_51053_,_44880_,5.674208
_51053_,_44881_,5.674208
_51053_,_43344_,5.675371
_51053_,_45512_,5.675424
_51053_,_46202_,5.675419
_51053_,_46170_,5.675449
_51053_,_50725_,5.675449
_51053_,_43306_,5.676682
_51053_,_43308_,5.676682
_51053_,_43309_,5.676682
_51053_,_43310_,5.676682
_51053_,_43311_,5.676682
_51053_,_43312_,5.676682
_51053_,_43313_,5.676682
_51053_,_41322_,5.676703
_51053_,_41323_,5.676703
_51053_,_41324_,5.676703
_51053_,_41325_,5.676703
_51053_,_41327_,5.676703
_51053_,_41328_,5.676703
_51053_,_41329_,5.676703
_51053_,_43346_,5.676709
_51053_,_43347_,5.676709
_51053_,_43348_,5.676709
_51053_,_43349_,5.676709
_51053_,_43350_,5.676709
_51053_,_43351_,5.676709
_51053_,_43353_,5.676709
_51053_,_46244_,5.679194
_51053_,_46245_,5.679194
_51053_,_46246_,5.679194
_51053_,_46247_,5.679194
_51053_,_46249_,5.679194
_51053_,_46250_,5.679194
_51053_,_43027_,5.681685
_51053_,_43028_,5.681685
_51053_,_43029_,5.681685
_51053_,_43030_,5.681685
_51053_,_43033_,5.681685
_51053_,_43442_,5.681681
_51053_,_43443_,5.681681
_51053_,_43444_,5.681681
_51053_,_43445_,5.681681
_51053_,_43447_,5.681681
_51120_,_51503_,5.681898
_51120_,_51505_,5.681898
_51120_,_51507_,5.681898
_51120_,_51508_,5.681898
_51120_,_51510_,5.681898
_51122_,_44226_,5.683483
_51122_,_44227_,5.683483
_51122_,_44229_,5.683483
_51122_,_44230_,5.683483
_51122_,_44231_,5.683483
_51122_,_44232_,5.683483
_51122_,_44233_,5.683483
_51053_,_45542_,5.684114
_51053_,_45543_,5.684114
_51053_,_45545_,5.684114
_51053_,_45546_,5.684114
_51120_,_51434_,5.684451
_51120_,_51436_,5.684451
_51120_,_51437_,5.684451
_51120_,_51438_,5.684451
_51122_,_41299_,5.686393
_51122_,_41300_,5.686393
_51122_,_41302_,5.686393
_51122_,_41303_,5.686393
_51122_,_41304_,5.686393
_51122_,_41305_,5.686393
_51122_,_50537_,5.686431
_51122_,_50538_,5.686431
_51122_,_50540_,5.686431
_51122_,_50543_,5.686431
_51053_,_41178_,5.686668
_51053_,_41180_,5.686668
_51053_,_41185_,5.686668
_48241_,_48242_,5.686917
_48276_,_49586_,5.687104
_51053_,_48164_,5.689054
_51053_,_46196_,5.689104
_51053_,_43458_,5.689134
