launch_flop,capture_flop,slack
_41210_,_43885_,0.369004
_41210_,_43878_,0.422574
_41210_,_43882_,0.463204
_41210_,_44041_,0.479746
_41210_,_43835_,0.481877
_41210_,_43883_,0.526411
_41210_,_44039_,0.527254
_41210_,_43881_,0.530479
_41210_,_43832_,0.540439
_41210_,_43874_,0.541818
_41210_,_43879_,0.561822
_41210_,_43923_,0.562320
_41210_,_43839_,0.563245
_41210_,_43914_,0.569746
_41210_,_43921_,0.572382
_41210_,_43880_,0.577735
_41210_,_43925_,0.578843
_41210_,_44044_,0.590162
_41210_,_43922_,0.591565
_41210_,_43836_,0.592090
_41210_,_43918_,0.592523
_41210_,_43876_,0.592861
_41210_,_43842_,0.597764
_41210_,_44066_,0.604178
_41210_,_43841_,0.607493
_41080_,_42635_,0.614056
_41080_,_43275_,0.614058
_41080_,_41822_,0.614060
_41080_,_42379_,0.614065
_41080_,_43019_,0.614077
_41080_,_43787_,0.614083
_41080_,_43403_,0.614085
_41080_,_43659_,0.614086
_41080_,_43531_,0.614087
_41080_,_42239_,0.614089
_41080_,_42891_,0.614152
_41080_,_41167_,0.614167
_41080_,_42763_,0.614167
_41080_,_43147_,0.614174
_41210_,_43915_,0.624178
_41210_,_43834_,0.625164
_41210_,_43843_,0.629032
_41210_,_43919_,0.629318
_41210_,_43875_,0.634756
_41080_,_42987_,0.639805
_41080_,_42859_,0.639839
_41080_,_43115_,0.639839
_41080_,_42207_,0.639884
_41080_,_41135_,0.639887
_41080_,_43243_,0.639887
_41080_,_43371_,0.639887
_41080_,_43499_,0.639887
_41080_,_43627_,0.639887
_41080_,_43755_,0.639887
_41210_,_43884_,0.647030
_41210_,_43899_,0.652673
_41210_,_43840_,0.654038
_41210_,_44065_,0.654526
_41210_,_43838_,0.655355
_41210_,_43924_,0.656697
_41210_,_43877_,0.658169
_41210_,_43845_,0.666688
_41210_,_43869_,0.668286
_41210_,_44064_,0.669007
_41210_,_44047_,0.669225
_41210_,_43850_,0.670562
_41210_,_43916_,0.672364
_41210_,_43861_,0.672947
_41210_,_44040_,0.678234
_41080_,_41759_,0.683600
_41080_,_42572_,0.683600
_41080_,_42700_,0.683600
_41080_,_42828_,0.683600
_41080_,_42956_,0.683600
_41080_,_43212_,0.683600
_41080_,_43340_,0.683600
_41080_,_43468_,0.683600
_41080_,_43596_,0.683600
_41080_,_43724_,0.683600
_41210_,_43831_,0.684691
_41210_,_44050_,0.688373
_41210_,_43920_,0.688854
_41210_,_44042_,0.690820
_41210_,_44037_,0.691666
_41080_,_42539_,0.697811
_41080_,_42667_,0.697812
_41080_,_43051_,0.697812
_41080_,_43179_,0.697812
_41080_,_43691_,0.697812
_41080_,_43819_,0.697813
_41080_,_41854_,0.697814
_41080_,_43435_,0.697814
_41080_,_42795_,0.697823
_41080_,_42923_,0.697839
_41080_,_42411_,0.697845
_41080_,_42271_,0.697856
_41080_,_43563_,0.697856
_41080_,_43307_,0.697858
_41080_,_41199_,0.697918
_41210_,_43913_,0.699112
_41210_,_43896_,0.703162
_41210_,_43907_,0.703913
_41080_,_41104_,0.705996
_41080_,_42176_,0.705996
_41080_,_42316_,0.705996
_41080_,_43084_,0.705996
_41210_,_43833_,0.707198
_41210_,_43870_,0.717110
_41210_,_43873_,0.717162
_41210_,_43898_,0.718039
_41210_,_44058_,0.721176
_41080_,_42636_,0.721562
_41080_,_43020_,0.721562
_41080_,_43148_,0.721562
_41080_,_43660_,0.721562
_41080_,_43788_,0.721563
_41080_,_41823_,0.721564
_41080_,_43404_,0.721564
_41080_,_42764_,0.721573
_41080_,_42892_,0.721589
_41080_,_42380_,0.721595
_41080_,_42240_,0.721606
_41080_,_43532_,0.721606
_41080_,_43276_,0.721608
_41080_,_41168_,0.721668
_41210_,_43851_,0.722357
_41080_,_43211_,0.723888
_41080_,_43339_,0.723889
_41080_,_43595_,0.723893
_41080_,_42827_,0.723923
_41080_,_43083_,0.723923
_41080_,_42175_,0.723971
_41080_,_42571_,0.723971
_41080_,_42955_,0.723970
_41080_,_43467_,0.723971
_41080_,_43723_,0.723971
_41080_,_41103_,0.723982
_41210_,_44038_,0.728082
_41210_,_43848_,0.728949
_41210_,_44048_,0.729060
_41210_,_43891_,0.729654
_41210_,_43912_,0.729824
_41210_,_44049_,0.730322
_41210_,_44068_,0.732252
_41210_,_43871_,0.733483
_41080_,_42079_,0.735130
_41210_,_43837_,0.735374
_41080_,_42534_,0.736086
_41080_,_42315_,0.736933
_41080_,_41194_,0.737423
_41080_,_41849_,0.737423
_41080_,_42266_,0.737423
_41080_,_42406_,0.737423
_41080_,_42662_,0.737423
_41080_,_42790_,0.737423
_41080_,_42918_,0.737423
_41080_,_43046_,0.737423
_41080_,_43174_,0.737423
_41080_,_43302_,0.737423
_41080_,_43430_,0.737423
_41080_,_43558_,0.737423
_41080_,_43686_,0.737423
_41080_,_43814_,0.737423
_41080_,_42699_,0.737564
_41080_,_41758_,0.737742
_41210_,_43859_,0.738732
_41210_,_43867_,0.739159
_41210_,_43864_,0.745504
_41080_,_42603_,0.746534
_41210_,_44061_,0.748676
_41080_,_41790_,0.749634
_41210_,_44067_,0.754037
_41080_,_42475_,0.758496
_41210_,_43893_,0.758766
_41080_,_42731_,0.759015
_41080_,_42347_,0.760083
_41210_,_43917_,0.770833
_41080_,_41754_,0.772781
_41080_,_42171_,0.772781
_41080_,_42311_,0.772781
_41080_,_42567_,0.772781
_41080_,_42695_,0.772781
_41080_,_42823_,0.772781
_41080_,_42951_,0.772781
_41080_,_43079_,0.772781
_41080_,_43207_,0.772781
_41080_,_43335_,0.772781
_41080_,_43463_,0.772781
_41080_,_43591_,0.772781
_41080_,_43719_,0.772781
_41210_,_44059_,0.773445
_41210_,_44063_,0.776640
_41080_,_42629_,0.778275
_41080_,_43781_,0.778275
_41080_,_42501_,0.778277
_41080_,_43397_,0.778277
_41080_,_43653_,0.778277
_41080_,_43525_,0.778278
_41080_,_41816_,0.778279
_41080_,_43013_,0.778281
_41080_,_42373_,0.778289
_41080_,_43269_,0.778359
_41080_,_42233_,0.778368
_41080_,_42885_,0.778371
_41080_,_41161_,0.778379
_41080_,_42757_,0.778386
_41080_,_43141_,0.778393
_41210_,_43872_,0.778755
_41210_,_43863_,0.781257
_41080_,_41155_,0.784707
_41080_,_41810_,0.784707
_41080_,_42227_,0.784707
_41080_,_42367_,0.784707
_41080_,_42495_,0.784707
_41080_,_42623_,0.784707
_41080_,_42751_,0.784707
_41080_,_42879_,0.784707
_41080_,_43007_,0.784707
_41080_,_43135_,0.784707
_41080_,_43263_,0.784707
_41080_,_43391_,0.784707
_41080_,_43519_,0.784707
_41080_,_43647_,0.784707
_41080_,_43775_,0.784707
_41210_,_43857_,0.785903
_41210_,_43911_,0.786831
_41080_,_42040_,0.790385
_41080_,_42494_,0.794992
_41080_,_41099_,0.795151
_41210_,_43897_,0.795267
_41210_,_43858_,0.796187
_41080_,_42622_,0.796322
_41080_,_43774_,0.796322
_41080_,_43262_,0.796324
_41080_,_43646_,0.796324
_41080_,_43518_,0.796326
_41080_,_41809_,0.796327
_41080_,_43006_,0.796328
_41080_,_42366_,0.796337
_41080_,_43390_,0.796351
_41080_,_42226_,0.796355
_41080_,_42878_,0.796418
_41080_,_41154_,0.796434
_41080_,_42750_,0.796434
_41080_,_43134_,0.796440
_41080_,_42634_,0.805105
_41080_,_43274_,0.805108
_41080_,_42378_,0.805114
_41080_,_43018_,0.805126
_41080_,_43786_,0.805132
_41080_,_43402_,0.805134
_41080_,_43658_,0.805136
_41080_,_43530_,0.805136
_41080_,_41821_,0.805160
_41080_,_42238_,0.805170
_41080_,_43236_,0.805183
_41080_,_42596_,0.805184
_41080_,_42724_,0.805184
_41080_,_42980_,0.805185
_41080_,_43364_,0.805185
_41080_,_41783_,0.805186
_41080_,_43492_,0.805187
_41080_,_43748_,0.805187
_41080_,_42890_,0.805202
_41080_,_42762_,0.805217
_41080_,_43146_,0.805223
_41080_,_41166_,0.805224
_41080_,_42820_,0.807812
